celltype,set,n_genes,n_peaks,peaks_per_gene,top_gene,top_gene_peaks,top_gene_share,obs_peak_level,p_peak_level,obs_gene_level,p_gene_level,p_gene_signperm,genes_concordant,obs_gene_LOO,p_gene_LOO,null_sd_peak,null_sd_gene,null_sd_ratio_gene_over_peak,n_peaks_fdr_significant,prespecified_gonogo_pass
Astro,all_secretome_linked,1167,5143,4.41,NRG3,169,0.033,0.0332,0.0005,0.0382,0.0005,0.0005,681,0.0382,0.0005,0.00356,0.00513,1.44,0,False
Endo,all_secretome_linked,819,2912,3.56,TCF4,74,0.025,0.0434,0.0155,0.0432,0.0265,0.0225,427,0.0432,0.028,0.01739,0.02145,1.23,0,False
Micro,all_secretome_linked,871,4160,4.78,NRG3,147,0.035,0.0281,0.0005,0.075,0.0005,0.0005,499,0.0751,0.0005,0.00821,0.01385,1.69,0,False
OPC,all_secretome_linked,995,4683,4.71,NRG3,161,0.034,0.0269,0.0005,0.0367,0.0005,0.0005,558,0.0367,0.0005,0.00479,0.00651,1.36,0,False
Oligo,all_secretome_linked,1106,5015,4.53,NRG3,169,0.034,0.0289,0.0005,0.0316,0.0005,0.0005,622,0.0316,0.0005,0.00323,0.00522,1.62,0,False
Astro,frozen_hit_linked,26,160,6.15,TAFA1,53,0.331,0.1834,0.0005,0.1473,0.0005,0.001,20,0.1463,0.0005,0.02083,0.02912,1.4,0,False
Endo,frozen_hit_linked,11,40,3.64,DKK2,13,0.325,0.1118,0.2609,0.071,0.3763,0.5727,4,0.059,0.4043,0.14935,0.18709,1.25,0,False
Micro,frozen_hit_linked,12,54,4.5,LUZP2,24,0.444,0.2391,0.0005,0.3458,0.0005,0.077,9,0.3662,0.0005,0.07209,0.11223,1.56,0,False
OPC,frozen_hit_linked,6,19,3.17,FGF13,13,0.684,0.2863,0.0005,0.5142,0.0005,0.072,6,0.5803,0.0005,0.07003,0.09314,1.33,0,False
Oligo,frozen_hit_linked,5,30,6.0,PTPRR,20,0.667,-0.0151,0.7746,0.022,0.4538,0.4788,2,0.0287,0.4153,0.04136,0.07638,1.85,0,False
