contrast,gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
ADvHA_projection,EHF,Astro,EHF,ETS,True,0.161156871870539,0.0943863840669622,0.131600398930368,0.6257567887420303,0.6521378860709176,-0.6524334679569681,1.9039470454410288,0.3372833804575839,,1.96824242088909,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,ELF1,Astro,ELF1,ETS,True,0.258575772507588,0.0093561204430363,0.0177850577791051,0.2602137720444887,0.1132457758009488,0.038252051474629,0.4821754926143483,0.021574367270661,0.1196286901945818,306.5561912881222,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,ELF3,Astro,ELF3,ETS,True,0.22803020568637,0.0126999361671068,0.0232342762825971,-0.0320406754648025,1.1170176115732746,-2.2213951941484207,2.1573138432188155,0.9771165156691984,,0.9113779072014456,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,ELF5,Astro,ELF5,ETS,True,-0.088768320898328,0.378903801176218,0.45598119038887,,,,,,,,False,-1.0,,,D_not_testable
ADvHA_projection,ETV1,Astro,ETV1,ETS,True,0.260242711386343,0.0056776670196108,0.0118612647637414,0.1260895697369342,0.3380650298608122,-0.5365178887902577,0.7886970282641261,0.7091675675884144,0.8612943284762595,237.11582292279925,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,ETV2,Astro,ETV2,ETS,True,-0.108609463954152,0.239523719385017,0.305067433341481,,,,,,,,False,-1.0,,,D_not_testable
ADvHA_projection,ETV4,Astro,ETV4,ETS,True,0.383074622574992,0.0005584422364318,0.0024548189976482,0.7403460486575003,0.3911741736733253,-0.0263553317422172,1.5070474290572178,0.0584077471023555,0.2188534779228607,12.312750405956857,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,ETV6,Astro,ETV6,ETS,True,-0.120458651542885,0.303879383068287,0.378088276794326,0.4408576325037996,0.2496271075641006,-0.0484114983218375,0.9301267633294368,0.0773849883568926,0.2585942730687764,585.8824612273775,True,-1.0,1.0,0.0,C_discordant
ADvHA_projection,GABPA,Astro,GABPA,ETS,True,0.224940780018858,0.0196323924520005,0.032789721430386,0.1126239507355614,0.1325416921678208,-0.1471577659133673,0.3724056673844901,0.3954781579290167,0.6489774150262992,114.64753624493852,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,RFX1,Astro,RFX1,RFX,True,0.498749735835768,0.0337077525866437,0.0536105713249886,0.4383385157426582,0.1868336846689164,0.072144493791582,0.8045325376937343,0.018968835225437,0.1104695456159583,28.44057203246676,True,1.0,1.0,1.0,B_concordant_q>=0.05
ADvHA_projection,SPIB,Astro,SPIB,ETS,True,0.231740036985734,0.0080217703168784,0.0156100640586249,-0.3792490764837455,0.7755459671721534,-1.8993191721411664,1.1408210191736752,0.6248352168407783,,1.0500726891650352,True,1.0,-1.0,0.0,C_discordant
ADvHA_projection,ZNF143,Astro,ZNF143,ZNF-KRAB,True,0.196882075876751,0.0133647723447679,0.024310060040914,0.1238713488882324,0.1242373148653964,-0.1196337882479445,0.3673764860244093,0.3187381542662028,0.5803483629501925,55.71149824769906,True,1.0,1.0,1.0,B_concordant_q>=0.05
