EntrezGeneSymbol,Estimate
A1BG,0.002493096772770403
A1CF,0.0004246519104290653
A2M,0.008415996942474545
A2ML1,2.374099297646778e-05
A4GALT,0.002074514237944889
A4GNT,0.002821385603526786
AACS,0.0001824209055856621
AADAT,-3.326316261675797e-05
AAGAB,0.001468722282945438
AAMDC,0.001621457268295447
AARS1,0.001342283587105237
AASDHPPT,0.002495893629364223
ABCC6,-0.0001436913687012875
ABCD4,-0.0001787563273094596
ABCF3,-0.00068069894497649
ABHD10,-0.0007905382244363276
ABHD12,-0.0002105740783656039
ABHD14A,0.001685958051121853
ABHD14B,6.485241383499002e-05
ABHD4,0.0004112080123953171
ABHD5,9.876657867200084e-05
ABI3,-3.672822147311948e-05
ABL1,-0.0003380856908472802
ABL2,0.0001742415507073482
ABLIM3,-2.598062148950932e-05
ABO,-0.001785381291134588
ABR,0.003694665879269152
ABRAXAS1,-0.000140697459362819
ABRAXAS2,-0.0001960178583790013
ACAA1,0.000127162778556209
ACAD8,0.0002069245467294958
ACADL,0.0001172997881743071
ACADM,-1.466927285355834e-05
ACADS,0.0008628228795342711
ACADSB,0.0008195676695671783
ACADVL,-0.0007968104391207824
ACAN,0.009538046843531635
ACAP2,-0.0009095457990174039
ACAT1,0.0003153995012721554
ACAT2,0.0004836086435499055
ACBD4,-0.0006748990102218269
ACBD6,0.0001761309706390882
ACBD7,0.0002401067265127709
ACE,0.001672689011772136
ACE2,0.0001187747336870607
ACHE,0.0007166055533198937
ACLY,3.467064128338513e-05
ACO1,0.003802435067157951
ACOT12,0.00109959573865582
ACOT13,-0.0009812782720014807
ACOT8,0.001062557161568659
ACOX1,0.0004116387254728277
ACP1,0.0006029352344582708
ACP3,0.0004078343743219895
ACP5,0.002806627481919526
ACP6,0.002369056468139152
ACP7,-0.003537875468362471
ACRV1,-0.0001914580587922937
ACSF2,-0.000176712822280735
ACSS2,-0.0008903687587490049
ACTN1,0.00131956426379387
ACTN4,-0.0004972375667589204
ACVR1B,0.0002207335341718529
ACVR2A,0.0001942588628288634
ACVR2B,-0.0002920056135917185
ACVRL1,-0.001015178772886023
ACY1,0.00154718341052356
ACY3,-0.001576446316869028
ACYP1,0.003181366145390507
ACYP2,0.002343695269221487
ADA2,0.004374352648560561
ADAM10,-0.0001451883024256096
ADAM11,0.003155611680659783
ADAM12,0.001338657451252647
ADAM15,0.001241956041119448
ADAM17,0.0004014683441742884
ADAM19,3.827718158360073e-05
ADAM22,0.001824294322502924
ADAM23,0.003107934317198114
ADAM28,0.001175891321305388
ADAM29,-0.0001825867947170221
ADAM30,-0.000292977478373559
ADAM32,-0.0001851712999309066
ADAM7,-0.000841729643761507
ADAM8,3.189387478345303e-05
ADAM9,0.002099371265583576
ADAMDEC1,-0.001198964083776976
ADAMTS13,0.0008683075228120988
ADAMTS15,0.0001212310470341368
ADAMTS3,-0.0001279549912408088
ADAMTS4,0.0001737004248405214
ADAMTS5,-6.999627244140392e-05
ADAMTS6,-0.0008096750644131069
ADAMTSL1,0.002151059080200991
ADAMTSL2,0.002392763744115807
ADAT1,0.000350293523110723
ADAT2,0.0001778424978782397
ADCYAP1,0.0004766512884463644
ADD2,6.618934287500438e-05
ADGRB1,0.0041459111724943
ADGRB2,0.003631376750214728
ADGRB3,0.001830352505397749
ADGRD1,0.002856354265704267
ADGRE2,0.001750069263085034
ADGRE5,0.001445042010770962
ADGRF1,0.001952264436118487
ADGRF2,-9.923061238254806e-05
ADGRF5,0.0003938131268912649
ADGRG1,0.00624338589849615
ADGRG2,0.0004147523490487824
ADGRG5,-0.0008436863546323641
ADGRL3,0.001480523794283243
ADH1A,-0.001146302517800228
ADH1B,0.0005571442469002027
ADH1C,-0.0003204749331862911
ADH4,-0.0001174166794922631
ADH5,-0.0008811466496392641
ADH6,0.001076931027157624
ADH7,-0.0001288358015983537
ADI1,0.001425126395552806
