Gene	"Gene synonym"
A1BG	
A2M	"CPAMD5, FWP007, S863-7"
A2ML1	"CPAMD9, FLJ25179, p170"
AADACL2	MGC72001
ABHD15	
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"
ABO	"A3GALNT, A3GALT1"
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"
ACE	"ACE1, CD143, DCP1"
ACE2	ACEH
ACP3	"ACP-3, ACPP, PAP, TM-PAP"
ACP7	"FLJ16165, PAPL, PAPL1"
ACR	
ACRBP	"CT23, OY-TES-1, SP32"
ACRV1	"D11S4365, SP-10, SPACA2"
ADA2	"ADGF, CECR1, IDGFL"
ADAM12	"MCMPMltna, MLTN"
ADAM23	MDC3
ADAM28	"ADAM23, eMDCII, MDC-Lm, MDC-Ls"
ADAM9	"CORD9, KIAA0021, MCMP, MDC9, Mltng"
ADAMDEC1	M12.219
ADAMTS1	"C3-C5, KIAA1346, METH1"
ADAMTS10	ADAM-TS10
ADAMTS12	
ADAMTS13	"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP"
ADAMTS14	
ADAMTS15	
ADAMTS16	ADAMTS16s
ADAMTS17	"FLJ16363, FLJ32769"
ADAMTS18	ADAMTS21
ADAMTS19	
ADAMTS2	"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP"
ADAMTS20	GON-1
ADAMTS3	"ADAMTS-4, KIAA0366"
ADAMTS4	"ADAMTS-2, ADMP-1, KIAA0688"
ADAMTS5	"ADAMTS11, ADMP-2"
ADAMTS6	ADAM-TS6
ADAMTS7	"ADAM-TS7, DKFZp434H204"
ADAMTS8	"ADAM-TS8, FLJ41712, METH2"
ADAMTS9	KIAA1312
ADAMTSL1	"ADAMTSR1, C9orf94, FLJ35283"
ADAMTSL2	KIAA0605
ADAMTSL3	"KIAA1233, punctin-2"
ADAMTSL4	"DKFZP434K1772, TSRC1"
ADAMTSL5	THSD6
ADCYAP1	PACAP
ADGRB1	BAI1
ADGRE3	EMR3
ADGRE5	"CD97, TM7LN1"
ADGRF1	"GPR110, hGPCR36, PGR19"
ADGRG1	"GPR56, TM7LN4, TM7XN1"
ADIPOQ	"ACDC, ACRP30, adiponectin, apM1, GBP28"
ADM	AM
ADM2	"AM2, FLJ21135"
ADM5	"AM5, C19orf76"
AEBP1	ACLP
AFM	"ALB2, ALBA"
AFP	"FETA, HPAFP"
AGER	"RAGE, SCARJ1, sRAGE"
AGGF1	"FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q"
AGRN	AGRIN
AGRP	"Agrt, ART, ASIP2"
AGT	SERPINA8
AHSG	"A2HS, FETUA, HSGA"
AIMP1	"EMAP-2, EMAPII, p43, SCYE1"
AKR1B10	"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI"
ALB	
ALCAM	"CD166, MEMD"
ALKAL1	"AUGB, FAM150A, UNQ9433"
ALKAL2	"AUGA, FAM150B"
AMBN	
AMBP	"EDC1, HCP, HI30, IATIL, ITI, ITIL, ITILC, UTI"
AMELX	"AIH1, AMG"
AMELY	AMGL
AMH	"MIF, MIS"
AMN	amnionless
AMTN	"RSTI689, UNQ689"
AMY1A	AMY1
AMY1B	AMY1
AMY1C	AMY1
AMY2A	AMY2
AMY2B	AMY2
ANG	"RAA1, RNASE5"
ANGPT1	"AGPT-1, Ang1, KIAA0003"
ANGPT2	Ang2
ANGPT4	
ANGPTL1	"ANG3, ANGPT3, AngY, ARP1"
ANGPTL2	"ARP2, HARP"
ANGPTL3	ANGPT5
ANGPTL4	"ARP4, FIAF, HFARP, NL2, PGAR, pp1158"
ANGPTL5	
ANGPTL6	"AGF, ARP5"
ANGPTL7	"AngX, CDT6"
ANGPTL8	"C19orf80, RIFL, TD26"
ANOS1	"ADMLX, KAL, KAL1, KALIG-1, WFDC19"
ANXA1	"ANX1, LPC1"
ANXA2	"ANX2, ANX2L4, CAL1H, LIP2, LPC2D"
AOAH	
AOC1	"ABP, ABP1, DAO"
APCS	"MGC88159, PTX2, SAP"
APELA	"ELA, Ende, tdl"
APLN	"apelin, XNPEP2"
APOA1	
APOA2	
APOA4	
APOA5	"APOA-V, RAP3"
APOB	
APOC1	
APOC2	
APOC3	"Apo-C3, Apo-CIII, ApoC-3, ApoC-III, APOCIII"
APOC4	
APOD	Apo-D
APOE	AD2
APOF	
APOH	"B2G1, BG"
APOL1	APOL
APOL4	APOLIV
APOM	"Apo-M, G3a, NG20"
APOO	"FAM121B, MGC4825, Mic23, MIC26, MICOS26, My025"
APP	"AD1, alpha-sAPP"
ARSF	ASF
ARSI	"FLJ16069, SPG66"
ARSJ	FLJ23548
ARSK	"DKFZp313G1735, TSULF"
ART4	"ARTC4, CD297, DO, DOK1"
ART5	ARTC5
ARTN	"ENOVIN, EVN, NBN"
ASGR1	CLEC4H1
ASIP	"AGTIL, ASP"
ASPN	"FLJ20129, PLAP-1, SLRR1C"
ATRN	"DPPT-L, MGCA"
AVP	"ADH, ARVP"
AZGP1	"ZA2G, ZAG"
AZU1	"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC"
B2M	
B3GAT1	"CD57, GlcAT-P, HNK-1, LEU7, NK-1"
BCAN	"BEHAB, CSPG7, MGC13038"
BCHE	"CHE1, CHE2, E1"
BDNF	
BGLAP	OCN
BGN	"DSPG1, SLRR1A"
BMP1	"BMP-1, PCOLC"
BMP10	
BMP15	GDF9B
BMP2	BMP2A
BMP3	
BMP4	BMP2B
BMP5	
BMP6	"VGR, VGR1"
BMP7	OP-1
BMP8A	OP-2
BMP8B	"BMP8, OP-2"
BMPER	"CRIM3, Cv2"
BPI	BPIFD1
BPIFA1	"bA49G10.5, LUNX, PLUNC, SPLUNC1"
BPIFA2	"bA49G10.1, C20orf70, PSP, SPLUNC2"
BPIFA3	"bA49G10.4, C20orf71, SPLUNC3"
BPIFB1	"bA49G10.6, C20orf114, dJ1187J4.1, LPLUNC1, MGC14597, VEMSGP"
BPIFB2	"BPIL1, C20orf184, dJ726C3.2, LPLUNC2"
BPIFB3	"C20orf185, dJ726C3.4, LPLUNC3, RYA3"
BPIFB4	"C20orf186, dJ726C3.5, LPLUNC4"
BPIFB6	"BPIL3, LPLUNC6"
BPIFC	"BPIL2, dJ149A16.7"
BRINP2	"DBCCR1L2, FAM5B"
BRINP3	"DBCCR1L, DBCCR1L1, FAM5C"
BSPH1	"BSP1, ELSPBP2"
BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"
BTC	
BTD	
BTLA	"BTLA1, CD272"
C14orf93	"FLJ12154, RTFC"
C15orf61	LOC145853
C16orf89	MGC45438
C17orf67	
C17orf99	"GLPG464, UNQ464"
C18orf54	"LAS2, MGC33382"
C1orf54	FLJ23221
C1orf56	"FLJ20519, MENT"
C1QA	
C1QB	
C1QBP	"gC1Q-R, gC1qR, HABP1, p32, SF2p32"
C1QC	C1QG
C1QL1	"C1QRF, C1QTNF14, CRF, CTRP14"
C1QL2	"C1QTNF10, CTRP10"
C1QL3	"C1ql, C1QTNF13, CTRP13, K100"
C1QL4	"C1QTNF11, CTRP11"
C1QTNF1	"CTRP1, FLJ90694, GIP, ZSIG37"
C1QTNF12	"ADIPOLIN, C1QDC2, CTRP12, FAM132A, MGC105127"
C1QTNF2	CTRP2
C1QTNF3	"2310005P21Rik, Corcs, Cors, Cors-26, CTRP3"
C1QTNF4	"CTRP4, ZACRP4"
C1QTNF5	"CTRP5, DKFZp586B0621, LORD"
C1QTNF6	"CTRP6, ZACRP6"
C1QTNF7	CTRP7
C1QTNF8	"CTRP8, UNQ5829"
C1QTNF9	"AQL1, C1QTNF9A, CTRP9, MGC48915"
C1QTNF9B	CTRP9B
C1RL	"C1r-LP, C1RL1"
C1S	
C2	
C20orf27	FLJ20550
C21orf62	"B37, C21orf120, PRED81"
C2orf66	UNQ6411
C3	"ARMD9, C3a, C3b, CPAMD1"
C3orf33	"AC3-33, FLJ31139"
C4A	"C4, C4A2, C4A3, C4A4, C4A6, C4B, C4S, CO4, CPAMD2, RG"
C4B	"C4B1, C4B3, C4F, CH, CO4, CPAMD3"
C4BPA	C4BP
C4BPB	C4BP
C4orf48	
C5	"C5a, C5b, CPAMD4"
C5orf46	"AP-64, MGC23985, SSSP1"
C6	
C6orf120	bA160E12.4
C6orf15	STG
C6orf58	LEG1
C7	
C8A	
C8B	
C8G	
C9	
CA10	"CA-RPX, CARPX, HUCEP-15"
CA11	"CARP2, CARPX1"
CA6	
CALCA	"CALC1, CGRP, CGRP-alpha"
CALCB	"CALC2, CGRP-II, FLJ30166"
CAMP	"CAP18, FALL-39, FALL39, LL37"
CARTPT	CART
CATSPERG	"C19orf15, DKFZp434A1022, FLJ46353"
CBLIF	"GIF, IF, IFMH, INF, TCN3"
CBLN1	
CBLN2	
CBLN3	
CBLN4	"CBLNL1, dJ885A10.1"
CCBE1	"FLJ30681, KIAA1983"
CCDC126	FLJ23031
CCDC134	FLJ22349
CCDC3	DKFZp761F241
CCDC80	"CL2, DRO1, LINC01279, SSG1, TCONS_00006930, URB"
CCER2	
CCK	
CCL1	"I-309, P500, SCYA1, SISe, TCA3"
CCL11	"eotaxin, MGC22554, SCYA11"
CCL13	"CKb10, MCP-4, MGC17134, NCC-1, SCYA13, SCYL1"
CCL14	"CKb1, HCC-1, HCC-3, MCIF, NCC-2, SCYA14, SCYL2"
CCL15	"HCC-2, HMRP-2B, Lkn-1, MIP-1d, MIP-5, NCC-3, SCYA15, SCYL3"
CCL16	"CKb12, HCC-4, LCC-1, LEC, LMC, Mtn-1, NCC-4, SCYA16, SCYL4"
CCL17	"ABCD-2, SCYA17, TARC"
CCL18	"AMAC-1, CKb7, DC-CK1, DCCK1, MIP-4, PARC, SCYA18"
CCL19	"CKb11, ELC, exodus-3, MIP-3b, SCYA19"
CCL2	"GDCF-2, HC11, MCAF, MCP-1, MCP1, MGC9434, SCYA2, SMC-CF"
CCL20	"CKb4, exodus-1, LARC, MIP-3a, SCYA20, ST38"
CCL21	"6Ckine, CKb9, ECL, exodus-2, SCYA21, SLC, TCA4"
CCL22	"A-152E5.1, ABCD-1, DC/B-CK, MDC, MGC34554, SCYA22, STCP-1"
CCL23	"Ckb-8, CKb8, MIP-3, MPIF-1, SCYA23"
CCL24	"Ckb-6, eotaxin-2, MPIF-2, MPIF2, SCYA24"
CCL25	"Ckb15, SCYA25, TECK"
CCL26	"eotaxin-3, IMAC, MIP-4a, MIP-4alpha, SCYA26, TSC-1"
CCL27	"ALP, CTACK, CTAK, ESkine, ILC, PESKY, SCYA27, skinkine"
CCL28	"CCK1, MEC, SCYA28"
CCL3	"G0S19-1, LD78ALPHA, MIP-1-alpha, SCYA3"
CCL3L1	"CCL3L3, D17S1718, G0S19-2, LD78BETA, MGC12815, SCYA3L, SCYA3L1"
CCL4	"Act-2, AT744.1, LAG1, MIP-1-beta, SCYA4"
CCL4L2	
CCL5	"D17S136E, MGC17164, RANTES, SCYA5, SISd, TCP228"
CCL7	"FIC, MARC, MCP-3, MCP3, NC28, SCYA6, SCYA7"
CCL8	"HC14, MCP-2, SCYA8"
CCN1	"CYR61, GIG1, IGFBP10"
CCN2	"CTGF, IGFBP8"
CCN3	"IGFBP9, NOV"
CCN4	"WISP-1, WISP1, WISP1-OT1, WISP1-UT1"
CCN5	"CT58, CTGF-L, WISP-2, WISP2"
CCN6	"WISP-3, WISP3"
CD14	
CD160	"BY55, NK1, NK28"
CD163	"M130, MM130, SCARI1"
CD274	"B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1"
CD300H	
CD40	"Bp50, p50, TNFRSF5"
CD40LG	"CD154, CD40-L, CD40L, gp39, hCD40L, HIGM1, IMD3, T-BAM, TNFSF5, TRAP"
CD44	"CD44R, CSPG8, HCELL, IN, MC56, MDU2, MDU3, MIC4, Pgp1"
CD48	"BCM1, BLAST, hCD48, mCD48, SLAMF2"
CD55	"CR, CROM, DAF, TC"
CD5L	"API6, Spalpha"
CD6	Tp120
CD74	"CLIP, DHLAG"
CD99L2	"CD99B, MIC2L1"
CDCP2	
CDNF	ARMETL1
CDSN	D6S586E
CEACAM16	DFNA4B
CEL	"BSSL, MODY8"
CELA1	ELA1
CELA2A	ELA2A
CELA2B	"ELA2B, RP11-265F14.2"
CELA3A	"ELA3, ELA3A"
CELA3B	"CBPP, ELA3B"
CEMIP	"HYBID, IR2155535, KIAA1199, TMEM2L"
CER1	DAND4
CES4A	"CES8, FLJ37464"
CES5A	"CAUXIN, CES4C1, CES5, CES7, FLJ31547"
CETP	BPIFF
CFB	"BF, BFD, H2-Bf"
CFC1	"CRYPTIC, HTX2"
CFC1B	
CFD	"ADN, DF, PFD"
CFH	"ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS"
CFHR1	"CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2"
CFHR2	"CFHL2, FHR2, HFL3"
CFHR3	"CFHL3, DOWN16, FHR-3, FHR3, HLF4"
CFHR4	"CFHL4, FHR-4, FHR4"
CFHR5	"CFHL5, FHR-5, FHR5"
CFI	"C3b-INA, FI, IF, KAF"
CFP	PFC
CGA	"FSHA, GPA1, GPHa, GPHA1, HCG, LHA, TSHA"
CGB1	
CGB2	
CGB3	CGB
CGB5	HCG
CGB7	CG-beta-a
CGB8	
CGREF1	CGR11
CHAD	SLRR4A
CHADL	SLRR4B
CHI3L1	"GP39, YK-40, YKL40"
CHI3L2	"YKL-39, YKL39"
CHIT1	"CHI3, CHIT"
CHL1	"CALL, FLJ44930, L1CAM2, MGC132578"
CHRD	
CHRDL1	"CHL, MGC1, NRLN1"
CHRDL2	BNF1
CHSY1	"CSS1, KIAA0990"
CILP	HsT18872
CILP2	MGC45771
CKLF	"C32, CKLF1, CKLF3, CKLF4, HSPC224, UCK-1"
CLCA1	"CaCC, CLCRG1"
