gene,n_sources,sources,is_core,category
A1BG,2,HPA|UniProt,True,other_secreted
A2M,2,HPA|UniProt,True,other_secreted
A2ML1,2,HPA|UniProt,True,other_secreted
AADACL2,2,HPA|UniProt,True,other_secreted
ABHD15,2,HPA|UniProt,True,other_secreted
ABI3BP,2,HPA|UniProt,True,other_secreted
ABO,2,HPA|UniProt,True,other_secreted
ACAN,2,HPA|UniProt,True,ecm_matrisome_like
ACE,2,HPA|UniProt,True,other_secreted
ACE2,2,HPA|UniProt,True,other_secreted
ACP3,2,HPA|UniProt,True,other_secreted
ACP7,2,HPA|UniProt,True,other_secreted
ACRBP,2,HPA|UniProt,True,other_secreted
ADA2,2,HPA|UniProt,True,other_secreted
ADAM12,2,HPA|UniProt,True,other_secreted
ADAM23,2,HPA|UniProt,True,other_secreted
ADAM28,2,HPA|UniProt,True,other_secreted
ADAM9,2,HPA|UniProt,True,other_secreted
ADAMDEC1,2,HPA|UniProt,True,other_secreted
ADAMTS1,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS10,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS12,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS13,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS14,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS15,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS16,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS17,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS18,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS19,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS2,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS20,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS3,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS4,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS5,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS6,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS7,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS8,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTS9,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL1,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL2,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL3,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL4,2,HPA|UniProt,True,ecm_matrisome_like
ADAMTSL5,2,HPA|UniProt,True,ecm_matrisome_like
ADCYAP1,2,HPA|UniProt,True,neuropeptide
ADGRB1,2,HPA|UniProt,True,other_secreted
ADGRE3,2,HPA|UniProt,True,other_secreted
ADGRE5,2,HPA|UniProt,True,other_secreted
ADGRF1,2,HPA|UniProt,True,other_secreted
ADGRG1,2,HPA|UniProt,True,other_secreted
ADIPOQ,2,HPA|UniProt,True,other_secreted
ADM,2,HPA|UniProt,True,other_secreted
ADM2,2,HPA|UniProt,True,other_secreted
ADM5,2,HPA|UniProt,True,other_secreted
AEBP1,2,HPA|UniProt,True,other_secreted
AFM,2,HPA|UniProt,True,other_secreted
AFP,2,HPA|UniProt,True,other_secreted
AGER,2,HPA|UniProt,True,other_secreted
AGGF1,2,HPA|UniProt,True,other_secreted
AGRN,2,HPA|UniProt,True,ecm_matrisome_like
AGRP,2,HPA|UniProt,True,neuropeptide
AGT,2,HPA|UniProt,True,other_secreted
AHSG,2,HPA|UniProt,True,other_secreted
AIMP1,2,HPA|UniProt,True,other_secreted
AKR1B10,2,HPA|UniProt,True,other_secreted
ALB,2,HPA|UniProt,True,other_secreted
ALCAM,2,HPA|UniProt,True,other_secreted
ALKAL1,2,HPA|UniProt,True,other_secreted
ALKAL2,2,HPA|UniProt,True,other_secreted
AMBN,2,HPA|UniProt,True,other_secreted
AMBP,2,HPA|UniProt,True,other_secreted
AMELX,2,HPA|UniProt,True,other_secreted
AMELY,2,HPA|UniProt,True,other_secreted
AMH,2,HPA|UniProt,True,other_secreted
AMN,2,HPA|UniProt,True,other_secreted
AMTN,2,HPA|UniProt,True,other_secreted
AMY1A,2,HPA|UniProt,True,other_secreted
AMY1B,2,HPA|UniProt,True,other_secreted
AMY1C,2,HPA|UniProt,True,other_secreted
AMY2A,2,HPA|UniProt,True,other_secreted
AMY2B,2,HPA|UniProt,True,other_secreted
ANG,2,HPA|UniProt,True,other_secreted
ANGPT1,2,HPA|UniProt,True,other_secreted
ANGPT2,2,HPA|UniProt,True,other_secreted
ANGPT4,2,HPA|UniProt,True,other_secreted
ANGPTL1,2,HPA|UniProt,True,other_secreted
ANGPTL2,2,HPA|UniProt,True,other_secreted
ANGPTL3,2,HPA|UniProt,True,other_secreted
ANGPTL4,2,HPA|UniProt,True,other_secreted
ANGPTL5,2,HPA|UniProt,True,other_secreted
ANGPTL6,2,HPA|UniProt,True,other_secreted
ANGPTL7,2,HPA|UniProt,True,other_secreted
ANGPTL8,2,HPA|UniProt,True,other_secreted
ANOS1,2,HPA|UniProt,True,other_secreted
ANXA1,2,HPA|UniProt,True,other_secreted
ANXA2,2,HPA|UniProt,True,other_secreted
AOAH,2,HPA|UniProt,True,other_secreted
AOC1,2,HPA|UniProt,True,other_secreted
APCS,2,HPA|UniProt,True,other_secreted
APELA,2,HPA|UniProt,True,other_secreted
APLN,2,HPA|UniProt,True,other_secreted
APOA1,2,HPA|UniProt,True,other_secreted
APOA2,2,HPA|UniProt,True,other_secreted
APOA4,2,HPA|UniProt,True,other_secreted
APOA5,2,HPA|UniProt,True,other_secreted
APOB,2,HPA|UniProt,True,other_secreted
APOC1,2,HPA|UniProt,True,other_secreted
APOC2,2,HPA|UniProt,True,other_secreted
APOC3,2,HPA|UniProt,True,other_secreted
APOC4,2,HPA|UniProt,True,other_secreted
APOD,2,HPA|UniProt,True,other_secreted
APOE,2,HPA|UniProt,True,other_secreted
APOF,2,HPA|UniProt,True,other_secreted
APOH,2,HPA|UniProt,True,other_secreted
APOL1,2,HPA|UniProt,True,other_secreted
APOL4,2,HPA|UniProt,True,other_secreted
APOM,2,HPA|UniProt,True,other_secreted
APOO,2,HPA|UniProt,True,other_secreted
APP,2,HPA|UniProt,True,other_secreted
ARSF,2,HPA|UniProt,True,other_secreted
ARSI,2,HPA|UniProt,True,other_secreted
ARSJ,2,HPA|UniProt,True,other_secreted
ARSK,2,HPA|UniProt,True,other_secreted
ART5,2,HPA|UniProt,True,other_secreted
ARTN,2,HPA|UniProt,True,growth_factor
ASGR1,2,HPA|UniProt,True,other_secreted
ASIP,2,HPA|UniProt,True,other_secreted
ASPN,2,HPA|UniProt,True,other_secreted
ATRN,2,HPA|UniProt,True,other_secreted
AVP,2,HPA|UniProt,True,neuropeptide
AZGP1,2,HPA|UniProt,True,other_secreted
B2M,2,HPA|UniProt,True,other_secreted
B3GAT1,2,HPA|UniProt,True,other_secreted
BCAN,2,HPA|UniProt,True,other_secreted
BCHE,2,HPA|UniProt,True,other_secreted
BDNF,2,HPA|UniProt,True,growth_factor
BGLAP,2,HPA|UniProt,True,other_secreted
BGN,2,HPA|UniProt,True,ecm_matrisome_like
BMP1,2,HPA|UniProt,True,growth_factor
BMP10,2,HPA|UniProt,True,growth_factor
BMP15,2,HPA|UniProt,True,growth_factor
BMP2,2,HPA|UniProt,True,growth_factor
BMP3,2,HPA|UniProt,True,growth_factor
BMP4,2,HPA|UniProt,True,growth_factor
BMP5,2,HPA|UniProt,True,growth_factor
BMP6,2,HPA|UniProt,True,growth_factor
BMP7,2,HPA|UniProt,True,growth_factor
BMP8A,2,HPA|UniProt,True,growth_factor
BMP8B,2,HPA|UniProt,True,growth_factor
BMPER,2,HPA|UniProt,True,growth_factor
BPI,2,HPA|UniProt,True,other_secreted
BPIFA1,2,HPA|UniProt,True,other_secreted
BPIFA2,2,HPA|UniProt,True,other_secreted
BPIFA3,2,HPA|UniProt,True,other_secreted
BPIFB1,2,HPA|UniProt,True,other_secreted
BPIFB2,2,HPA|UniProt,True,other_secreted
BPIFB3,2,HPA|UniProt,True,other_secreted
BPIFB4,2,HPA|UniProt,True,other_secreted
BPIFB6,2,HPA|UniProt,True,other_secreted
BPIFC,2,HPA|UniProt,True,other_secreted
BRINP2,2,HPA|UniProt,True,other_secreted
BRINP3,2,HPA|UniProt,True,other_secreted
BSPH1,2,HPA|UniProt,True,other_secreted
BTBD17,2,HPA|UniProt,True,other_secreted
BTC,2,HPA|UniProt,True,other_secreted
BTD,2,HPA|UniProt,True,other_secreted
C14orf93,2,HPA|UniProt,True,other_secreted
C15orf61,2,HPA|UniProt,True,other_secreted
C16orf89,2,HPA|UniProt,True,other_secreted
C17orf67,2,HPA|UniProt,True,other_secreted
C17orf99,2,HPA|UniProt,True,other_secreted
C1QA,2,HPA|UniProt,True,other_secreted
C1QB,2,HPA|UniProt,True,other_secreted
C1QBP,2,HPA|UniProt,True,other_secreted
C1QC,2,HPA|UniProt,True,other_secreted
C1QL1,2,HPA|UniProt,True,other_secreted
C1QL2,2,HPA|UniProt,True,other_secreted
C1QL3,2,HPA|UniProt,True,other_secreted
C1QL4,2,HPA|UniProt,True,other_secreted
C1QTNF1,2,HPA|UniProt,True,other_secreted
C1QTNF12,2,HPA|UniProt,True,other_secreted
C1QTNF2,2,HPA|UniProt,True,other_secreted
C1QTNF3,2,HPA|UniProt,True,other_secreted
C1QTNF4,2,HPA|UniProt,True,other_secreted
C1QTNF5,2,HPA|UniProt,True,other_secreted
C1QTNF6,2,HPA|UniProt,True,other_secreted
C1QTNF7,2,HPA|UniProt,True,other_secreted
C1QTNF8,2,HPA|UniProt,True,other_secreted
C1QTNF9,2,HPA|UniProt,True,other_secreted
C1QTNF9B,2,HPA|UniProt,True,other_secreted
C1RL,2,HPA|UniProt,True,other_secreted
C1S,2,HPA|UniProt,True,other_secreted
C1orf54,2,HPA|UniProt,True,other_secreted
C2,2,HPA|UniProt,True,other_secreted
C2orf66,2,HPA|UniProt,True,other_secreted
C3,2,HPA|UniProt,True,other_secreted
C3orf33,2,HPA|UniProt,True,other_secreted
C4A,2,HPA|UniProt,True,other_secreted
C4B,2,HPA|UniProt,True,other_secreted
C4BPA,2,HPA|UniProt,True,other_secreted
C4BPB,2,HPA|UniProt,True,other_secreted
C5,2,HPA|UniProt,True,other_secreted
C5orf46,2,HPA|UniProt,True,other_secreted
C6,2,HPA|UniProt,True,other_secreted
C6orf120,2,HPA|UniProt,True,other_secreted
C6orf15,2,HPA|UniProt,True,other_secreted
C7,2,HPA|UniProt,True,other_secreted
C8A,2,HPA|UniProt,True,other_secreted
C8B,2,HPA|UniProt,True,other_secreted
C8G,2,HPA|UniProt,True,other_secreted
C9,2,HPA|UniProt,True,other_secreted
CA11,2,HPA|UniProt,True,other_secreted
CA6,2,HPA|UniProt,True,other_secreted
CALCA,2,HPA|UniProt,True,other_secreted
CALCB,2,HPA|UniProt,True,other_secreted
CAMP,2,HPA|UniProt,True,other_secreted
CARTPT,2,HPA|UniProt,True,neuropeptide
CBLIF,2,HPA|UniProt,True,other_secreted
CBLN1,2,HPA|UniProt,True,other_secreted
CBLN2,2,HPA|UniProt,True,other_secreted
CBLN3,2,HPA|UniProt,True,other_secreted
CBLN4,2,HPA|UniProt,True,other_secreted
CCBE1,2,HPA|UniProt,True,other_secreted
CCDC126,2,HPA|UniProt,True,other_secreted
CCDC134,2,HPA|UniProt,True,other_secreted
CCDC3,2,HPA|UniProt,True,other_secreted
CCDC80,2,HPA|UniProt,True,other_secreted
CCER2,2,HPA|UniProt,True,other_secreted
CCK,2,HPA|UniProt,True,neuropeptide
CCL1,2,HPA|UniProt,True,cytokine_chemokine
CCL11,2,HPA|UniProt,True,cytokine_chemokine
CCL13,2,HPA|UniProt,True,cytokine_chemokine
CCL14,2,HPA|UniProt,True,cytokine_chemokine
CCL15,2,HPA|UniProt,True,cytokine_chemokine
CCL16,2,HPA|UniProt,True,cytokine_chemokine
CCL17,2,HPA|UniProt,True,cytokine_chemokine
CCL18,2,HPA|UniProt,True,cytokine_chemokine
CCL19,2,HPA|UniProt,True,cytokine_chemokine
CCL2,2,HPA|UniProt,True,cytokine_chemokine
CCL20,2,HPA|UniProt,True,cytokine_chemokine
CCL21,2,HPA|UniProt,True,cytokine_chemokine
CCL22,2,HPA|UniProt,True,cytokine_chemokine
CCL23,2,HPA|UniProt,True,cytokine_chemokine
CCL24,2,HPA|UniProt,True,cytokine_chemokine
CCL25,2,HPA|UniProt,True,cytokine_chemokine
CCL26,2,HPA|UniProt,True,cytokine_chemokine
CCL27,2,HPA|UniProt,True,cytokine_chemokine
CCL28,2,HPA|UniProt,True,cytokine_chemokine
CCL3,2,HPA|UniProt,True,cytokine_chemokine
CCL3L1,2,HPA|UniProt,True,cytokine_chemokine
CCL4,2,HPA|UniProt,True,cytokine_chemokine
CCL5,2,HPA|UniProt,True,cytokine_chemokine
CCL7,2,HPA|UniProt,True,cytokine_chemokine
CCL8,2,HPA|UniProt,True,cytokine_chemokine
CCN1,2,HPA|UniProt,True,other_secreted
CCN2,2,HPA|UniProt,True,other_secreted
CCN3,2,HPA|UniProt,True,other_secreted
CCN4,2,HPA|UniProt,True,other_secreted
CCN5,2,HPA|UniProt,True,other_secreted
CCN6,2,HPA|UniProt,True,other_secreted
CD14,2,HPA|UniProt,True,other_secreted
CD160,2,HPA|UniProt,True,other_secreted
CD163,2,HPA|UniProt,True,other_secreted
CD274,2,HPA|UniProt,True,other_secreted
CD300H,2,HPA|UniProt,True,other_secreted
CD40,2,HPA|UniProt,True,other_secreted
CD40LG,2,HPA|UniProt,True,other_secreted
CD44,2,HPA|UniProt,True,other_secreted
CD48,2,HPA|UniProt,True,other_secreted
CD55,2,HPA|UniProt,True,other_secreted
CD5L,2,HPA|UniProt,True,other_secreted
CD6,2,HPA|UniProt,True,other_secreted
CD74,2,HPA|UniProt,True,other_secreted
CD99L2,2,HPA|UniProt,True,other_secreted
CDNF,2,HPA|UniProt,True,other_secreted
CDSN,2,HPA|UniProt,True,other_secreted
CEACAM16,2,HPA|UniProt,True,other_secreted
CEL,2,HPA|UniProt,True,other_secreted
CELA1,2,HPA|UniProt,True,other_secreted
CELA2A,2,HPA|UniProt,True,other_secreted
CELA2B,2,HPA|UniProt,True,other_secreted
CEMIP,2,HPA|UniProt,True,other_secreted
CER1,2,HPA|UniProt,True,other_secreted
CES4A,2,HPA|UniProt,True,other_secreted
CES5A,2,HPA|UniProt,True,other_secreted
CETP,2,HPA|UniProt,True,other_secreted
CFB,2,HPA|UniProt,True,other_secreted
CFC1,2,HPA|UniProt,True,other_secreted
CFC1B,2,HPA|UniProt,True,other_secreted
CFD,2,HPA|UniProt,True,other_secreted
CFH,2,HPA|UniProt,True,other_secreted
CFHR1,2,HPA|UniProt,True,other_secreted
CFHR2,2,HPA|UniProt,True,other_secreted
CFHR3,2,HPA|UniProt,True,other_secreted
CFHR4,2,HPA|UniProt,True,other_secreted
CFHR5,2,HPA|UniProt,True,other_secreted
CFI,2,HPA|UniProt,True,other_secreted
CFP,2,HPA|UniProt,True,other_secreted
CGA,2,HPA|UniProt,True,other_secreted
CGB1,2,HPA|UniProt,True,other_secreted
CGB2,2,HPA|UniProt,True,other_secreted
CGB3,2,HPA|UniProt,True,other_secreted
CGB7,2,HPA|UniProt,True,other_secreted
CGREF1,2,HPA|UniProt,True,other_secreted
CHAD,2,HPA|UniProt,True,other_secreted
CHADL,2,HPA|UniProt,True,other_secreted
CHI3L1,2,HPA|UniProt,True,other_secreted
CHI3L2,2,HPA|UniProt,True,other_secreted
CHIT1,2,HPA|UniProt,True,other_secreted
CHL1,2,HPA|UniProt,True,other_secreted
CHRD,2,HPA|UniProt,True,other_secreted
CHRDL1,2,HPA|UniProt,True,other_secreted
CHRDL2,2,HPA|UniProt,True,other_secreted
CHSY1,2,HPA|UniProt,True,other_secreted
CILP,2,HPA|UniProt,True,other_secreted
CILP2,2,HPA|UniProt,True,other_secreted
CKLF,2,HPA|UniProt,True,other_secreted
CLCA1,2,HPA|UniProt,True,other_secreted
CLCF1,2,HPA|UniProt,True,other_secreted
CLEC11A,2,HPA|UniProt,True,other_secreted
CLEC18A,2,HPA|UniProt,True,other_secreted
CLEC18B,2,HPA|UniProt,True,other_secreted
CLEC18C,2,HPA|UniProt,True,other_secreted
CLEC19A,2,HPA|UniProt,True,other_secreted
CLEC3A,2,HPA|UniProt,True,other_secreted
CLEC3B,2,HPA|UniProt,True,other_secreted
CLPS,2,HPA|UniProt,True,other_secreted
CLPSL1,2,HPA|UniProt,True,other_secreted
CLPSL2,2,HPA|UniProt,True,other_secreted
CLU,2,HPA|UniProt,True,other_secreted
CLUL1,2,HPA|UniProt,True,other_secreted
CMA1,2,HPA|UniProt,True,other_secreted
CNDP1,2,HPA|UniProt,True,other_secreted
CNMD,2,HPA|UniProt,True,other_secreted
COCH,2,HPA|UniProt,True,other_secreted
COL10A1,2,HPA|UniProt,True,ecm_matrisome_like
COL11A1,2,HPA|UniProt,True,ecm_matrisome_like
COL11A2,2,HPA|UniProt,True,ecm_matrisome_like
COL12A1,2,HPA|UniProt,True,ecm_matrisome_like
COL14A1,2,HPA|UniProt,True,ecm_matrisome_like
COL15A1,2,HPA|UniProt,True,ecm_matrisome_like
COL16A1,2,HPA|UniProt,True,ecm_matrisome_like
COL17A1,2,HPA|UniProt,True,ecm_matrisome_like
COL18A1,2,HPA|UniProt,True,ecm_matrisome_like
COL19A1,2,HPA|UniProt,True,ecm_matrisome_like
COL1A1,2,HPA|UniProt,True,ecm_matrisome_like
COL1A2,2,HPA|UniProt,True,ecm_matrisome_like
COL20A1,2,HPA|UniProt,True,ecm_matrisome_like
COL21A1,2,HPA|UniProt,True,ecm_matrisome_like
COL22A1,2,HPA|UniProt,True,ecm_matrisome_like
COL24A1,2,HPA|UniProt,True,ecm_matrisome_like
COL26A1,2,HPA|UniProt,True,ecm_matrisome_like
COL27A1,2,HPA|UniProt,True,ecm_matrisome_like
COL28A1,2,HPA|UniProt,True,ecm_matrisome_like
COL2A1,2,HPA|UniProt,True,ecm_matrisome_like
COL3A1,2,HPA|UniProt,True,ecm_matrisome_like
COL4A1,2,HPA|UniProt,True,ecm_matrisome_like
COL4A2,2,HPA|UniProt,True,ecm_matrisome_like
COL4A3,2,HPA|UniProt,True,ecm_matrisome_like
COL4A4,2,HPA|UniProt,True,ecm_matrisome_like
COL4A5,2,HPA|UniProt,True,ecm_matrisome_like
COL4A6,2,HPA|UniProt,True,ecm_matrisome_like
COL5A1,2,HPA|UniProt,True,ecm_matrisome_like
COL5A2,2,HPA|UniProt,True,ecm_matrisome_like
COL5A3,2,HPA|UniProt,True,ecm_matrisome_like
COL6A1,2,HPA|UniProt,True,ecm_matrisome_like
COL6A2,2,HPA|UniProt,True,ecm_matrisome_like
COL6A3,2,HPA|UniProt,True,ecm_matrisome_like
COL6A5,2,HPA|UniProt,True,ecm_matrisome_like
COL6A6,2,HPA|UniProt,True,ecm_matrisome_like
COL7A1,2,HPA|UniProt,True,ecm_matrisome_like
COL8A1,2,HPA|UniProt,True,ecm_matrisome_like
COL8A2,2,HPA|UniProt,True,ecm_matrisome_like
COL9A1,2,HPA|UniProt,True,ecm_matrisome_like
COL9A2,2,HPA|UniProt,True,ecm_matrisome_like
COL9A3,2,HPA|UniProt,True,ecm_matrisome_like
COLEC10,2,HPA|UniProt,True,other_secreted
COLEC11,2,HPA|UniProt,True,other_secreted
COMP,2,HPA|UniProt,True,other_secreted
COPA,2,HPA|UniProt,True,other_secreted
