Entry	Gene Names	Protein names
A0A0C5B5G6	MT-RNR1	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)
A0A0K2S4Q6	CD300H	Protein CD300H (CD300 antigen-like family member H)
A0M8Q6	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)
A1E959	ODAM APIN	Odontogenic ameloblast-associated protein (Apin)
A1KZ92	PXDNL VPO2	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)
A1L4H1	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)
A2VEC9	SSPOP KIAA2036 SSPO	SCO-spondin (SCO-spondin pseudogene)
A4D0S4	LAMB4	Laminin subunit beta-4 (Laminin beta-1-related protein)
A4D1T9	PRSS37 TRYX2	Probable inactive serine protease 37 (Probable inactive trypsin-X2)
A5D8T8	CLEC18A MRLP2	C-type lectin domain family 18 member A (Mannose receptor-like protein 2)
A6NI73	LILRA5 ILT11 LILRB7 LIR9	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)
A6NMY6	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)
A6NMZ7	COL6A6	Collagen alpha-6(VI) chain
A8K2U0	A2ML1 CPAMD9	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)
A8K7I4	CLCA1 CACC1	Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1)
A8TX70	COL6A5 COL29A1 VWA4	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)
B2RUY7	VWC2L	von Willebrand factor C domain-containing protein 2-like (VWC2-like protein) (Brorin-like)
K9M1U5	IFNL4	Interferon lambda-4 (IFN-lambda-4)
M5A8F1	ERVH48-1 C21orf105 HERV-Fb1 NDUFV3-AS1	Suppressyn (Endogenous retrovirus group 48 member 1) (NDUFV3 antisense RNA 1) (endogenous retrovirus group Fb member 1)
O00175	CCL24 MPIF2 SCYA24	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)
O00182	LGALS9	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)
O00187	MASP2	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]
O00230	CORT UNQ307/PRO350	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17; Cortistatin-14]
O00253	AGRP AGRT ART	Agouti-related protein
O00264	PGRMC1 HPR6.6 PGRMC	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)
O00292	LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024	Left-right determination factor 2 (Endometrial bleeding-associated factor) (Left-right determination factor A) (Protein lefty-2) (Protein lefty-A) (Transforming growth factor beta-4) (TGF-beta-4)
O00294	TULP1 TUBL1	Tubby-related protein 1 (Tubby-like protein 1)
O00300	TNFRSF11B OCIF OPG	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)
O00339	MATN2 UNQ193/PRO219	Matrilin-2
