gene,Beta
A2M,-0.0176876278975369
AAK1,2.80416845916105
AARS,-2.04527913605202
AARSD1,0.024689316849766
AASDHPPT,-0.00959881539936444
ABAT,-0.241726772967174
ABCB7,-0.392371914791953
ABCB8,0.221214018150008
ABCD3,-0.370287959396789
ABCE1,-0.364478661840457
ABCF1,-0.119196569348842
ABETA,-0.153366950173043
ABHD10,0.409854837409553
ABHD11,0.432868092811643
ABHD12,0.0291152161102993
ABHD14B,-0.277704543080907
ABHD16A,1.05792084992943
ABHD17B,0.0879591094417643
ABHD17C,-0.195270288858737
ABHD6,-0.314843375981625
ABI1,0.869686240278457
ABI2,0.927060694325065
ABLIM1,-1.30279325289087
ABLIM2,0.9279238672870544
ABR,1.5972910167207
ABRACL,0.0897787343314208
ACAA1,-0.593412533849955
ACAA2,-0.0136819229887469
ACACA,-0.295934333020756
ACAD8,0.122232199083523
ACAD9,1.0364507268087
ACADM,0.0256282306535997
ACADS,0.0536580855015101
ACADSB,0.773694794738249
ACADVL,0.269661967177953
ACAN,-0.486578057152332
ACAT1,0.115820713219779
ACAT2,-1.23974503180838
ACBD5,-0.334932300919369
ACBD7,-0.0438622226369805
ACIN1,-0.34880287205961
ACLY,-2.12815135118484
ACO1,-0.863783731856703
ACO2,1.79356541696573
ACOT13,0.945222241049516
ACOT2,0.0777975424075767
ACOT7,1.57289305905339
ACOT9,-0.29516572697362
ACOX1,0.280067942095103
ACP1,0.2927452911464125
ACSBG1,0.0480802215110838
ACSF2,-0.204888271203157
ACSF3,0.00385162874491516
ACSL1,-0.754387975485517
ACSL3,-0.187223412802393
ACSL4,0.0595924461765833
ACSL6,0.345407453714566
ACSS1,0.140578178883165
ACSS3,-0.285009835527228
ACTB,-0.505311952526622
ACTC1,0.0345352236038057
ACTG1,0.426343216149089
ACTL6B,-0.467094567604839
ACTN1,3.13716634093011
ACTN2,1.83096474295265
ACTN4,0.85314007783964
ACTR10,0.142541327327105
ACTR1A,-2.14165383274694
ACTR1B,-0.0300483548101356
ACTR2,0.14276063394648109
ACTR3,-0.232938758891143
ACTR3B,1.86798472947905
ACY1,-0.516708290403508
ACYP1,-0.225891720164949
ACYP2,-0.398294606986655
ADAM10,-0.313444467897571
ADAM11,0.774044599635504
ADAM22,-1.38794785936823
ADAM23,-1.08049306983636
ADAP1,1.33137804275503
ADAP2,0.118754659450625
ADAR,-0.179172873138215
ADCK3,0.259656209407265
ADCY1,-0.0139450609004721
ADCY2,-0.0284011365970505
ADCY9,-0.485626333411905
ADCYAP1R1,-0.393260074820984
ADD1,0.283540526958092
ADD2,2.00995119976928
ADD3,-1.140455848810553
ADH5,-1.16537828708706
ADIRF,-0.278128654909402
ADK,-0.816023359982061
ADO,-0.390247282892405
ADPRHL2,-0.310200148612771
ADRBK1,0.550911077342857
ADRM1,-0.120495901439352
ADSS,0.385653192782217
AFG3L2,1.61362471055674
AGAP1,0.0440235977345524
AGAP2,0.117667143937788
AGAP3,0.964969940370513
AGFG1,-0.474205796731532
AGFG2,-0.164967347476475
AGK,1.78134229348846
AGL,0.17952882161425
AGO1,-0.206707950698396
AGPAT1,-0.145294083029062
AGPAT3,-0.143236144456161
AGPAT5,-0.224771092124915
AGPS,0.195624315156331
AGRN,-1.06214789171689
AGT,-0.18752999987115
AHCY,-0.476010121578778
AHCYL1,1.11642075090955
AHCYL2,0.611799571065751
AHNAK,-0.736039318119083
AHNAK2,0.00877988794160495
AHSA1,-0.97687884939701
AHSG,0.021896640012062
AIDA,0.0204950910086699
AIF1L,-0.600390673201031
AIFM1,1.54123672475628
AIFM3,-0.088016813348639
AIMP1,-0.0296051893386881
AIMP2,-0.0842496232248294
AIP,-1.46779750621553
AK1,-2.21154482189854
AK2,-0.261423468207323
AK3,1.13841086443718
AK4,0.843397176602634
AK5,0.793366421746933
AKAP10,-0.192930522095542
AKAP12,-0.978838452877227
AKAP5,0.585626049631664
AKAP7,-0.314046412111843
AKR1A1,-0.577456082819848
AKR1B1,-1.70414621531548
AKR1C1,-0.287618444677055
AKR1D1,-0.462506607998119
AKR7A2,0.137480962435588
AKT3,-0.37482421782632
AKTIP,0.173616571478834
ALAD,-1.20523751697998
ALB,-0.118024797829899
ALCAM,-0.793330727574796
ALDH18A1,0.231149928304548
ALDH1A1,0.238358750234144
ALDH1B1,0.0187282277140016
ALDH1L1,-0.505177568316708
ALDH2,1.1088626029305
ALDH3A2,-0.718113923176497
ALDH4A1,0.47392240555196
ALDH5A1,2.08672601766786
ALDH6A1,-0.337052139065975
ALDH7A1,-0.406522917265002
ALDH9A1,-0.657386202867003
ALDOA,3.38537610202834
ALDOC,-0.227284790755972
ALG2,-0.110952109100134
ALYREF,-0.376395729245568
AMER2,-0.210884219708261
AMPD2,-1.27235853760182
AMPH,-0.508865435838023
ANK1,-0.397090829520515
ANK2,-0.551769656458463
ANK3,-0.327916321962485
ANKFY1,-1.70905300662796
ANKMY2,0.33061687084197
ANKRD18B,-0.625292230852195
ANKRD24,0.624197712761039
ANKRD29,-0.903311930547059
ANKRD44,-0.345741997086169
ANKS1B,1.74989344335889
ANLN,-0.201360162527979
ANP32A,-1.83573882405369
ANP32E,0.138571471538888
ANXA1,-1.00631111745136
ANXA11,0.0106965008822235
ANXA2,-0.284506188961893
ANXA3,-0.177500030244036
ANXA4,-0.952513982073891
ANXA5,-0.867226877555182
ANXA6,-0.346082328172033
ANXA7,-0.514166280264213
AP1B1,-0.0980451919316947
AP1G1,1.54449176132406
AP1M1,1.13407082286176
AP1S1,0.470536041296017
AP2A1,3.62859172868287
AP2A2,3.04167503608109
AP2B1,2.95213593581518
AP2M1,2.47210092550402
AP2S1,0.752395813865576
AP3B2,4.29179793713604
AP3D1,3.60200439518957
AP3M1,-0.146018909112649
AP3M2,1.47827514331315
AP3S1,0.6191975258013824
APBA1,-0.133603019877499
APBA2,0.161000512218199
APBB1,0.0323896709711425
APEH,0.355794195622289
APEX1,0.247732746536437
API5,-0.6562511928313
APLP1,0.176268812195489
APLP2,-0.322275842039588
APMAP,0.588461500420555
APOA1,0.017173895108825
APOA1BP,0.813906752082195
APOA2,-0.0578856667748937
APOC3,0.137805631425768
APOD,-0.774804367490576
APOE,-0.238830360943475
APOL2,0.153940837542448
APOO,2.13243315872541
APOOL,1.24437041340779
APP,-0.938638660947568
APPL1,-0.273797451336243
APPL2,-0.0661003925038053
APRT,0.159681041358059
AQP4,-0.697755641934749
ARAF,0.212889104533778
ARCN1,-0.976421883170953
ARF3,0.137338821601068
ARF4,0.06978773164535135
ARF5,0.784418043234489
ARF6,-0.129735460880313
ARFGAP1,0.517948239866525
ARFGAP2,1.00943077758133
ARFGEF1,-0.075459754790382
ARFGEF2,0.518460310784854
ARFIP2,0.414086295837893
ARHGAP1,-0.498771755162091
ARHGAP21,0.456407258129608
ARHGAP26,0.605848170262012
ARHGAP32,-0.184470062002033
ARHGAP35,-0.00229397534784967
ARHGAP44,0.714470703815293
ARHGAP5,0.141729506366239
ARHGDIA,1.19302640347309
ARHGDIB,0.0828363368541628
ARHGEF10L,-0.320786384378819
ARHGEF11,-0.0644073862625251
ARHGEF12,-0.469215579389223
ARHGEF2,0.526129266963277
ARHGEF6,-0.391692466956102
ARHGEF7,1.96882237292707
ARHGEF9,-7.56e-05
ARIH1,0.469676803527747
ARL1,-0.00841226102012849
ARL15,0.561304694446483
ARL2,-0.798545924640805
ARL3,-0.146034386404537
