celltype,donor,n_cells,group,dropped_by_min10
Astro,11,1606,HA,False
Astro,16,1068,HA,False
Astro,35,938,HA,False
Astro,14,909,HA,False
Astro,2,808,YA,False
Astro,45,777,YA,False
Astro,47,752,YA,False
Astro,28,636,HA,False
Astro,15,597,HA,False
Astro,43,586,YA,False
Astro,29,555,YA,False
Astro,37,456,HA,False
Astro,32,453,HA,False
Astro,7,329,YA,False
Astro,44,317,HA,False
Astro,30,266,YA,False
Astro,39,97,YA,False
Micro,11,1148,HA,False
Micro,14,575,HA,False
Micro,15,479,HA,False
Micro,2,458,YA,False
Micro,44,324,HA,False
Micro,16,286,HA,False
Micro,35,253,HA,False
Micro,28,226,HA,False
Micro,32,198,HA,False
Micro,7,172,YA,False
Micro,45,145,YA,False
Micro,37,117,HA,False
Micro,43,110,YA,False
Micro,30,107,YA,False
Micro,29,86,YA,False
Micro,47,41,YA,False
Micro,39,5,YA,True
Oligo,2,3871,YA,False
Oligo,15,2991,HA,False
Oligo,30,2864,YA,False
Oligo,11,1481,HA,False
Oligo,14,1367,HA,False
Oligo,32,1308,HA,False
Oligo,47,1116,YA,False
Oligo,45,1097,YA,False
Oligo,16,1049,HA,False
Oligo,43,1017,YA,False
Oligo,28,1015,HA,False
Oligo,44,992,HA,False
Oligo,37,944,HA,False
Oligo,35,895,HA,False
Oligo,7,726,YA,False
Oligo,29,393,YA,False
Oligo,39,74,YA,False
OPC,47,744,YA,False
OPC,2,726,YA,False
OPC,11,653,HA,False
OPC,45,383,YA,False
OPC,7,379,YA,False
OPC,43,351,YA,False
OPC,14,335,HA,False
OPC,35,309,HA,False
OPC,32,290,HA,False
OPC,44,283,HA,False
OPC,30,277,YA,False
OPC,16,275,HA,False
OPC,29,261,YA,False
OPC,37,237,HA,False
OPC,15,218,HA,False
OPC,28,202,HA,False
OPC,39,58,YA,False
Endo,15,190,HA,False
Endo,35,135,HA,False
Endo,45,111,YA,False
Endo,11,83,HA,False
Endo,44,45,HA,False
Endo,43,42,YA,False
Endo,28,42,HA,False
Endo,2,41,YA,False
Endo,29,36,YA,False
Endo,30,33,YA,False
Endo,16,32,HA,False
Endo,7,24,YA,False
Endo,32,17,HA,False
Endo,14,17,HA,False
Endo,39,14,YA,False
Endo,37,11,HA,False
Endo,47,8,YA,True
