celltype,arm,gene,n_peaks,lfc_atac,lfc_rna,padj_rna,rna_hit,concord
Astro,all_donors,ISG15,5,-0.01755,0.18316,0.9008186109444148,False,False
Astro,all_donors,AGRN,1,-0.04132,0.07489,0.9587688417484072,False,False
Astro,all_donors,VWA1,3,0.02252,0.19733,0.8606753552723297,False,True
Astro,all_donors,MMEL1,1,0.00292,1.39684,,False,True
Astro,all_donors,MEGF6,25,0.03422,1.14124,0.3873790927767683,False,True
Astro,all_donors,TNFRSF25,1,0.31572,-0.50693,0.7693870171843106,False,False
Astro,all_donors,CORT,1,-0.16657,0.30285,,False,False
Astro,all_donors,ANGPTL7,2,-0.51905,0.08494,,False,False
Astro,all_donors,DRAXIN,2,0.32892,1.68929,,False,True
Astro,all_donors,NPPA,2,-0.26089,0.59955,,False,False
Astro,all_donors,TNFRSF1B,2,-0.05533,0.17591,0.9451818298845536,False,False
Astro,all_donors,CELA2B,1,0.13541,0.36756,0.8536754503100814,False,True
Astro,all_donors,NBL1,14,-0.2549,-0.10593,0.91863794422707,False,True
Astro,all_donors,PLA2G5,1,-0.29496,-0.86952,0.3153971913192685,False,True
Astro,all_donors,PLA2G2C,2,-0.37396,-0.08287,,False,True
Astro,all_donors,VWA5B1,2,0.04958,-0.34171,,False,False
Astro,all_donors,HSPG2,2,-0.02496,-0.3107,0.8005333952690744,False,True
Astro,all_donors,WNT4,1,0.40928,0.61347,,False,True
Astro,all_donors,C1QA,2,-0.51985,1.53968,0.6514601718557442,False,False
Astro,all_donors,C1QC,3,0.14932,0.87531,0.7974236385706738,False,True
Astro,all_donors,C1QB,3,0.24897,1.37125,0.6137389876523864,False,True
Astro,all_donors,COL16A1,3,0.11698,0.13581,0.8937485246753931,False,True
Astro,all_donors,ADGRB2,5,0.16671,-0.34606,0.638277787867011,False,False
Astro,all_donors,FNDC5,2,-0.20954,-0.65632,0.3608249525712216,False,True
Astro,all_donors,COL8A2,7,-0.06391,1.97074,,False,False
Astro,all_donors,CSF3R,1,-0.18111,-0.69719,0.7872643998390298,False,True
Astro,all_donors,EPHA10,3,-0.41069,-1.09098,,False,True
Astro,all_donors,BMP8A,3,-0.60104,-0.27033,,False,True
Astro,all_donors,BMP8B,2,-0.34017,-0.01638,,False,True
Astro,all_donors,PPT1,6,-0.0024,0.10476,0.8961354658979104,False,False
