celltype,arm,n_donor,n_YA,n_HA,n_cells,donors_dropped,a2_evaluable,n_fg_peaks,a2_obs_mean_oriented,a2_obs_using_published_lfc,conc_evaluable,n_rna_hits,n_concordant,concordance
Astro,all_donors,17,8,9,11150,,True,160,0.18337765044846682,0.18337765044846682,True,26,21,0.8077
Astro,min10_cells,17,8,9,11150,,True,160,0.18337765044846682,0.18337765044846682,True,26,21,0.8077
Micro,all_donors,17,8,9,4730,,True,54,0.23907819564871227,0.23907819564871224,True,12,8,0.6667
Micro,min10_cells,16,7,9,4725,39,True,54,0.2724982976223194,0.23907819564871224,True,12,10,0.8333
Oligo,all_donors,17,8,9,23200,,True,30,-0.015096791137234692,-0.015096791137234692,True,5,2,0.4
Oligo,min10_cells,17,8,9,23200,,True,30,-0.015096791137234692,-0.015096791137234692,True,5,2,0.4
OPC,all_donors,17,8,9,5981,,True,19,0.28634525043059034,0.28634525043059034,True,6,6,1.0
OPC,min10_cells,17,8,9,5981,,True,19,0.28634525043059034,0.28634525043059034,True,6,6,1.0
Endo,all_donors,17,8,9,881,,True,40,0.11179544327991456,0.11179544327991456,True,11,4,0.3636
Endo,min10_cells,16,7,9,873,47,True,39,0.27634568988872665,0.17219091312346654,True,11,5,0.4545
