cohort,k,match_features,n_hits_evaluable,obs_concordance,bg_unmatched,bg_matched,p_matched_perm_iii,p_binom_vs_matched_iii,obs_mean_signed,bg_unmatched_mean_signed,bg_matched_mean_signed,p_matched_perm_i,hits_mean_abs_lfc,pool_mean_abs_lfc,hits_mean_log10bm,pool_mean_log10bm
GSE278576,10,alfc,48,0.8125,0.5781,0.7167,0.0739,0.09102,0.784,0.1199,0.5241,0.0538,1.711,1.603,1.6,0.911
GSE278576,10,alfc+lbm,48,0.8125,0.5781,0.75,0.18724,0.20483,0.784,0.1199,0.6056,0.14569,1.711,1.54,1.6,1.418
GSE278576,20,alfc,48,0.8125,0.5781,0.7083,0.06185,0.07238,0.784,0.1199,0.5271,0.0656,1.711,1.532,1.6,0.878
GSE278576,20,alfc+lbm,48,0.8125,0.5781,0.7375,0.13589,0.15415,0.784,0.1199,0.5928,0.13229,1.711,1.46,1.6,1.354
GSE278576,50,alfc,48,0.8125,0.5781,0.68,0.02945,0.03073,0.784,0.1199,0.4296,0.013,1.711,1.404,1.6,0.913
GSE278576,50,alfc+lbm,48,0.8125,0.5781,0.7033,0.05805,0.06277,0.784,0.1199,0.4629,0.0219,1.711,1.312,1.6,1.286
GSE278576,100,alfc,48,0.8125,0.5781,0.6629,0.0168,0.01731,0.784,0.1199,0.3553,0.00235,1.711,1.247,1.6,0.954
GSE278576,100,alfc+lbm,48,0.8125,0.5781,0.6733,0.02415,0.02469,0.784,0.1199,0.3759,0.00285,1.711,1.161,1.6,1.261
GSE278576,200,alfc,48,0.8125,0.5781,0.6528,0.0122,0.01208,0.784,0.1199,0.3055,0.00015,1.711,1.053,1.6,1.005
GSE278576,200,alfc+lbm,48,0.8125,0.5781,0.6486,0.01005,0.01037,0.784,0.1199,0.3053,0.0004,1.711,0.981,1.6,1.243
GSE278576_age,10,alfc,49,0.7959,0.5419,0.6265,0.0039,0.00857,0.0136,0.0045,0.0308,0.12389,1.723,1.617,1.587,0.887
GSE278576_age,10,alfc+lbm,49,0.7959,0.5419,0.6714,0.0319,0.04034,0.0136,0.0045,0.0325,0.17154,1.723,1.557,1.587,1.397
GSE278576_age,20,alfc,49,0.7959,0.5419,0.6418,0.0107,0.01505,0.0136,0.0045,0.0083,0.0898,1.723,1.55,1.587,0.869
GSE278576_age,20,alfc+lbm,49,0.7959,0.5419,0.6633,0.0252,0.03115,0.0136,0.0045,0.0208,0.12944,1.723,1.476,1.587,1.344
GSE278576_age,50,alfc,49,0.7959,0.5419,0.611,0.0038,0.00467,0.0136,0.0045,0.006,0.02715,1.723,1.42,1.587,0.894
GSE278576_age,50,alfc+lbm,49,0.7959,0.5419,0.6461,0.0161,0.0175,0.0136,0.0045,0.0162,0.0522,1.723,1.327,1.587,1.275
GSE278576_age,100,alfc,49,0.7959,0.5419,0.6045,0.0032,0.00358,0.0136,0.0045,0.0071,0.0187,1.723,1.262,1.587,0.939
GSE278576_age,100,alfc+lbm,49,0.7959,0.5419,0.6149,0.0054,0.00545,0.0136,0.0045,0.0146,0.0394,1.723,1.174,1.587,1.245
GSE278576_age,200,alfc,49,0.7959,0.5419,0.5994,0.00265,0.00289,0.0136,0.0045,0.0054,0.01875,1.723,1.067,1.587,0.991
GSE278576_age,200,alfc+lbm,49,0.7959,0.5419,0.6008,0.00365,0.00307,0.0136,0.0045,0.009,0.0193,1.723,0.993,1.587,1.227
GSE278576_sexadj,10,alfc,48,0.8125,0.569,0.7,0.04455,0.05696,0.7905,0.1155,0.4939,0.03605,1.711,1.603,1.6,0.911
GSE278576_sexadj,10,alfc+lbm,48,0.8125,0.569,0.7521,0.19234,0.21427,0.7905,0.1155,0.5551,0.06005,1.711,1.54,1.6,1.418
GSE278576_sexadj,20,alfc,48,0.8125,0.569,0.6948,0.0398,0.04879,0.7905,0.1155,0.5198,0.08365,1.711,1.532,1.6,0.878
GSE278576_sexadj,20,alfc+lbm,48,0.8125,0.569,0.724,0.09795,0.11027,0.7905,0.1155,0.5293,0.0559,1.711,1.46,1.6,1.354
GSE278576_sexadj,50,alfc,48,0.8125,0.569,0.6696,0.021,0.02177,0.7905,0.1155,0.3878,0.02025,1.711,1.404,1.6,0.913
GSE278576_sexadj,50,alfc+lbm,48,0.8125,0.569,0.69,0.03825,0.04215,0.7905,0.1155,0.3974,0.005,1.711,1.312,1.6,1.286
GSE278576_sexadj,100,alfc,48,0.8125,0.569,0.6481,0.0087,0.01017,0.7905,0.1155,0.3067,0.00885,1.711,1.247,1.6,0.954
GSE278576_sexadj,100,alfc+lbm,48,0.8125,0.569,0.6594,0.0146,0.01528,0.7905,0.1155,0.3243,0.0006,1.711,1.161,1.6,1.261
GSE278576_sexadj,200,alfc,48,0.8125,0.569,0.6407,0.0078,0.0077,0.7905,0.1155,0.2768,0.00965,1.711,1.053,1.6,1.005
GSE278576_sexadj,200,alfc+lbm,48,0.8125,0.569,0.6373,0.00705,0.00675,0.7905,0.1155,0.2707,0.0034,1.711,0.981,1.6,1.243
GSE186538,10,alfc,59,0.7627,0.5906,0.678,0.08595,0.10286,0.0172,0.0081,0.0147,0.31123,1.807,1.719,1.53,0.765
GSE186538,10,alfc+lbm,59,0.7627,0.5906,0.7627,0.57432,0.57109,0.0172,0.0081,0.0255,0.9521,1.807,1.653,1.53,1.323
GSE186538,20,alfc,59,0.7627,0.5906,0.6822,0.10749,0.11567,0.0172,0.0081,0.0143,0.29379,1.807,1.658,1.53,0.75
GSE186538,20,alfc+lbm,59,0.7627,0.5906,0.7407,0.40498,0.41509,0.0172,0.0081,0.0205,0.73811,1.807,1.568,1.53,1.279
GSE186538,50,alfc,59,0.7627,0.5906,0.6563,0.0534,0.05351,0.0172,0.0081,0.0172,0.21504,1.807,1.532,1.53,0.772
GSE186538,50,alfc+lbm,59,0.7627,0.5906,0.7068,0.20909,0.21382,0.0172,0.0081,0.0211,0.45818,1.807,1.423,1.53,1.198
GSE186538,100,alfc,59,0.7627,0.5906,0.6676,0.07385,0.07617,0.0172,0.0081,0.0147,0.18799,1.807,1.383,1.53,0.8
GSE186538,100,alfc+lbm,59,0.7627,0.5906,0.6931,0.15229,0.15382,0.0172,0.0081,0.0234,0.30138,1.807,1.271,1.53,1.154
GSE186538,200,alfc,59,0.7627,0.5906,0.6398,0.0279,0.03075,0.0172,0.0081,0.0144,0.11924,1.807,1.173,1.53,0.852
GSE186538,200,alfc+lbm,59,0.7627,0.5906,0.665,0.06855,0.07035,0.0172,0.0081,0.021,0.16199,1.807,1.079,1.53,1.126
GSE186538_drop79,10,alfc,59,0.4746,0.5139,0.5424,0.88676,0.88003,-0.0308,0.031,-0.1536,0.56442,1.807,1.704,1.53,0.766
GSE186538_drop79,10,alfc+lbm,59,0.4746,0.5139,0.5678,0.9523,0.94196,-0.0308,0.031,-0.2289,0.42843,1.807,1.636,1.53,1.322
GSE186538_drop79,20,alfc,59,0.4746,0.5139,0.5534,0.91485,0.91092,-0.0308,0.031,-0.1138,0.65127,1.807,1.641,1.53,0.757
GSE186538_drop79,20,alfc+lbm,59,0.4746,0.5139,0.5864,0.9733,0.96889,-0.0308,0.031,-0.0703,0.64167,1.807,1.554,1.53,1.276
GSE186538_drop79,50,alfc,59,0.4746,0.5139,0.5505,0.90585,0.90347,-0.0308,0.031,0.0272,0.83801,1.807,1.514,1.53,0.783
GSE186538_drop79,50,alfc+lbm,59,0.4746,0.5139,0.561,0.9329,0.92859,-0.0308,0.031,0.0224,0.84056,1.807,1.406,1.53,1.197
GSE186538_drop79,100,alfc,59,0.4746,0.5139,0.5392,0.86981,0.86975,-0.0308,0.031,0.0152,0.85386,1.807,1.366,1.53,0.807
GSE186538_drop79,100,alfc+lbm,59,0.4746,0.5139,0.548,0.89776,0.89653,-0.0308,0.031,0.0423,0.87296,1.807,1.258,1.53,1.156
GSE186538_drop79,200,alfc,59,0.4746,0.5139,0.5394,0.87326,0.87058,-0.0308,0.031,0.0095,0.86106,1.807,1.159,1.53,0.859
GSE186538_drop79,200,alfc+lbm,59,0.4746,0.5139,0.539,0.87086,0.86919,-0.0308,0.031,0.0396,0.89896,1.807,1.068,1.53,1.128
GSE199243v2,10,alfc,56,0.6071,0.5098,0.5321,0.15094,0.16089,0.0077,0.0004,-0.0007,0.0128,1.792,1.619,1.56,0.984
GSE199243v2,10,alfc+lbm,56,0.6071,0.5098,0.5107,0.08015,0.09477,0.0077,0.0004,-0.0033,0.0008,1.792,1.563,1.56,1.385
GSE199243v2,20,alfc,56,0.6071,0.5098,0.5286,0.14264,0.14816,0.0077,0.0004,-0.0009,0.01045,1.792,1.537,1.56,0.956
GSE199243v2,20,alfc+lbm,56,0.6071,0.5098,0.5116,0.09055,0.09705,0.0077,0.0004,-0.0027,0.00135,1.792,1.46,1.56,1.343
GSE199243v2,50,alfc,56,0.6071,0.5098,0.5136,0.09645,0.10219,0.0077,0.0004,-0.0018,0.0066,1.792,1.377,1.56,0.999
GSE199243v2,50,alfc+lbm,56,0.6071,0.5098,0.5207,0.11954,0.12259,0.0077,0.0004,-0.0012,0.0057,1.792,1.293,1.56,1.284
GSE199243v2,100,alfc,56,0.6071,0.5098,0.5232,0.13019,0.13036,0.0077,0.0004,-0.0001,0.01745,1.792,1.203,1.56,1.048
GSE199243v2,100,alfc+lbm,56,0.6071,0.5098,0.5339,0.16499,0.16752,0.0077,0.0004,0.0004,0.0205,1.792,1.131,1.56,1.268
GSE199243v2,200,alfc,56,0.6071,0.5098,0.5292,0.14844,0.15034,0.0077,0.0004,0.0007,0.02355,1.792,0.988,1.56,1.1
GSE199243v2,200,alfc+lbm,56,0.6071,0.5098,0.5294,0.15024,0.15096,0.0077,0.0004,0.0006,0.01835,1.792,0.924,1.56,1.266
