"celltype","contrast","n_motifs","nsig_raw","nsig_donor_centred","mean_dz_raw","mean_dz_centred","frac_dz_pos_raw","frac_dz_pos_centred"
"Astro","HAvYA",633,0,0,-0.0137776925864626,-9.2666207304452e-18,0.336492890995261,0.388625592417062
"Astro","ADvHA",633,442,213,0.26687628590119,7.16228579702954e-18,0.884676145339652,0.532385466034755
"Micro","HAvYA",633,0,0,0.0401019345999527,4.9934960721394e-18,0.642969984202212,0.454976303317536
"Micro","ADvHA",633,423,116,0.188912986037167,-1.69897734747796e-17,0.879936808846761,0.606635071090047
"Oligo","HAvYA",633,0,0,0.00912361193760745,1.2522342402248e-17,0.541864139020537,0.492890995260663
"Oligo","ADvHA",633,527,278,0.299839827716201,-8.47583184138836e-18,0.944707740916272,0.565560821484992
"OPC","HAvYA",633,0,0,-0.0126103189009707,2.36582591354306e-18,0.406003159557662,0.469194312796209
"OPC","ADvHA",633,382,148,0.213412413780673,1.28295544277811e-17,0.914691943127962,0.52132701421801
"Endo","HAvYA",633,0,0,-0.0965021937688154,-1.52115877079231e-17,0.18957345971564,0.492890995260663
"Endo","ADvHA",633,161,34,0.118652289173062,1.87585816636039e-17,0.734597156398104,0.576619273301738
