celltype,design,gene,lfc,padj
Astro,~grp,FAP,2.6282,4.530606079504249e-05
Astro,~grp,HMCN2,-2.6301,4.530606079504249e-05
Astro,~grp,WNT5B,-1.5535,0.0004058401635182141
Astro,~grp,COL21A1,1.9097,0.005250464666707119
Astro,~grp,TNC,1.3542,0.005250464666707119
Astro,~grp,ECM2,1.7787,0.012789244592424961
Astro,~grp,CCN2,2.3065,0.013167257085562458
Astro,~grp,SEMA3D,1.8048,0.013167257085562458
Astro,~grp,ANXA1,2.574,0.013167257085562458
Astro,~grp,COL12A1,1.454,0.013781546191476738
Astro,~grp,USH2A,-1.2124,0.01683453927907241
Astro,~grp,IGFBP5,1.5808,0.01755775628039522
Astro,~grp,CXCL2,2.2244,0.020157279751455804
Astro,~grp,LYPD6,-0.656,0.031059599589478713
Astro,~grp,CHST9,0.9885,0.03447868358099021
Astro,~grp,ADAMTS19,-2.9795,0.03820992257786083
Astro,~grp,CRB2,0.9353,0.04035821676059832
Astro,~grp,COL8A1,1.5338,0.058018357241542376
Astro,~grp,COL26A1,-1.2754,0.06340360140561596
Astro,~grp,APOD,1.8308,0.06355144583461467
Astro,~grp,OTOS,2.273,0.0638656640298653
Astro,~grp,KITLG,0.8337,0.06760686135052842
Astro,~grp,FN1,-1.5109,0.0712009936935276
Astro,~grp,ANTXR2,0.669,0.07280769246738614
Astro,~grp,PAPPA2,0.6675,0.08166809857423094
Astro,~grp,TAFA1,-1.0304,0.08166809857423094
Astro,~pmi + grp,FAP,2.9181,0.00032047218594613363
Astro,~pmi + grp,HMCN2,-2.5233,0.0027612004946318837
Astro,~pmi + grp,WNT5B,-1.5278,0.009640378073494679
Astro,~pmi + grp,COL21A1,1.9204,0.03245742308981247
Astro,~pmi + grp,TNC,1.4247,0.019387349283751118
Astro,~pmi + grp,ECM2,1.8323,0.04613224055377253
Astro,~pmi + grp,CCN2,2.6031,0.007256481630802879
Astro,~pmi + grp,SEMA3D,1.8836,0.04778963627223735
Astro,~pmi + grp,ANXA1,2.8811,0.019387349283751118
Astro,~pmi + grp,COL12A1,1.6334,0.019387349283751118
Astro,~pmi + grp,USH2A,-1.2775,0.05291652801905369
Astro,~pmi + grp,IGFBP5,1.245,0.23586239820118018
Astro,~pmi + grp,CXCL2,2.5649,0.019387349283751118
Astro,~pmi + grp,LYPD6,-0.8187,0.014760083848571168
Astro,~pmi + grp,CHST9,1.1438,0.04175041204415204
Astro,~pmi + grp,ADAMTS19,-2.4396,0.29904203605694873
Astro,~pmi + grp,CRB2,1.0242,0.08641210893439687
Astro,~pmi + grp,COL8A1,2.4382,0.019387349283751118
Astro,~pmi + grp,COL26A1,-1.1416,0.29948817671141953
Astro,~pmi + grp,APOD,2.0503,0.113805820465896
Astro,~pmi + grp,OTOS,1.7502,0.344599297552294
