celltype,design,estimable,n_donor,n_frozen,n_evaluable,sign_retained,padj01_retained,lfc_corr,note
Astro,~grp,True,17,26,26,26,26,1.0,
Astro,~pmi + grp,True,17,26,26,26,16,0.987,
Astro,~arm + grp,True,17,26,26,26,17,0.9942,
Astro,~arm + pmi + grp,True,17,26,26,26,7,0.9862,
Astro,~sex + arm + pmi + grp,True,17,26,26,26,0,0.9664,
Astro,~logncell + grp,True,17,26,26,26,12,0.9838,
Micro,~grp,True,16,12,12,12,12,1.0,
Micro,~pmi + grp,True,16,12,12,12,2,0.9887,
Micro,~arm + grp,True,16,12,12,12,10,0.9991,
Micro,~arm + pmi + grp,True,16,12,12,12,1,0.9928,
Micro,~sex + arm + pmi + grp,True,16,12,12,12,0,0.9464,
Micro,~logncell + grp,True,16,12,12,12,1,0.9936,
Oligo,~grp,True,17,5,5,5,5,1.0,
Oligo,~pmi + grp,True,17,5,5,5,3,0.9959,
Oligo,~arm + grp,True,17,5,5,5,5,0.9989,
Oligo,~arm + pmi + grp,True,17,5,5,5,1,0.9931,
Oligo,~sex + arm + pmi + grp,True,17,5,5,5,0,0.9841,
Oligo,~logncell + grp,True,17,5,5,5,5,0.9997,
OPC,~grp,True,17,6,6,6,6,1.0,
OPC,~pmi + grp,True,17,6,6,6,4,0.987,
OPC,~arm + grp,True,17,6,6,6,4,0.9991,
OPC,~arm + pmi + grp,True,17,6,6,6,1,0.9851,
OPC,~sex + arm + pmi + grp,True,17,6,6,6,0,0.9185,
OPC,~logncell + grp,True,17,6,6,6,3,0.995,
Endo,~grp,True,16,11,11,11,11,1.0,
Endo,~pmi + grp,True,16,11,11,11,5,0.9946,
Endo,~arm + grp,True,16,11,11,11,6,0.9998,
Endo,~arm + pmi + grp,True,16,11,11,11,2,0.9919,
Endo,~sex + arm + pmi + grp,True,16,11,11,11,0,0.9844,
Endo,~logncell + grp,True,16,11,11,11,7,0.9992,
