cohort	celltype	perm	labels	n_sig_fdr005	n_sig_fdr01	n_sig_secretome_fdr005	n_sig_secretome_fdr01
GSE268609	Astro	0	00001101101100111	52	116	4	16
GSE268609	Astro	1	00100101110010111	0	0	0	0
GSE268609	Astro	2	01111100011110000	25	84	3	9
GSE268609	Astro	3	10000111000110111	1	1	0	0
GSE268609	Astro	4	01001110101101001	2	2	0	0
GSE268609	Astro	5	11010110011001001	4	6	0	0
GSE268609	Astro	6	11001011110100010	0	0	0	0
GSE268609	Astro	7	00011011110001011	2	2	0	0
GSE268609	Astro	8	01111101001101000	1	1	0	0
GSE268609	Astro	9	10000100010111111	0	0	0	0
GSE268609	Astro	10	11101001000101101	2	4	0	0
GSE268609	Astro	11	00011010111101100	0	0	0	0
GSE268609	Astro	12	10100001111010101	0	1	0	0
GSE268609	Astro	13	01111011010011000	27	52	1	3
GSE268609	Astro	14	10011000011111100	3	3	1	1
GSE268609	Astro	15	10101011010101100	0	1	0	0
GSE268609	Astro	16	01101110110010001	0	0	0	0
GSE268609	Astro	17	10010111100101100	0	0	0	0
GSE268609	Astro	18	01101010001011110	1	1	0	0
GSE268609	Astro	19	00111111000100101	0	0	0	0
GSE268609	Astro	20	01100011111110000	0	0	0	0
GSE268609	Astro	21	10000110100101111	182	571	12	43
GSE268609	Astro	22	00101100111010011	0	0	0	0
GSE268609	Astro	23	01111000110001110	0	0	0	0
GSE268609	Astro	24	10001010101011011	0	0	0	0
GSE268609	Astro	25	10111110100100100	0	0	0	0
GSE268609	Astro	26	10001011011100101	0	0	0	0
GSE268609	Astro	27	01101100000111110	0	0	0	0
GSE268609	Astro	28	11001000011111001	0	0	0	0
GSE268609	Astro	29	10110110001100101	5	5	1	1
GSE268609	Astro	30	00011111011100100	12	16	0	0
GSE268609	Astro	31	11000100011101110	0	0	0	0
GSE268609	Astro	32	10111100010010011	0	0	0	0
GSE268609	Astro	33	01110001010110110	0	0	0	0
GSE268609	Astro	34	00101011101110001	4	4	0	0
GSE268609	Astro	35	00001011111010101	0	0	0	0
GSE268609	Astro	36	10010101101001011	0	0	0	0
GSE268609	Astro	37	11110110000011010	0	0	0	0
GSE268609	Astro	38	11010100011111000	3	3	1	1
GSE268609	Astro	39	00111010010110110	1	1	1	1
GSE268609	Astro	40	01010100100110111	5	6	2	2
GSE268609	Astro	41	11101100111000010	11	11	2	2
GSE268609	Astro	42	01011100010011110	0	0	0	0
GSE268609	Astro	43	01011010101010011	1	1	0	0
GSE268609	Astro	44	00110011111000110	1	1	0	0
GSE268609	Astro	45	01000111111101000	0	0	0	0
GSE268609	Astro	46	00011000111100111	0	0	0	0
GSE268609	Astro	47	01110011101001001	0	0	0	0
GSE268609	Astro	48	00110100001111110	0	0	0	0
GSE268609	Astro	49	10110001110010011	0	0	0	0
GSE268609	Astro	50	10001011011010101	0	0	0	0
GSE268609	Astro	51	01001010101101011	14	35	1	1
GSE268609	Astro	52	11011010001001110	0	3	0	0
GSE268609	Astro	53	00010101001011111	0	1	0	1
GSE268609	Astro	54	11101010101100100	1	1	1	1
GSE268609	Astro	55	01110011100001101	0	0	0	0
GSE268609	Astro	56	00100101110110110	0	0	0	0
GSE268609	Astro	57	11000011011011010	0	0	0	0
GSE268609	Astro	58	11100011100000111	1	1	0	0
GSE268609	Astro	59	10001011010110101	0	0	0	0
GSE268609	Astro	60	01110101001110010	0	0	0	0
GSE268609	Astro	61	11010011110010010	0	0	0	0
GSE268609	Astro	62	10001001101001111	31	66	7	12
GSE268609	Astro	63	01000111101011001	0	0	0	0
GSE268609	Astro	64	11000111100110100	0	0	0	0
GSE268609	Astro	65	10111001101110000	41	93	7	16
GSE268609	Astro	66	00100001110111110	0	1	0	0
GSE268609	Astro	67	10011011011010001	1	10	0	0
GSE268609	Astro	68	01000011011111100	0	0	0	0
GSE268609	Astro	69	01111011000011100	8	9	0	1
GSE268609	Astro	70	01000110101001111	521	1015	65	116
GSE268609	Astro	71	11001111110010000	0	0	0	0
GSE268609	Astro	72	01001001111111000	1	1	0	0
GSE268609	Astro	73	11100001111010100	0	0	0	0
GSE268609	Astro	74	11110010000001111	1	4	0	0
GSE268609	Astro	75	01100010011101011	54	69	5	9
GSE268609	Astro	76	01101011101001001	0	0	0	0
GSE268609	Astro	77	01011101100010011	0	0	0	0
GSE268609	Astro	78	10101101101100100	26	76	4	15
GSE268609	Astro	79	00001110010011111	0	0	0	0
GSE268609	Astro	80	10011010010111001	0	0	0	0
GSE268609	Astro	81	10110001011011100	0	0	0	0
GSE268609	Astro	82	11101110011001000	0	1	0	1
GSE268609	Astro	83	00111011011010100	12	23	0	1
GSE268609	Astro	84	01111110000010110	0	0	0	0
GSE268609	Astro	85	00101001110011011	1	1	0	0
GSE268609	Astro	86	10110000111001011	2	3	0	0
GSE268609	Astro	87	11101000011011001	0	0	0	0
GSE268609	Astro	88	10101110110001010	0	0	0	0
GSE268609	Astro	89	00111001000101111	0	0	0	0
GSE268609	Astro	90	11101101100110000	1	6	0	1
GSE268609	Astro	91	01111100001110100	0	0	0	0
GSE268609	Astro	92	11000010011001111	0	0	0	0
GSE268609	Astro	93	11100000101001111	19	34	0	2
GSE268609	Astro	94	10001100111010011	0	0	0	0
GSE268609	Astro	95	00001111000101111	106	228	16	29
GSE268609	Astro	96	01111011000010110	0	0	0	0
GSE268609	Astro	97	01011100011100101	0	0	0	0
GSE268609	Astro	98	11010100111001100	3	4	0	0
GSE268609	Astro	99	11100010111100001	12	24	1	2
GSE268609	Micro	0	1010110111100010	11	15	1	2
GSE268609	Micro	1	1111001100101100	0	0	0	0
GSE268609	Micro	2	0110010101110011	0	0	0	0
GSE268609	Micro	3	0101100101110101	0	1	0	0
GSE268609	Micro	4	1010111100011010	0	0	0	0
GSE268609	Micro	5	1011001101011010	0	0	0	0
GSE268609	Micro	6	1100111110100100	0	1	0	0
GSE268609	Micro	7	0101010110110110	0	0	0	0
GSE268609	Micro	8	0010100011101111	0	1	0	0
GSE268609	Micro	9	0101100101010111	3	9	0	0
GSE268609	Micro	10	1111101101000001	21	56	3	5
GSE268609	Micro	11	1001100011111001	0	0	0	0
GSE268609	Micro	12	1001110001100111	1	6	0	0
GSE268609	Micro	13	1001010010111011	0	0	0	0
GSE268609	Micro	14	0110101111110000	0	0	0	0
GSE268609	Micro	15	1100111000110011	0	0	0	0
GSE268609	Micro	16	1000101100101111	0	0	0	0
GSE268609	Micro	17	0000000111111111	3	3	0	0
GSE268609	Micro	18	0110101011001011	0	0	0	0
GSE268609	Micro	19	0110011110010011	0	0	0	0
GSE268609	Micro	20	0011111000011110	0	0	0	0
GSE268609	Micro	21	0110010111110100	0	0	0	0
GSE268609	Micro	22	1000111101110001	0	0	0	0
GSE268609	Micro	23	1110011100101010	2	4	0	0
GSE268609	Micro	24	1101010101011001	8	10	3	3
GSE268609	Micro	25	1001010110101110	0	0	0	0
GSE268609	Micro	26	1100011101101100	0	0	0	0
GSE268609	Micro	27	0001101111101001	1	1	1	1
GSE268609	Micro	28	1011111010110000	1	1	0	0
GSE268609	Micro	29	0010111100111010	2	2	1	1
GSE268609	Micro	30	1101001001010111	5	5	0	0
GSE268609	Micro	31	0010011010011111	13	16	0	0
GSE268609	Micro	32	0110110011100011	0	0	0	0
GSE268609	Micro	33	0011000110011111	0	1	0	0
GSE268609	Micro	34	1110000101011110	0	0	0	0
GSE268609	Micro	35	1011110101100001	43	109	5	11
GSE268609	Micro	36	1011110100001011	32	58	2	4
GSE268609	Micro	37	0010101000111111	0	1	0	0
GSE268609	Micro	38	0011010111111000	2	3	0	0
GSE268609	Micro	39	0011000011011111	0	0	0	0
GSE268609	Micro	40	1001011011011010	0	0	0	0
GSE268609	Micro	41	1010001011111001	0	0	0	0
GSE268609	Micro	42	0101000011110111	1	7	0	0
GSE268609	Micro	43	1100011101100101	0	1	0	0
GSE268609	Micro	44	0101001111111000	0	0	0	0
GSE268609	Micro	45	0001011011011011	0	0	0	0
GSE268609	Micro	46	0111011010100011	1	1	0	0
GSE268609	Micro	47	1111101000001011	24	79	1	1
GSE268609	Micro	48	1011001011011001	0	0	0	0
GSE268609	Micro	49	1110010011010101	16	47	2	3
GSE268609	Micro	50	1111000101001101	2	8	1	1
GSE268609	Micro	51	1000010111110011	0	0	0	0
GSE268609	Micro	52	0110110011010011	0	0	0	0
GSE268609	Micro	53	1011001100101110	0	0	0	0
GSE268609	Micro	54	0000111010111110	28	38	6	6
GSE268609	Micro	55	0010001110011111	11	12	1	1
GSE268609	Micro	56	0110011100001111	1	1	0	0
GSE268609	Micro	57	1110111100001010	42	81	3	7
GSE268609	Micro	58	1110101010101001	1	1	0	0
GSE268609	Micro	59	1011110000101110	1	1	0	0
GSE268609	Micro	60	1011111100000011	2	2	0	0
GSE268609	Micro	61	0100101001101111	6	6	1	1
GSE268609	Micro	62	0101100100111101	3	3	1	1
GSE268609	Micro	63	1001011000111011	0	0	0	0
GSE268609	Micro	64	1101010010011101	1	1	0	0
GSE268609	Micro	65	0110100110100111	0	0	0	0
GSE268609	Micro	66	1100111110100010	0	0	0	0
GSE268609	Micro	67	1100111110000110	0	0	0	0
GSE268609	Micro	68	1011000110101101	0	0	0	0
GSE268609	Micro	69	0111001101110010	0	0	0	0
GSE268609	Micro	70	1010001011101101	0	0	0	0
GSE268609	Micro	71	1001010011111001	0	0	0	0
GSE268609	Micro	72	0111010001111001	0	1	0	0
GSE268609	Micro	73	1110110010001101	414	1162	25	75
GSE268609	Micro	74	1001110000110111	1	2	0	0
GSE268609	Micro	75	1011101100001011	0	0	0	0
GSE268609	Micro	76	0011101011001110	0	0	0	0
GSE268609	Micro	77	0101001101011101	12	20	3	4
GSE268609	Micro	78	1000101011110101	15	33	1	3
GSE268609	Micro	79	0101100111011100	1	1	0	0
GSE268609	Micro	80	0101011110100110	0	0	0	0
GSE268609	Micro	81	0100001111111001	0	1	0	0
GSE268609	Micro	82	0110001101101101	0	0	0	0
GSE268609	Micro	83	1000110100101111	0	1	0	0
GSE268609	Micro	84	1001000010111111	0	0	0	0
GSE268609	Micro	85	1011101010011001	0	0	0	0
GSE268609	Micro	86	1110100001111001	0	0	0	0
GSE268609	Micro	87	0010111100111100	1	1	0	0
GSE268609	Micro	88	0011011101100011	12	27	0	1
GSE268609	Micro	89	0111101011010001	0	2	0	0
GSE268609	Micro	90	1001100101101110	1	1	0	0
GSE268609	Micro	91	1010101010011110	0	0	0	0
GSE268609	Micro	92	1101001101100110	0	0	0	0
GSE268609	Micro	93	0011111101000101	1	2	0	0
GSE268609	Micro	94	1011011000011101	0	1	0	1
GSE268609	Micro	95	1000111100011101	10	12	2	2
GSE268609	Micro	96	1111010001100011	1	1	0	0
GSE268609	Micro	97	1001010011011011	0	0	0	0
GSE268609	Micro	98	0110001110011011	57	78	6	7
GSE268609	Micro	99	1011000011011011	0	0	0	0
GSE268609	Oligo	0	01110111100010100	0	0	0	0
