cohort,celltype,status,n_donors_YA,n_donors_HA,n_genes_tested,n_perm,n_distinct_label_splits,obs_secretome_fdr01,null_median_secretome_fdr01,emp_p_secretome_fdr01,obs_genomewide_fdr005,null_median_genomewide_fdr005,null_p95_genomewide_fdr005,null_max_genomewide_fdr005,emp_p_genomewide_fdr005,null_frac_ge1_genomewide_fdr005,null_frac_ge10_genomewide_fdr005,obs_genomewide_fdr01,emp_p_genomewide_fdr01,verdict
GSE268609,Astro,OK,8,9,23366.0,100.0,24310.0,26.0,0.0,0.039603960396039604,113.0,0.0,41.54999999999997,521.0,0.0297029702970297,0.41,0.16,233.0,0.0297029702970297,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE268609,Micro,OK,7,9,17628.0,100.0,11440.0,12.0,0.0,0.019801980198019802,48.0,0.0,28.19999999999999,414.0,0.0297029702970297,0.42,0.16,77.0,0.0594059405940594,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE268609,Oligo,OK,8,9,22844.0,100.0,24310.0,5.0,0.0,0.10891089108910891,14.0,0.0,92.89999999999978,1331.0,0.13861386138613863,0.41,0.15,26.0,0.1485148514851485,NULL_MEDIAN_ZERO;OBS_WITHIN_NULL_95PCT
GSE268609,OPC,OK,8,9,20577.0,100.0,24310.0,6.0,0.0,0.04950495049504951,45.0,0.0,21.999999999999943,547.0,0.04950495049504951,0.3,0.08,85.0,0.0594059405940594,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE268609,Endo,OK,7,9,15128.0,100.0,11440.0,11.0,0.0,0.039603960396039604,17.0,0.0,21.449999999999918,169.0,0.06930693069306931,0.29,0.09,32.0,0.06930693069306931,NULL_MEDIAN_ZERO;OBS_WITHIN_NULL_95PCT
GSE278576,Astro,OK,10,20,20392.0,100.0,30045015.0,90.0,0.0,0.009900990099009901,530.0,0.0,11.049999999999997,394.0,0.009900990099009901,0.29,0.06,961.0,0.019801980198019802,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE278576,Micro,OK,10,20,16579.0,100.0,30045015.0,81.0,0.0,0.009900990099009901,718.0,0.0,94.09999999999994,577.0,0.009900990099009901,0.44,0.17,1060.0,0.009900990099009901,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE278576,Oligo,OK,10,20,26405.0,100.0,30045015.0,28.0,0.0,0.04950495049504951,235.0,1.0,42.449999999999974,1928.0,0.039603960396039604,0.51,0.17,433.0,0.04950495049504951,NULL_MEDIAN_NONZERO;OBS_ABOVE_NULL_95PCT
GSE278576,OPC,OK,10,20,19634.0,100.0,30045015.0,30.0,0.0,0.009900990099009901,180.0,0.0,5.049999999999997,114.0,0.009900990099009901,0.33,0.03,260.0,0.009900990099009901,NULL_MEDIAN_ZERO;OBS_ABOVE_NULL_95PCT
GSE278576,Endo,GATE_FAIL,6,2,,,,,,,,,,,,,,,,
