oid_a,oid_b,same_group,n_agree,n_markers,full_agreement
1,2,True,7,7,True
1,3,True,7,7,True
1,4,True,7,7,True
1,5,False,7,7,True
1,6,False,7,7,True
1,7,False,7,7,True
1,8,False,7,7,True
1,9,False,7,7,True
1,10,True,7,7,True
1,11,False,7,7,True
1,12,True,7,7,True
1,13,False,7,7,True
1,14,False,7,7,True
1,15,False,7,7,True
1,16,False,7,7,True
1,17,False,7,7,True
1,18,False,7,7,True
1,19,False,7,7,True
1,20,False,7,7,True
1,21,False,7,7,True
1,22,False,7,7,True
1,23,False,7,7,True
1,24,False,7,7,True
1,25,False,7,7,True
1,26,True,7,7,True
1,27,False,7,7,True
1,28,True,7,7,True
1,29,False,7,7,True
1,30,True,7,7,True
1,31,False,7,7,True
1,32,False,7,7,True
1,33,False,7,7,True
1,34,True,7,7,True
1,35,False,7,7,True
1,36,False,7,7,True
1,37,False,7,7,True
1,38,False,7,7,True
1,39,False,7,7,True
2,3,True,7,7,True
2,4,True,7,7,True
2,5,False,7,7,True
2,6,False,7,7,True
2,7,False,7,7,True
2,8,False,7,7,True
2,9,False,7,7,True
2,10,True,7,7,True
2,11,False,7,7,True
2,12,True,7,7,True
2,13,False,7,7,True
2,14,False,7,7,True
2,15,False,7,7,True
2,16,False,7,7,True
2,17,False,7,7,True
2,18,False,7,7,True
2,19,False,7,7,True
2,20,False,7,7,True
2,21,False,7,7,True
2,22,False,7,7,True
2,23,False,7,7,True
2,24,False,7,7,True
2,25,False,7,7,True
2,26,True,7,7,True
2,27,False,7,7,True
2,28,True,7,7,True
2,29,False,7,7,True
2,30,True,7,7,True
2,31,False,7,7,True
2,32,False,7,7,True
2,33,False,7,7,True
2,34,True,7,7,True
2,35,False,7,7,True
2,36,False,7,7,True
2,37,False,7,7,True
2,38,False,7,7,True
2,39,False,7,7,True
3,4,True,7,7,True
3,5,False,7,7,True
3,6,False,7,7,True
3,7,False,7,7,True
3,8,False,7,7,True
3,9,False,7,7,True
3,10,True,7,7,True
3,11,False,7,7,True
3,12,True,7,7,True
3,13,False,7,7,True
3,14,False,7,7,True
3,15,False,7,7,True
3,16,False,7,7,True
3,17,False,7,7,True
3,18,False,7,7,True
3,19,False,7,7,True
