donor_a,donor_b,oid_a,oid_b,Group,n_celltypes,mean_spearman,candidate_pair,z_vs_crossarm_background
16,35,6,29,HA,11,0.91153,B,2.225
8,31,2,26,AD,8,0.8923,,1.861
10,34,4,28,AD,7,0.89175,,1.85
6,34,1,28,AD,7,0.88435,,1.71
4,34,10,28,AD,7,0.87727,,1.576
8,34,2,28,AD,7,0.87274,,1.49
10,36,4,30,AD,10,0.87238,,1.483
10,31,4,26,AD,8,0.86109,,1.269
6,36,1,30,AD,10,0.86029,,1.254
2,30,14,25,YA,10,0.85854,C,1.221
1,34,12,28,AD,7,0.85692,,1.19
8,36,2,30,AD,10,0.85585,,1.17
6,31,1,26,AD,8,0.85428,,1.14
31,1,26,12,AD,8,0.84462,,0.957
51,3,39,9,MCI,8,0.84288,,0.924
9,36,3,30,AD,10,0.84052,,0.879
9,31,3,26,AD,8,0.83966,,0.863
4,31,10,26,AD,8,0.83861,,0.843
32,14,27,8,HA,10,0.83672,,0.807
9,34,3,28,AD,7,0.83407,,0.757
44,14,36,8,HA,10,0.82941,,0.668
2,29,14,24,YA,11,0.82313,,0.549
27,3,22,9,MCI,10,0.81688,,0.431
16,37,6,31,HA,9,0.81637,,0.421
28,11,23,7,HA,10,0.81482,,0.392
4,36,10,30,AD,10,0.81318,,0.361
42,10,34,4,AD,10,0.80333,,0.174
15,35,5,29,HA,11,0.80297,,0.167
28,14,23,8,HA,10,0.80207,,0.15
2,43,14,35,YA,12,0.80186,,0.146
15,28,5,23,HA,11,0.7985,A,0.082
27,5,22,11,MCI,11,0.79485,,0.013
2,47,14,38,YA,9,0.7936,,-0.011
42,6,34,1,AD,10,0.7891,,-0.096
2,45,14,37,YA,11,0.78889,,-0.1
11,35,7,29,HA,9,0.78771,,-0.122
11,32,7,27,HA,10,0.78659,,-0.143
44,11,36,7,HA,10,0.78562,,-0.162
35,14,29,8,HA,10,0.78558,,-0.163
36,1,30,12,AD,10,0.78491,,-0.175
7,30,13,25,YA,9,0.77985,,-0.271
28,16,23,6,HA,11,0.77247,,-0.411
15,37,5,31,HA,9,0.77165,,-0.427
7,29,13,24,YA,9,0.77146,,-0.43
37,14,31,8,HA,8,0.76743,,-0.507
15,32,5,27,HA,11,0.76024,,-0.643
37,11,31,7,HA,8,0.7584,,-0.678
7,45,13,37,YA,9,0.75222,,-0.795
2,39,14,32,YA,11,0.7471,,-0.892
51,5,39,11,MCI,9,0.74325,,-0.965
15,44,5,36,HA,10,0.73711,,-1.082
9,42,3,34,AD,10,0.73569,,-1.108
42,1,34,12,AD,10,0.73422,,-1.136
26,3,21,9,MCI,10,0.73329,,-1.154
16,32,6,27,HA,11,0.73189,,-1.18
42,8,34,2,AD,10,0.73172,,-1.184
42,4,34,10,AD,10,0.7308,,-1.201
41,5,33,11,MCI,10,0.72831,,-1.248
43,7,35,13,YA,10,0.72784,,-1.257
47,7,38,13,YA,8,0.71634,,-1.475
44,16,36,6,HA,10,0.71108,,-1.575
7,39,13,32,YA,9,0.70972,,-1.601
26,5,21,11,MCI,11,0.70834,,-1.627
41,3,33,9,MCI,10,0.70587,,-1.674
