donor_id,Group,Endo,Ependymal,Pericyte,VLMC,nonEndo_frac,n_cells
2,YA,0.7804878048780488,0.0,0.17073170731707318,0.04878048780487805,0.2195121951219512,41
7,YA,0.625,0.0,0.375,0.0,0.375,24
11,HA,0.5542168674698795,0.30120481927710846,0.13253012048192772,0.012048192771084338,0.4457831325301205,83
14,HA,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.0,0.3529411764705882,17
15,HA,0.631578947368421,0.11578947368421053,0.24736842105263157,0.005263157894736842,0.368421052631579,190
16,HA,0.875,0.03125,0.09375,0.0,0.125,32
28,HA,0.8571428571428571,0.0,0.14285714285714285,0.0,0.1428571428571429,42
29,YA,0.5833333333333334,0.0,0.4166666666666667,0.0,0.41666666666666663,36
30,YA,0.696969696969697,0.0,0.24242424242424243,0.06060606060606061,0.303030303030303,33
32,HA,0.5294117647058824,0.058823529411764705,0.4117647058823529,0.0,0.47058823529411764,17
35,HA,0.9259259259259259,0.0,0.07407407407407407,0.0,0.07407407407407407,135
37,HA,0.6363636363636364,0.0,0.36363636363636365,0.0,0.36363636363636365,11
39,YA,0.9285714285714286,0.0,0.07142857142857142,0.0,0.0714285714285714,14
43,YA,0.5714285714285714,0.0,0.35714285714285715,0.07142857142857142,0.4285714285714286,42
44,HA,0.4,0.3111111111111111,0.28888888888888886,0.0,0.6,45
45,YA,0.7747747747747747,0.02702702702702703,0.1981981981981982,0.0,0.22522522522522526,111
47,YA,0.875,0.0,0.0,0.125,0.125,8
