cohort,target,label,n,frac_above_primary_p5,median_cos,primary_p5,n_common_genes
GSE278576,NSC,OPC,14784,0.029153138528138528,0.32358843088150024,0.4899007976055145,2000
GSE278576,NSC,Oligo,205688,0.008464275990821049,0.3671584129333496,0.4899007976055145,2000
GSE278576,NSC,Astro,27479,0.6833582008078897,0.5279487371444702,0.4899007976055145,2000
GSE278576,NSC,VIP,3335,0.015292353823088457,0.30782830715179443,0.4899007976055145,2000
GSE278576,NSC,Macro,804,0.004975124378109453,0.21496090292930603,0.4899007976055145,2000
GSE278576,NSC,Microglia,15225,0.0,0.21552003920078278,0.4899007976055145,2000
GSE278576,NSC,SST,3472,0.01555299539170507,0.2875608801841736,0.4899007976055145,2000
GSE278576,NSC,PVALB,1876,0.017590618336886993,0.3460506796836853,0.4899007976055145,2000
GSE278576,NSC,Chandelier,603,0.01658374792703151,0.3355903923511505,0.4899007976055145,2000
GSE278576,NSC,NR2F2,1409,0.029808374733853796,0.3308740556240082,0.4899007976055145,2000
GSE278576,NSC,LAMP5,1521,0.03879026955950033,0.33844220638275146,0.4899007976055145,2000
GSE278576,NSC,SUB,12248,0.015757674722403657,0.3445996642112732,0.4899007976055145,2000
GSE278576,NSC,T-Cell,430,0.01627906976744186,0.14373530447483063,0.4899007976055145,2000
GSE278576,NSC,DG,2217,0.02435723951285521,0.3259000778198242,0.4899007976055145,2000
GSE278576,NSC,CA1,1500,0.02266666666666667,0.35244911909103394,0.4899007976055145,2000
GSE278576,NSC,Endo,641,0.0327613104524181,0.2451799362897873,0.4899007976055145,2000
GSE278576,NSC,VLMC,1386,0.020923520923520924,0.2654154300689697,0.4899007976055145,2000
GSE278576,NSC,CA2-CA3,415,0.04096385542168675,0.36587488651275635,0.4899007976055145,2000
GSE278576,Neuroblast,OPC,14784,0.12987012987012986,0.32480525970458984,0.4136875867843628,2000
GSE278576,Neuroblast,Oligo,205688,0.8596466492940764,0.5167213678359985,0.4136875867843628,2000
GSE278576,Neuroblast,Astro,27479,0.0012373084901197277,0.2389022707939148,0.4136875867843628,2000
GSE278576,Neuroblast,VIP,3335,0.4143928035982009,0.40337619185447693,0.4136875867843628,2000
GSE278576,Neuroblast,Macro,804,0.060945273631840796,0.2321467101573944,0.4136875867843628,2000
GSE278576,Neuroblast,Microglia,15225,0.0005911330049261083,0.2612888216972351,0.4136875867843628,2000
GSE278576,Neuroblast,SST,3472,0.28456221198156684,0.3780260980129242,0.4136875867843628,2000
GSE278576,Neuroblast,PVALB,1876,0.4408315565031983,0.40825676918029785,0.4136875867843628,2000
GSE278576,Neuroblast,Chandelier,603,0.3449419568822554,0.3989449143409729,0.4136875867843628,2000
GSE278576,Neuroblast,NR2F2,1409,0.525195173882186,0.41819366812705994,0.4136875867843628,2000
GSE278576,Neuroblast,LAMP5,1521,0.5746219592373438,0.42332008481025696,0.4136875867843628,2000
GSE278576,Neuroblast,SUB,12248,0.7015022860875245,0.4334191679954529,0.4136875867843628,2000
GSE278576,Neuroblast,T-Cell,430,0.15348837209302327,0.17972198128700256,0.4136875867843628,2000
GSE278576,Neuroblast,DG,2217,0.7595850248082995,0.43862271308898926,0.4136875867843628,2000
GSE278576,Neuroblast,CA1,1500,0.9053333333333333,0.4667345881462097,0.4136875867843628,2000
GSE278576,Neuroblast,Endo,641,0.14508580343213728,0.2680019736289978,0.4136875867843628,2000
GSE278576,Neuroblast,VLMC,1386,0.1111111111111111,0.20695942640304565,0.4136875867843628,2000
GSE278576,Neuroblast,CA2-CA3,415,0.9927710843373494,0.4941396713256836,0.4136875867843628,2000
GSE278576,Immature,OPC,14784,0.0008793290043290044,0.4020639657974243,0.6683128476142883,2000
GSE278576,Immature,Oligo,205688,0.0,0.13993068039417267,0.6683128476142883,2000
GSE278576,Immature,Astro,27479,0.0,0.19002299010753632,0.6683128476142883,2000
GSE278576,Immature,VIP,3335,0.05997001499250375,0.6021568179130554,0.6683128476142883,2000
GSE278576,Immature,Macro,804,0.0,0.20997583866119385,0.6683128476142883,2000
GSE278576,Immature,Microglia,15225,0.0,0.22133132815361023,0.6683128476142883,2000
GSE278576,Immature,SST,3472,0.03715437788018433,0.5696501731872559,0.6683128476142883,2000
GSE278576,Immature,PVALB,1876,0.11513859275053305,0.6230994462966919,0.6683128476142883,2000
GSE278576,Immature,Chandelier,603,0.03482587064676617,0.5852957367897034,0.6683128476142883,2000
GSE278576,Immature,NR2F2,1409,0.0794889992902768,0.5945884585380554,0.6683128476142883,2000
GSE278576,Immature,LAMP5,1521,0.06837606837606838,0.5944945812225342,0.6683128476142883,2000
GSE278576,Immature,SUB,12248,0.7055029392553887,0.6948392987251282,0.6683128476142883,2000
GSE278576,Immature,T-Cell,430,0.002325581395348837,0.13344749808311462,0.6683128476142883,2000
GSE278576,Immature,DG,2217,0.9675236806495264,0.8326086401939392,0.6683128476142883,2000
GSE278576,Immature,CA1,1500,0.8313333333333334,0.7230513095855713,0.6683128476142883,2000
GSE278576,Immature,Endo,641,0.0,0.17449454963207245,0.6683128476142883,2000
GSE278576,Immature,VLMC,1386,0.0007215007215007215,0.21076875925064087,0.6683128476142883,2000
GSE278576,Immature,CA2-CA3,415,0.963855421686747,0.7698380947113037,0.6683128476142883,2000
GSE186538,NSC,CA3 CFAP299 SYN3,4229,0.003783400331047529,0.34923791885375977,0.48739752173423767,1846
GSE186538,NSC,EC L5 BCL11B ADRA1A,83,0.0,0.3591368794441223,0.48739752173423767,1846
GSE186538,NSC,DG MC ARHGAP24 DLC1,444,0.015765765765765764,0.36486971378326416,0.48739752173423767,1846
GSE186538,NSC,CA1 dorsal GRIK1 GRM3,2993,0.0003341129301703976,0.35467860102653503,0.48739752173423767,1846
GSE186538,NSC,CA2 CFAP299 HGF,108,0.0,0.3771882653236389,0.48739752173423767,1846
GSE186538,NSC,CA1 ventral ACVR1C SYT13,2204,0.0,0.3708590269088745,0.48739752173423767,1846
GSE186538,NSC,EC L6 TLE4 SULF1,515,0.017475728155339806,0.3761323094367981,0.48739752173423767,1846
GSE186538,NSC,EC L6b TLE4 CCN2,232,0.01293103448275862,0.3941364884376526,0.48739752173423767,1846
GSE186538,NSC,EC L3 PCP4 ADARB2,554,0.0,0.3232443332672119,0.48739752173423767,1846
GSE186538,NSC,SUB distal FN1 NTNG1,433,0.009237875288683603,0.3876175284385681,0.48739752173423767,1846
GSE186538,NSC,EC L2 CUX2 CALB1,4001,0.00024993751562109475,0.35615354776382446,0.48739752173423767,1846
GSE186538,NSC,SUB proximal ROBO1 COL5A2,1192,0.0,0.38038140535354614,0.48739752173423767,1846
GSE186538,NSC,EC L2 CUX2 IL1RAPL2,687,0.0,0.3455026149749756,0.48739752173423767,1846
GSE186538,NSC,EC L2 RELN BCL11B,197,0.0,0.3635842204093933,0.48739752173423767,1846
GSE186538,NSC,DG GC PROX1 SGCZ,29537,0.00013542336730202795,0.31131282448768616,0.48739752173423767,1846
GSE186538,NSC,DG GC PROX1 PDLIM5,4470,0.0,0.3362545967102051,0.48739752173423767,1846
GSE186538,NSC,SUB proximal ROBO1 SEMA3E,304,0.006578947368421052,0.37687787413597107,0.48739752173423767,1846
GSE186538,NSC,EC L2 CUX2 PDGFD,196,0.0,0.31315964460372925,0.48739752173423767,1846
GSE186538,NSC,EC L5 RORB TLL1,1443,0.002772002772002772,0.36890652775764465,0.48739752173423767,1846
GSE186538,NSC,EC L5 RORB TPBG,311,0.0,0.31333938241004944,0.48739752173423767,1846
GSE186538,NSC,EC L56 TLE4 NXPH2,98,0.0,0.34251150488853455,0.48739752173423767,1846
GSE186538,NSC,EC L6 THEMIS CDH13,724,0.008287292817679558,0.3770565390586853,0.48739752173423767,1846
GSE186538,NSC,EC L2 CUX2 LAMA3,705,0.0,0.3264908492565155,0.48739752173423767,1846
GSE186538,NSC,EC L6 THEMIS RGS12,87,0.0,0.35736364126205444,0.48739752173423767,1846
GSE186538,NSC,EC L2 RELN BMPR1B,141,0.0,0.36906692385673523,0.48739752173423767,1846
GSE186538,NSC,InN LAMP5 KIT,1005,0.0,0.3119569718837738,0.48739752173423767,1846
GSE186538,NSC,InN LAMP5 CHST9,1703,0.0,0.3343193829059601,0.48739752173423767,1846
GSE186538,NSC,InN VIP SCTR,700,0.0,0.28946441411972046,0.48739752173423767,1846
GSE186538,NSC,InN SST EPB41L4A,568,0.0,0.3129757344722748,0.48739752173423767,1846
GSE186538,NSC,InN VIP ABI3BP,1217,0.0,0.3131482005119324,0.48739752173423767,1846
GSE186538,NSC,InN PVALB PLCL1,673,0.0,0.3399374186992645,0.48739752173423767,1846
GSE186538,NSC,InN SST ADAMTS12,639,0.006259780907668232,0.3559739291667938,0.48739752173423767,1846
GSE186538,NSC,InN LAMP5 NMBR,489,0.0,0.3212875425815582,0.48739752173423767,1846
GSE186538,NSC,InN NR2F2 SLC17A8,760,0.002631578947368421,0.34167248010635376,0.48739752173423767,1846
GSE186538,NSC,InN NR2F2 DDR2,208,0.0,0.30744099617004395,0.48739752173423767,1846
GSE186538,NSC,InN PVALB PLEKHH2,563,0.023090586145648313,0.3431547284126282,0.48739752173423767,1846
GSE186538,NSC,InN VIP PENK,445,0.0022471910112359553,0.3313813805580139,0.48739752173423767,1846
GSE186538,NSC,InN PVALB MEPE,835,0.0023952095808383233,0.36042943596839905,0.48739752173423767,1846
GSE186538,NSC,InN SST OTOF,562,0.0,0.2826700806617737,0.48739752173423767,1846
GSE186538,NSC,InN LHX6 AC008415.1,294,0.0,0.331257700920105,0.48739752173423767,1846
GSE186538,NSC,InN VIP NOX4,749,0.0,0.29285797476768494,0.48739752173423767,1846
GSE186538,NSC,InN VIP SCML4,496,0.0020161290322580645,0.3159967362880707,0.48739752173423767,1846
GSE186538,NSC,InN VIP CHRNA2,457,0.0,0.30927005410194397,0.48739752173423767,1846
GSE186538,NSC,InN NR2F2 ANO2,445,0.006741573033707865,0.3279469311237335,0.48739752173423767,1846
GSE186538,NSC,InN MEIS2 SHISAL2B,90,0.0,0.34547069668769836,0.48739752173423767,1846
GSE186538,NSC,InN NR2F2 PTPRK,246,0.0,0.31843432784080505,0.48739752173423767,1846
GSE186538,NSC,InN NR2F2 MIR4300HG,352,0.005681818181818182,0.32533758878707886,0.48739752173423767,1846
GSE186538,NSC,InN SST NPY,46,0.0,0.34848129749298096,0.48739752173423767,1846
GSE186538,NSC,CR RELN NDNF,31,0.0,0.3174666464328766,0.48739752173423767,1846
GSE186538,NSC,VLMC COL1A1 COL1A2,679,0.005891016200294551,0.2631431221961975,0.48739752173423767,1846
GSE186538,NSC,OPC PDGFRA GRIA4,17438,0.00200711090721413,0.3384690284729004,0.48739752173423767,1846
GSE186538,NSC,aSMC ACTA2 TAGLN,572,0.005244755244755245,0.2589496970176697,0.48739752173423767,1846
GSE186538,NSC,Oligo OPALIN LAMA2,36017,0.0019157620012771747,0.3391760587692261,0.48739752173423767,1846
GSE186538,NSC,Oligo CPXM2 KANK4,5426,0.006634721710283818,0.37250131368637085,0.48739752173423767,1846
GSE186538,NSC,Oligo OPALIN SLC5A11,30843,0.004020361184061213,0.3661576807498932,0.48739752173423767,1846
GSE186538,NSC,Micro C1QB P2RY12,14233,0.0,0.23630741238594055,0.48739752173423767,1846
GSE186538,NSC,PC CLDN5 ABCC9,742,0.012129380053908356,0.36187466979026794,0.48739752173423767,1846
GSE186538,NSC,Oligo OPALIN LINC01098,3405,0.003524229074889868,0.35439878702163696,0.48739752173423767,1846
GSE186538,NSC,Endo CLDN5 VWF,3458,0.004916136495083863,0.2392582893371582,0.48739752173423767,1846
GSE186538,NSC,vSMC ABCC9 P2RY14,790,0.0037974683544303796,0.2865447402000427,0.48739752173423767,1846
GSE186538,NSC,Micro C1QB CD83,2223,0.0,0.24487334489822388,0.48739752173423767,1846
GSE186538,NSC,OPC PDGFRA EGR1,2661,0.002254791431792559,0.3556661009788513,0.48739752173423767,1846
GSE186538,NSC,Macro F13A1 COLEC12,273,0.0,0.2145441621541977,0.48739752173423767,1846
GSE186538,NSC,aEndo DKK2 FBLN5,169,0.005917159763313609,0.2315906286239624,0.48739752173423767,1846
GSE186538,NSC,COP GPR17 ADAM33,328,0.0,0.34212788939476013,0.48739752173423767,1846
GSE186538,NSC,T SKAP1 CD247,479,0.0,0.16406506299972534,0.48739752173423767,1846
GSE186538,NSC,Myeloid LSP1 LYZ,67,0.0,0.19512292742729187,0.48739752173423767,1846
GSE186538,NSC,Astro AQP4 GFAP,17256,0.5523296244784422,0.5023725628852844,0.48739752173423767,1846
GSE186538,NSC,Astro AQP4 CHRDL1,12538,0.7114372308183123,0.5230156183242798,0.48739752173423767,1846
GSE186538,Neuroblast,CA3 CFAP299 SYN3,4229,0.8831875147789076,0.47458702325820923,0.4267177879810333,1846
GSE186538,Neuroblast,EC L5 BCL11B ADRA1A,83,0.6626506024096386,0.4378150403499603,0.4267177879810333,1846
GSE186538,Neuroblast,DG MC ARHGAP24 DLC1,444,0.8851351351351351,0.47516733407974243,0.4267177879810333,1846
GSE186538,Neuroblast,CA1 dorsal GRIK1 GRM3,2993,0.8476445038422987,0.4642629623413086,0.4267177879810333,1846
GSE186538,Neuroblast,CA2 CFAP299 HGF,108,0.9814814814814815,0.49042242765426636,0.4267177879810333,1846
GSE186538,Neuroblast,CA1 ventral ACVR1C SYT13,2204,0.9600725952813067,0.47921478748321533,0.4267177879810333,1846
GSE186538,Neuroblast,EC L6 TLE4 SULF1,515,0.8543689320388349,0.4597024917602539,0.4267177879810333,1846
GSE186538,Neuroblast,EC L6b TLE4 CCN2,232,0.9353448275862069,0.47191107273101807,0.4267177879810333,1846
GSE186538,Neuroblast,EC L3 PCP4 ADARB2,554,0.5469314079422383,0.4304097890853882,0.4267177879810333,1846
GSE186538,Neuroblast,SUB distal FN1 NTNG1,433,0.9191685912240185,0.4783419370651245,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 CUX2 CALB1,4001,0.7813046738315421,0.45156431198120117,0.4267177879810333,1846
GSE186538,Neuroblast,SUB proximal ROBO1 COL5A2,1192,0.9337248322147651,0.4736378788948059,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 CUX2 IL1RAPL2,687,0.653566229985444,0.4388120472431183,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 RELN BCL11B,197,0.7918781725888325,0.45109301805496216,0.4267177879810333,1846
GSE186538,Neuroblast,DG GC PROX1 SGCZ,29537,0.3984832582862173,0.41849011182785034,0.4267177879810333,1846
GSE186538,Neuroblast,DG GC PROX1 PDLIM5,4470,0.6357941834451901,0.4403550624847412,0.4267177879810333,1846
GSE186538,Neuroblast,SUB proximal ROBO1 SEMA3E,304,0.8453947368421053,0.4602152407169342,0.4267177879810333,1846
GSE186538,Neuroblast,EC L2 CUX2 PDGFD,196,0.33163265306122447,0.41752889752388,0.4267177879810333,1846
GSE186538,Neuroblast,EC L5 RORB TLL1,1443,0.7733887733887734,0.4514208137989044,0.4267177879810333,1846
GSE186538,Neuroblast,EC L5 RORB TPBG,311,0.18971061093247588,0.40104013681411743,0.4267177879810333,1846
GSE186538,Neuroblast,EC L56 TLE4 NXPH2,98,0.45918367346938777,0.4239593744277954,0.4267177879810333,1846
