celltype,dropped_donor,n_YA,n_HA,log2fc,p
Astro,<none>,8,9,0.22255104668343328,0.8883587001234061
Astro,11,8,8,0.14901084902472927,0.959129759129759
Astro,14,8,8,0.2403637563917176,0.8784770784770783
Astro,15,8,8,0.32280034783420675,0.7209013209013208
Astro,16,8,8,0.1817663390448221,0.959129759129759
Astro,2,7,9,0.14505721993590814,1.0
Astro,28,8,8,0.17177094683393923,0.959129759129759
Astro,29,7,9,0.3203588426257733,0.6064685314685315
Astro,30,7,9,0.06749598653312505,0.8370629370629371
Astro,32,8,8,0.23118959157272823,0.8784770784770783
Astro,35,8,8,0.18007136909414623,0.959129759129759
Astro,37,8,8,0.19916727863902128,0.8784770784770783
Astro,39,7,9,0.20055968358937237,1.0
Astro,43,7,9,0.28636070456604257,0.8370629370629371
Astro,44,8,8,0.3268189417155858,0.7209013209013208
Astro,45,7,9,0.351857981834375,0.5360139860139861
Astro,47,7,9,0.3360523983875776,0.6064685314685315
Astro,7,7,9,0.07266555599529223,0.8370629370629371
CA_ExN,<none>,8,9,0.2720491093484676,0.4807075277663513
CA_ExN,11,8,8,0.2511854212502018,0.5737373737373737
CA_ExN,14,8,8,0.33975928114780896,0.3822843822843822
CA_ExN,15,8,8,0.22059019727172302,0.5737373737373737
CA_ExN,16,8,8,0.20826220540274232,0.5737373737373737
CA_ExN,2,7,9,0.32794926716441264,0.46975524475524477
CA_ExN,28,8,8,0.19801268438961106,0.5737373737373737
CA_ExN,29,7,9,0.23897295148721787,0.6064685314685315
CA_ExN,30,7,9,0.1725684879129057,0.6805944055944056
CA_ExN,32,8,8,0.270369254963291,0.5053613053613053
CA_ExN,35,8,8,0.22779841693629166,0.5737373737373737
CA_ExN,37,8,8,0.29810587352367346,0.5053613053613053
CA_ExN,39,7,9,0.403683954338081,0.2104895104895105
CA_ExN,43,7,9,0.23592670299040552,0.6064685314685315
CA_ExN,44,8,8,0.43435864925086864,0.2786324786324786
CA_ExN,45,7,9,0.18438608857258343,0.6805944055944056
CA_ExN,47,7,9,0.03871419831885303,0.7576923076923078
CA_ExN,7,7,9,0.5741912240032829,0.2104895104895105
DG_GC,<none>,8,9,2.412222735232692,0.4807075277663513
DG_GC,11,8,8,2.4718880480422696,0.4418026418026417
DG_GC,14,8,8,2.178023691717762,0.7209013209013208
