celltype,n,umi_median,umi_mean,genes_median,pct_mt_median,umi_median_rank,genes_median_rank
Astro,25218,3874.0,4850.8784,2001.0,0.64230025,9,9
CA_ExN,12679,14646.0,19760.078,4418.0,0.3787044,2,3
DG_GC,16882,13969.0,15625.136,4448.0,0.37910357,3,2
Endo,1590,5156.5,10083.937,2525.0,2.2241886,6,6
Ependymal,2097,6416.0,13418.463,2977.0,1.6125264,5,5
Immature,1366,19390.5,21320.096,5610.0,0.947172,1,1
InN,7650,10340.5,12725.445,3797.0,0.39853895,4,4
Micro,12165,2842.0,3198.038,1637.0,0.4621072,12,11
NSC,877,3967.0,5607.445,2115.0,1.0677084,8,8
Neuroblast,1309,2868.0,3522.893,1656.0,5.539637,11,10
OPC,12597,4376.0,5147.1694,2145.0,0.5866426,7,7
Oligo,59100,3030.0,3387.6416,1571.5,0.4982179,10,12
