celltype,gene,base_lfc,base_padj,arm_lfc,arm_padj,sign_kept
Astro,FAP,2.628,4.530444241342252e-05,2.298,0.0009451070781633772,True
Astro,HMCN2,-2.63,4.530444241342252e-05,-2.454,0.00027563966161267604,True
Astro,WNT5B,-1.553,0.0004056591116221036,-1.289,0.00027563966161267604,True
Astro,COL21A1,1.91,0.0052504231719135335,1.578,0.04377347669422865,True
Astro,TNC,1.354,0.0052504231719135335,1.22,0.02902751531478184,True
Astro,ECM2,1.779,0.01277517166121592,1.445,0.03403537931727834,True
Astro,CCN2,2.306,0.013167599200033768,2.424,0.009852720974523641,True
Astro,SEMA3D,1.805,0.013167599200033768,1.524,0.06403607807571947,True
Astro,ANXA1,2.574,0.013167599200033768,1.991,0.06864229218585628,True
Astro,COL12A1,1.454,0.013775974473040374,1.38,0.03624633758385923,True
Astro,USH2A,-1.212,0.01682334509774768,-1.129,0.05477253700992332,True
Astro,IGFBP5,1.581,0.017551461628872167,1.62,0.03415225744538415,True
Astro,CXCL2,2.224,0.020159252544130882,2.018,0.05655724968370494,True
Astro,LYPD6,-0.656,0.031040739618273312,-0.635,0.06449578780101424,True
Astro,CHST9,0.989,0.034470169174997824,0.897,0.10586294690584211,True
Astro,ADAMTS19,-2.98,0.03820967457637205,-2.513,0.13610907346251525,True
Astro,CRB2,0.935,0.04034483159240829,0.804,0.10394029556808891,True
Astro,COL8A1,1.534,0.05801523014704329,1.8,0.04943913842562381,True
Astro,COL26A1,-1.275,0.06339736196874429,-1.336,0.06864229218585628,True
Astro,APOD,1.831,0.06352905321909565,1.798,0.12280432015777974,True
Astro,OTOS,2.273,0.06387585555424352,2.024,0.12975419206035455,True
Astro,KITLG,0.834,0.06758862167298924,0.774,0.1533457565082161,True
Astro,FN1,-1.511,0.07119972120028317,-1.498,0.12975419206035455,True
Astro,ANTXR2,0.669,0.07279214428427888,0.592,0.17647225630327978,True
Astro,PAPPA2,0.667,0.08165695462825144,0.733,0.029254913312770133,True
Astro,TAFA1,-1.03,0.08165695462825144,-1.043,0.12274232952866564,True
Micro,IL15,3.11,8.402554224270227e-06,3.113,5.504906982463815e-05,True
Micro,GLT1D1,-1.922,0.00816443323324634,-1.915,0.0053971865689174696,True
Micro,NPC2,1.387,0.011777533498606123,1.305,0.004807885499453991,True
Micro,APOC1,1.9,0.023791317338665775,1.847,0.0492165318282791,True
Micro,LGALS9,1.055,0.027276314221325523,1.043,0.029480312040618392,True
Micro,SERPINE1,4.125,0.029929210532030633,3.837,0.06661922768861131,True
Micro,LIPG,2.597,0.033747438809454106,2.587,0.05630636151275417,True
Micro,SPON1,2.153,0.04536782613666854,1.963,0.1334797314984078,True
Micro,ASAH1,0.856,0.04574502600809404,0.843,0.08323165884993883,True
Micro,CYTL1,1.599,0.04959409102177442,1.567,0.09984329314001622,True
Micro,LUZP2,-1.934,0.04959409102177442,-1.941,0.07992022962675094,True
Micro,APOE,1.121,0.09826131380051772,1.025,0.19784945479449942,True
Oligo,CD74,2.213,0.009173920714419984,2.205,0.013737298931302471,True
Oligo,EPHA3,2.273,0.031887115259818535,2.068,0.049095237631265484,True
Oligo,PTPRR,-1.422,0.03694083179471908,-1.316,0.05566111251062517,True
Oligo,VSTM4,-0.77,0.041434289499576824,-0.737,0.0486889725344373,True
Oligo,ECM2,1.288,0.08748352598769044,1.306,0.027393213494402772,True
OPC,AZGP1,2.923,0.006628972653992775,2.746,0.017276729578076723,True
OPC,FGF13,-1.276,0.008026696683597203,-1.241,0.017134937262022944,True
OPC,COL4A2,1.62,0.03318129826237368,1.621,0.04703991801705305,True
OPC,FSTL5,-1.635,0.06767265752642267,-1.503,0.11880552185886151,True
OPC,NID2,-1.768,0.07663589954264172,-1.784,0.10678422008185062,True
OPC,ADAMTSL3,-1.307,0.08167427769569852,-1.387,0.05655991924865505,True
Endo,PRSS3,-2.564,0.00015471784473612777,-2.504,0.00022000688231063335,True
Endo,APOD,3.25,0.001166768473712898,2.761,0.02871197980743719,True
Endo,PLAT,-1.812,0.0015152766648805634,-1.764,0.009204717437054978,True
Endo,KDR,-1.361,0.01945543151720706,-1.349,0.04922122152242305,True
Endo,LAMA4,-1.08,0.04964973600071242,-1.14,0.04922122152242305,True
Endo,KITLG,-1.779,0.06440270833121403,-1.733,0.13636112391891544,True
Endo,EFEMP1,2.822,0.06780330766453743,2.373,0.2199598867391673,True
Endo,DKK2,4.449,0.07526486866951095,3.892,0.13636112391891544,True
Endo,MMP28,-1.667,0.07586384274477492,-1.701,0.0957307176281496,True
Endo,APP,-0.619,0.0809759706660869,-0.578,0.12301457535820517,True
Endo,EDN3,-1.799,0.08206064370308706,-1.746,0.200359900031616,True
