celltype,gene,full_lfc,full_padj,pmiadj_lfc,pmiadj_padj,loo_n,loo_sign_stable_frac,loo_max_padj
Astro,PAPPA2,0.667,0.08165695462825144,0.644,0.261471265400736,17,1.0,0.2068
Astro,USH2A,-1.212,0.01682334509774768,-1.277,0.052944377192411324,17,1.0,0.101
Astro,LYPD6,-0.656,0.031040739618273312,-0.819,0.014767166314954826,17,1.0,0.1138
Astro,FAP,2.628,4.530444241342252e-05,2.918,0.00032033264052529675,17,1.0,0.0007
Astro,FN1,-1.511,0.07119972120028317,-1.225,0.36630923980280194,17,1.0,0.1932
Astro,IGFBP5,1.581,0.017551461628872167,1.245,0.23592154765446802,17,1.0,0.0765
Astro,OTOS,2.273,0.06387585555424352,1.75,0.3446022026046365,17,1.0,0.1953
Astro,TAFA1,-1.03,0.08165695462825144,-0.954,0.30789955995091906,17,1.0,0.2619
Astro,COL8A1,1.534,0.05801523014704329,2.438,0.019389295687258938,17,1.0,0.1694
Astro,APOD,1.831,0.06352905321909565,2.05,0.1138029678171953,17,1.0,0.2596
Astro,CXCL2,2.224,0.020159252544130882,2.565,0.019389295687258938,17,1.0,0.0669
Astro,ANTXR2,0.669,0.07279214428427888,0.589,0.3230134890870455,17,1.0,0.1957
Astro,ADAMTS19,-2.98,0.03820967457637205,-2.44,0.29907326528335737,17,1.0,0.6957
Astro,COL21A1,1.91,0.0052504231719135335,1.92,0.03245071867943616,17,1.0,0.0201
Astro,COL12A1,1.454,0.013775974473040374,1.633,0.019389295687258938,17,1.0,0.0569
Astro,CCN2,2.306,0.013167599200033768,2.603,0.007255967312450195,17,1.0,0.0468
Astro,SEMA3D,1.805,0.013167599200033768,1.884,0.047780376947344216,17,1.0,0.0538
Astro,COL26A1,-1.275,0.06339736196874429,-1.142,0.29947898564493924,17,1.0,0.2021
Astro,ANXA1,2.574,0.013167599200033768,2.881,0.019389295687258938,17,1.0,0.194
Astro,ECM2,1.779,0.01277517166121592,1.832,0.04613246401273023,17,1.0,0.0487
Astro,TNC,1.354,0.0052504231719135335,1.425,0.019389295687258938,17,1.0,0.0203
Astro,CRB2,0.935,0.04034483159240829,1.024,0.08643492334489429,17,1.0,0.1213
Astro,HMCN2,-2.63,4.530444241342252e-05,-2.523,0.002761081947151298,17,1.0,0.0007
Astro,WNT5B,-1.553,0.0004056591116221036,-1.528,0.009640448302007628,17,1.0,0.0041
Astro,KITLG,0.834,0.06758862167298924,0.846,0.20526801052193971,17,1.0,0.1809
Astro,CHST9,0.989,0.034470169174997824,1.144,0.04175157520529325,17,1.0,0.1053
Micro,CYTL1,1.599,0.04959409102177442,1.147,0.5861050398438296,16,1.0,0.276
Micro,IL15,3.11,8.402554224270227e-06,2.997,0.001906260254180535,16,1.0,0.0009
Micro,SERPINE1,4.125,0.029929210532030633,3.462,0.38622803328684807,16,1.0,0.1499
Micro,ASAH1,0.856,0.04574502600809404,0.988,0.1148434247184837,16,1.0,0.21
Micro,SPON1,2.153,0.04536782613666854,2.345,0.19593641421171226,16,1.0,0.1609
Micro,LUZP2,-1.934,0.04959409102177442,-2.115,0.24097762376386545,16,1.0,0.21
Micro,GLT1D1,-1.922,0.00816443323324634,-1.902,0.07519630160686008,16,1.0,0.0654
