celltype,set,gene,n_peaks,rna_sign,oriented_mean_lfc
Astro,frozen_hit_linked,PAPPA2,1,1,-0.2515
Astro,frozen_hit_linked,USH2A,2,-1,-0.0331
Astro,frozen_hit_linked,LYPD6,3,-1,0.0491
Astro,frozen_hit_linked,FAP,3,1,0.2459
Astro,frozen_hit_linked,FN1,1,-1,0.377
Astro,frozen_hit_linked,IGFBP5,2,1,0.0948
Astro,frozen_hit_linked,OTOS,2,1,0.0963
Astro,frozen_hit_linked,TAFA1,53,-1,0.1713
Astro,frozen_hit_linked,COL8A1,1,1,0.1818
Astro,frozen_hit_linked,APOD,3,1,-0.128
Astro,frozen_hit_linked,CXCL2,2,1,-0.0047
Astro,frozen_hit_linked,ANTXR2,1,1,0.1209
Astro,frozen_hit_linked,ADAMTS19,2,-1,0.3319
Astro,frozen_hit_linked,COL21A1,15,1,0.1768
Astro,frozen_hit_linked,COL12A1,5,1,0.0402
Astro,frozen_hit_linked,CCN2,1,1,-0.0068
Astro,frozen_hit_linked,SEMA3D,7,1,0.3557
Astro,frozen_hit_linked,COL26A1,1,-1,-0.0405
Astro,frozen_hit_linked,ANXA1,5,1,0.3495
Astro,frozen_hit_linked,ECM2,4,1,0.2122
Astro,frozen_hit_linked,TNC,6,1,0.3111
Astro,frozen_hit_linked,CRB2,5,1,0.1415
Astro,frozen_hit_linked,HMCN2,9,-1,0.2344
Astro,frozen_hit_linked,WNT5B,17,-1,0.2376
Astro,frozen_hit_linked,KITLG,1,1,0.397
Astro,frozen_hit_linked,CHST9,8,1,0.1692
Astro,all_secretome_linked,ISG15,5,1,-0.0354
Astro,all_secretome_linked,AGRN,1,1,-0.0413
Astro,all_secretome_linked,VWA1,3,1,0.0292
Astro,all_secretome_linked,MMEL1,1,1,0.0029
Astro,all_secretome_linked,MEGF6,25,1,-0.0009
Astro,all_secretome_linked,TNFRSF25,1,-1,-0.3157
Astro,all_secretome_linked,CORT,1,1,-0.1666
Astro,all_secretome_linked,ANGPTL7,2,1,-0.2998
Astro,all_secretome_linked,DRAXIN,2,1,0.2909
Astro,all_secretome_linked,NPPA,2,1,-0.1811
Astro,all_secretome_linked,TNFRSF1B,2,1,-0.1222
Astro,all_secretome_linked,CELA2B,1,1,0.1354
Astro,all_secretome_linked,NBL1,14,-1,0.1447
Astro,all_secretome_linked,PLA2G5,1,-1,0.295
Astro,all_secretome_linked,PLA2G2C,2,-1,0.3768
Astro,all_secretome_linked,VWA5B1,2,-1,-0.0511
Astro,all_secretome_linked,HSPG2,2,-1,-0.1117
Astro,all_secretome_linked,WNT4,1,1,0.4093
Astro,all_secretome_linked,C1QA,2,1,-0.3053
Astro,all_secretome_linked,C1QC,3,1,0.038
Astro,all_secretome_linked,C1QB,3,1,0.1214
Astro,all_secretome_linked,COL16A1,3,1,0.1195
Astro,all_secretome_linked,ADGRB2,5,-1,-0.0842
Astro,all_secretome_linked,FNDC5,2,-1,0.219
Astro,all_secretome_linked,COL8A2,7,1,-0.0724
Astro,all_secretome_linked,CSF3R,1,-1,0.1811
Astro,all_secretome_linked,EPHA10,3,-1,0.3067
Astro,all_secretome_linked,BMP8A,3,-1,0.394
Astro,all_secretome_linked,BMP8B,2,-1,0.1568
Astro,all_secretome_linked,PPT1,6,1,0.0303
Astro,all_secretome_linked,COL9A2,1,1,0.1437
Astro,all_secretome_linked,YBX1,1,1,0.068
Astro,all_secretome_linked,P3H1,1,-1,0.0086
Astro,all_secretome_linked,SVBP,1,1,0.1086
Astro,all_secretome_linked,ST3GAL3,7,-1,-0.0612
Astro,all_secretome_linked,SPATA6,1,-1,0.0756
Astro,all_secretome_linked,GPX7,1,-1,0.0647
Astro,all_secretome_linked,PODN,1,1,-0.0215
Astro,all_secretome_linked,LRP8,1,-1,0.0684
Astro,all_secretome_linked,SSBP3-AS1,1,-1,0.1807
Astro,all_secretome_linked,LEPR,20,-1,0.0165
Astro,all_secretome_linked,CCN1,2,1,0.0563
Astro,all_secretome_linked,COL24A1,1,-1,0.3152
Astro,all_secretome_linked,CLCA4,1,1,0.0532
Astro,all_secretome_linked,GBP1,1,1,0.2195
Astro,all_secretome_linked,TGFBR3,9,1,-0.0946
Astro,all_secretome_linked,F3,2,1,0.144
Astro,all_secretome_linked,VCAM1,2,1,0.0097
Astro,all_secretome_linked,EXTL2,1,1,-0.1325
Astro,all_secretome_linked,OLFM3,25,-1,0.147
Astro,all_secretome_linked,COL11A1,1,-1,-0.0093
Astro,all_secretome_linked,AMY2B,3,-1,0.1802
Astro,all_secretome_linked,AMY2A,1,-1,0.3193
Astro,all_secretome_linked,CSF1,2,1,0.0462
Astro,all_secretome_linked,CHI3L2,12,1,0.0701
Astro,all_secretome_linked,WNT2B,3,1,-0.0586
Astro,all_secretome_linked,OLFML3,2,1,0.0392
Astro,all_secretome_linked,NGF,1,1,0.115
Astro,all_secretome_linked,CD160,3,-1,0.1831
Astro,all_secretome_linked,NOTCH2NLA,1,1,0.6248
