celltype,set,n_linked,obs_mean_oriented,null_mean,p,n_fdr_concordant,pass
Astro,frozen_hit_linked,160,0.18337765044846682,0.008367676471745796,0.0004997501249375312,0,False
Astro,all_secretome_linked,5143,0.033151571641040836,0.0019592413680629066,0.0004997501249375312,0,False
Micro,frozen_hit_linked,54,0.23907819564871227,-0.037860795711061386,0.0004997501249375312,0,False
Micro,all_secretome_linked,4160,0.02809322558816736,-0.03525404627045947,0.0004997501249375312,0,False
Oligo,frozen_hit_linked,30,-0.015096791137234692,0.01655738693270804,0.7731134432783608,0,False
Oligo,all_secretome_linked,5015,0.02890563301112311,0.009880436014106767,0.0004997501249375312,0,False
OPC,frozen_hit_linked,19,0.28634525043059034,0.026341709407181304,0.0004997501249375312,0,False
OPC,all_secretome_linked,4683,0.026911670114767205,0.004549184647366797,0.0004997501249375312,0,False
Endo,frozen_hit_linked,40,0.11179544327991456,0.014032058580956432,0.2478760619690155,0,False
Endo,all_secretome_linked,2912,0.043386048595803695,0.005864356871631414,0.02048975512243878,0,False
