celltype,set,n,obs,p_matched,p_signperm,mag_ratio
Astro,frozen_hit_linked,160,0.1834,0.0005,0.0005,1.208
Astro,all_secretome_linked,5143,0.0332,0.0005,0.0005,1.03
Micro,frozen_hit_linked,54,0.2391,0.0005,0.0025,1.23
Micro,all_secretome_linked,4160,0.0281,0.0005,0.0005,1.008
Oligo,frozen_hit_linked,30,-0.0151,0.7811,0.7911,0.832
Oligo,all_secretome_linked,5015,0.0289,0.0005,0.0005,1.023
OPC,frozen_hit_linked,19,0.2863,0.0005,0.008,1.359
OPC,all_secretome_linked,4683,0.0269,0.0005,0.0005,1.012
Endo,frozen_hit_linked,40,0.1118,0.2429,0.2389,1.239
Endo,all_secretome_linked,2912,0.0434,0.0185,0.0085,1.014
