"motif","tf","celltype","dz","p","padj"
"MA0030.1","FOXF2","Astro",0.0370221142067694,1,1
"MA0031.1","FOXD1","Astro",0.0107023317334393,0.672974084738791,1
"MA0051.1","IRF2","Astro",0.152039085386697,0.276593994241053,1
"MA0057.1","MZF1(var.2)","Astro",-0.029588167863257,0.672974084738791,1
"MA0059.1","MAX::MYC","Astro",0.0256747131002742,0.814808720691074,1
"MA0066.1","PPARG","Astro",-0.0203334990165495,1,1
"MA0069.1","PAX6","Astro",0.0723606916932081,0.370382558617853,1
"MA0070.1","PBX1","Astro",-0.055765529564904,0.541423282599753,1
"MA0071.1","RORA","Astro",-0.0686354175821076,0.370382558617853,1
"MA0072.1","RORA(var.2)","Astro",-0.0776659847712671,0.888358700123406,1
"MA0073.1","RREB1","Astro",-0.0905634754362239,0.541423282599753,1
"MA0074.1","RXRA::VDR","Astro",-0.000681404576618028,0.888358700123406,1
"MA0077.1","SOX9","Astro",-0.037181810097732,0.541423282599753,1
"MA0084.1","SRY","Astro",0.0684275134765633,0.605841217605923,1
"MA0091.1","TAL1::TCF3","Astro",-0.20165837009932,0.138790621143562,1
"MA0101.1","REL","Astro",0.159873942497655,0.19958864664747,1
"MA0107.1","RELA","Astro",0.109286662279595,0.605841217605923,1
"MA0115.1","NR1H2::RXRA","Astro",0.0143528657775405,1,1
"MA0119.1","NFIC::TLX1","Astro",0.187932940623023,0.276593994241053,1
"MA0130.1","ZNF354C","Astro",-0.0750299086496058,0.480707527766351,1
"MA0139.1","CTCF","Astro",-0.1637086962011,0.480707527766351,1
"MA0149.1","EWSR1-FLI1","Astro",-0.0464006223479494,0.672974084738791,1
"MA0138.2","REST","Astro",-0.0629382566011195,0.4234471410942,1
"MA0152.1","NFATC2","Astro",0.107122130210881,0.480707527766351,1
"MA0155.1","INSM1","Astro",-0.0651146475268966,0.541423282599753,1
"MA0159.1","RARA::RXRA","Astro",-0.0194389879464058,0.814808720691074,1
"MA0160.1","NR4A2","Astro",-0.0371824195592023,0.742986425339367,1
"MA0163.1","PLAG1","Astro",-0.0542095748489461,0.605841217605923,1
"MA0259.1","ARNT::HIF1A","Astro",0.0576757137002576,0.480707527766351,1
"MA0468.1","DUX4","Astro",-0.00121026383617262,0.962566844919786,1
"MA0476.1","FOS","Astro",0.696812449315302,0.742986425339367,1
"MA0478.1","FOSL2","Astro",0.737318559027149,0.541423282599753,1
"MA0479.1","FOXH1","Astro",-0.114328037711524,0.541423282599753,1
"MA0488.1","JUN","Astro",0.101256194462714,0.541423282599753,1
"MA0489.1","JUN(var.2)","Astro",0.659493838978983,0.605841217605923,1
"MA0492.1","JUND(var.2)","Astro",0.0700318750288188,1,1
"MA0497.1","MEF2C","Astro",0.116866311858273,0.480707527766351,1
"MA0501.1","MAF::NFE2","Astro",0.455548862584398,0.235870012340601,1
"MA0504.1","NR2C2","Astro",-0.0452730215527555,0.672974084738791,1
"MA0506.1","NRF1","Astro",0.105164204924853,0.276593994241053,1
"MA0507.1","POU2F2","Astro",-0.138528566078937,0.321266968325792,1
"MA0513.1","SMAD2::SMAD3::SMAD4","Astro",-0.126056894130809,0.480707527766351,1
"MA0517.1","STAT1::STAT2","Astro",0.19268095593656,0.19958864664747,1
"MA0523.1","TCF7L2","Astro",-0.0280570651973618,0.962566844919786,1
"MA0527.1","ZBTB33","Astro",0.0563877638869132,0.541423282599753,1
"MA0076.2","ELK4","Astro",-0.144094895315012,0.138790621143562,1
"MA0258.2","ESR2","Astro",-0.0457550514479518,0.962566844919786,1
"MA0050.2","IRF1","Astro",0.171076912776361,0.321266968325792,1
"MA0137.3","STAT1","Astro",-0.193512883632054,1,1
"MA0144.2","STAT3","Astro",-0.173483903562857,0.962566844919786,1
"MA0140.2","GATA1::TAL1","Astro",-0.112578378043581,0.321266968325792,1
"MA0095.2","YY1","Astro",-0.0572593963798332,0.321266968325792,1
"MA0593.1","FOXP2","Astro",0.0622002468050402,0.888358700123406,1
"MA0595.1","SREBF1","Astro",-0.0625468736142685,0.962566844919786,1
"MA0596.1","SREBF2","Astro",-0.0720536770360954,0.814808720691074,1
"MA0597.1","THAP1","Astro",-0.0384474716452414,0.672974084738791,1
"MA0599.1","KLF5","Astro",-0.0207009872341662,0.962566844919786,1
"MA0610.1","DMRT3","Astro",-0.0124804126366435,0.672974084738791,1
"MA0613.1","FOXG1","Astro",0.0107023317334393,0.672974084738791,1
"MA0618.1","LBX1","Astro",-0.0645299321016113,0.814808720691074,1
"MA0625.1","NFATC3","Astro",0.102126748086642,0.480707527766351,1
"MA0628.1","POU6F1","Astro",-0.0979041658019777,0.541423282599753,1
"MA0630.1","SHOX","Astro",-0.174270720148964,0.888358700123406,1
