"tf","celltype","contrast","dz","p","padj"
"FOXF2","Astro","HAvYA",-0.00423588551776029,0.968877610374054,0.995976016570843
"FOXD1","Astro","HAvYA",-0.0275435030716207,0.814092463585285,0.979336604887158
"IRF2","Astro","HAvYA",0.113150579656165,0.235560550406519,0.979336604887158
"MZF1(var.2)","Astro","HAvYA",-0.0734138013144668,0.545826781865611,0.979336604887158
"MAX::MYC","Astro","HAvYA",0.0119268163902851,0.888184714152716,0.988541523911787
"PPARG","Astro","HAvYA",-0.0315087618690102,0.770676279925447,0.979336604887158
"PAX6","Astro","HAvYA",0.055350224161958,0.479897321019137,0.979336604887158
"PBX1","Astro","HAvYA",-0.0771031335053209,0.474029487685008,0.979336604887158
"RORA","Astro","HAvYA",-0.113046501063448,0.374177675873368,0.979336604887158
"RORA(var.2)","Astro","HAvYA",-0.123008823521668,0.445965022260934,0.979336604887158
"RREB1","Astro","HAvYA",-0.128520121080301,0.411234287430255,0.979336604887158
"RXRA::VDR","Astro","HAvYA",-0.0105639691481328,0.88338022383376,0.988541523911787
"SOX9","Astro","HAvYA",-0.0838224410287192,0.610409522916465,0.979336604887158
"SRY","Astro","HAvYA",0.0172309618098183,0.874947168981313,0.988541523911787
"TAL1::TCF3","Astro","HAvYA",-0.229065853158349,0.20756841496949,0.979336604887158
"REL","Astro","HAvYA",0.121610656783583,0.157354990730164,0.979336604887158
"RELA","Astro","HAvYA",0.064200476690935,0.469003013253244,0.979336604887158
"NR1H2::RXRA","Astro","HAvYA",-0.0145188661136213,0.859266033823747,0.988541523911787
"NFIC::TLX1","Astro","HAvYA",0.153653884503252,0.285479216250439,0.979336604887158
"ZNF354C","Astro","HAvYA",-0.107883929231474,0.589593333376664,0.979336604887158
"CTCF","Astro","HAvYA",-0.197675504286317,0.60361664188586,0.979336604887158
"EWSR1-FLI1","Astro","HAvYA",-0.0942801309441713,0.463549460150717,0.979336604887158
"REST","Astro","HAvYA",-0.0883389401302017,0.506240726339371,0.979336604887158
"NFATC2","Astro","HAvYA",0.0403799199388108,0.74640990094317,0.979336604887158
"INSM1","Astro","HAvYA",-0.105467376993723,0.448349592315745,0.979336604887158
"RARA::RXRA","Astro","HAvYA",-0.0329055262951161,0.775039404589772,0.979336604887158
"NR4A2","Astro","HAvYA",-0.056629885363247,0.627353152327029,0.979336604887158
"PLAG1","Astro","HAvYA",-0.0885939439767238,0.504707601617033,0.979336604887158
"ARNT::HIF1A","Astro","HAvYA",0.0358598452524443,0.59993606300285,0.979336604887158
"DUX4","Astro","HAvYA",-0.0366660028567812,0.766052058489825,0.979336604887158
"FOS","Astro","HAvYA",0.679970290957166,0.260446910634282,0.979336604887158
"FOSL2","Astro","HAvYA",0.725984692939702,0.241724140586535,0.979336604887158
"FOXH1","Astro","HAvYA",-0.145377125879304,0.126548153088429,0.979336604887158
"JUN","Astro","HAvYA",0.0721776360465757,0.640043669982295,0.979336604887158
"JUN(var.2)","Astro","HAvYA",0.638767632268637,0.274486897599962,0.979336604887158
"JUND(var.2)","Astro","HAvYA",0.0443816187459709,0.774799756482742,0.979336604887158
"MEF2C","Astro","HAvYA",0.0952487848975254,0.463531068845154,0.979336604887158
"MAF::NFE2","Astro","HAvYA",0.416856791849322,0.163944228635621,0.979336604887158
"NR2C2","Astro","HAvYA",-0.0865122959720279,0.535994865587959,0.979336604887158
"NRF1","Astro","HAvYA",0.0756382670391867,0.490431693511559,0.979336604887158
"POU2F2","Astro","HAvYA",-0.195296703858042,0.128611222653223,0.979336604887158
"SMAD2::SMAD3::SMAD4","Astro","HAvYA",-0.154206397306983,0.304183187966723,0.979336604887158
"STAT1::STAT2","Astro","HAvYA",0.133203149267674,0.229968552092827,0.979336604887158
"TCF7L2","Astro","HAvYA",-0.0686311843904075,0.481017364068105,0.979336604887158
"ZBTB33","Astro","HAvYA",0.0343736699572473,0.651422633689674,0.979336604887158
"ELK4","Astro","HAvYA",-0.158725229270243,0.169887874755862,0.979336604887158
"ESR2","Astro","HAvYA",-0.0706557804960053,0.576166864152038,0.979336604887158
"IRF1","Astro","HAvYA",0.12501755526553,0.286197632039475,0.979336604887158
"STAT1","Astro","HAvYA",-0.236434036462499,0.533284456484758,0.979336604887158
"STAT3","Astro","HAvYA",-0.218123120382915,0.511039770790171,0.979336604887158
"GATA1::TAL1","Astro","HAvYA",-0.148954170779275,0.369863195935755,0.979336604887158
