plocal,gene,celltype,n_mc,rho,p,validated
0,ISG15,Astro,316,0.0001315417143876586,0.9981416726562955,False
0,ISG15,Micro,153,0.0524904055598852,0.5193223356896493,False
0,ISG15,Oligo,739,0.029653279666965196,0.42086375303212736,False
0,ISG15,OPC,158,0.014980737753551038,0.8518015849204769,False
0,ISG15,Endo,20,-0.47717905697243646,0.03337768244084851,False
1,ISG15,Astro,316,0.07794149987435715,0.16693145940594467,False
1,ISG15,Micro,153,-0.017908101666504476,0.8260954324984102,False
1,ISG15,Oligo,739,0.027691070090141802,0.45226802884717593,False
1,ISG15,OPC,158,-0.06877365279060658,0.3905477620889298,False
1,ISG15,Endo,20,-0.003770756221502425,0.9874119190434459,False
2,ISG15,Astro,316,0.07576656097023023,0.1791262528386502,False
2,ISG15,Micro,153,0.023377828883049227,0.7742382250486116,False
2,ISG15,Oligo,739,0.03743540166034453,0.30948737353981715,False
2,ISG15,OPC,158,-0.16359736952028459,0.039983663670882144,False
2,ISG15,Endo,20,-0.07876008441996214,0.7413550796813377,False
3,ISG15,Astro,316,0.03929851318347092,0.48637487309729566,False
3,ISG15,Micro,153,0.1278493302865398,0.11527718053186764,False
3,ISG15,Oligo,739,0.012112725849108781,0.742356969468659,False
3,ISG15,OPC,158,0.014142735982944153,0.8600043027115384,False
3,ISG15,Endo,20,0.11926252975470955,0.616505311855731,False
4,ISG15,Astro,316,0.041369706675830294,0.4636783314481275,False
4,ISG15,Micro,153,0.03130861403738281,0.7008417178581339,False
4,ISG15,Oligo,739,0.09779065700128026,0.007807712063969481,False
4,ISG15,OPC,158,-0.0314178377507202,0.6951490248498537,False
4,ISG15,Endo,20,-0.1752283854012439,0.459947505813205,False
5,AGRN,Astro,316,0.044643518803470686,0.4290315523425035,False
5,AGRN,Micro,153,-0.10725849473848229,0.18695374676041013,False
5,AGRN,Oligo,739,-0.003616212218871001,0.9218218967542674,False
5,AGRN,OPC,158,0.09887276808287151,0.2164682343301524,False
5,AGRN,Endo,20,-0.0037664850218440873,0.9874261766972712,False
6,TNFRSF18,Astro,316,0.06954280289961311,0.21764520192421358,False
6,TNFRSF18,Micro,153,0.046556574768878624,0.567687590229425,False
6,TNFRSF18,Oligo,739,-0.018052970846346494,0.6241543208389124,False
6,TNFRSF18,OPC,158,0.017761432889579917,0.8247012058857874,False
6,TNFRSF18,Endo,20,-0.354549512963785,0.12507260579245894,False
7,C1QTNF12,Astro,316,-0.0002243317325561217,0.9968308070274394,False
7,C1QTNF12,Micro,153,-0.004003524051038727,0.9608276961579375,False
7,C1QTNF12,Oligo,739,-0.022591527088721464,0.5397578275003543,False
7,C1QTNF12,OPC,158,0.010372013524497665,0.8970866838657384,False
7,C1QTNF12,Endo,20,-0.254615956590498,0.27865806501777773,False
8,VWA1,Astro,316,0.028161224573810418,0.6179766885896796,False
8,VWA1,Micro,153,0.15640384831196677,0.05352731653499528,False
8,VWA1,Oligo,739,0.04603652978189022,0.21128973962966807,False
8,VWA1,OPC,158,0.10506991269808744,0.18889289954750438,False
8,VWA1,Endo,20,-0.17217188841484513,0.46793349326859424,False
9,VWA1,Astro,316,-0.006991605696927091,0.901478001322573,False
9,VWA1,Micro,153,0.0818890313703116,0.31427325148175844,False
9,VWA1,Oligo,739,-0.002338452037336537,0.9493984163611376,False
9,VWA1,OPC,158,-0.028321889193546057,0.723904968955262,False
9,VWA1,Endo,20,-0.10426952627836336,0.6617646476808354,False
10,VWA1,Astro,316,-0.014238920832790316,0.8009434445620961,False
10,VWA1,Micro,153,0.05812734396653829,0.47541087810182175,False
10,VWA1,Oligo,739,-0.02719543681025319,0.4604045335061338,False
10,VWA1,OPC,158,-0.005511402151398406,0.9452063802436723,False
10,VWA1,Endo,20,-0.06200477779790501,0.7951040671738862,False
11,MMP23B,Astro,316,-0.023637307192820953,0.6755236249752707,False
11,MMP23B,Micro,153,0.03148071233377025,0.6992764796020251,False
11,MMP23B,Oligo,739,-0.07494863351908823,0.04166390572114,False
11,MMP23B,OPC,158,0.04822181640174458,0.547389784922051,False
11,MMP23B,Endo,20,0.5293098974504857,0.01639731183661508,False
12,MMEL1,Astro,316,0.00442555850901047,0.9375424322716368,False
