baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,celltype,cohort,n_donors
796177.869621948,-0.008801572333560345,0.009680429636425165,-0.9092129857999393,0.36323771087001633,0.7325051926800588,MALAT1,Oligo,GSE186538,6
521107.40777714265,0.005953756474786625,0.014244156248821443,0.4179788799550157,0.6759625589564929,0.926339307768075,MALAT1,Astro,GSE186538,6
330245.04033685726,-0.005857992021618358,0.010003250136041558,-0.5856088713119451,0.5581383854318964,0.8448109566073049,PCDH9,Oligo,GSE186538,6
247122.47876206497,-0.004400786231969867,0.013943908071226111,-0.31560637157749843,0.7523013008835434,0.9860620056895641,MALAT1,OPC,GSE186538,6
198244.77409455754,-0.015647056953115045,0.009159608955484747,-1.7082669171969,0.08758682690563553,0.42009338341789004,IL1RAPL1,Oligo,GSE186538,6
197367.59598968478,-0.002389542718435317,0.017322256335693835,-0.13794638943839443,0.8902827873726785,0.9700368379856393,PLP1,Oligo,GSE186538,6
141330.95725097266,-0.013812894888780096,0.009011864409806458,-1.5327455297429122,0.12533856630413553,0.48605085136563636,QKI,Oligo,GSE186538,6
125895.58845175333,0.0010149101346642868,0.015509685929760828,0.06543718159481374,0.947825920873651,0.9869776741322476,CADM2,Oligo,GSE186538,6
122559.38727820665,-0.02547145082378609,0.01172242694641819,-2.172882026922671,0.029789197526328942,0.2599458836871979,CTNNA3,Oligo,GSE186538,6
118604.65398324378,-0.00767367201258795,0.00932436276164749,-0.8229701276907544,0.41052498110580427,0.7624497237194432,DLG2,Oligo,GSE186538,6
115598.42652637708,-0.011321185494942671,0.011546621558715605,-0.9804760152026659,0.32685120332257533,0.707315301890767,PDE4B,Oligo,GSE186538,6
113865.36907457012,-0.012887209785434388,0.010918061735764895,-1.1803569257370148,0.23785828607286097,0.6288445102369108,MAGI2,Oligo,GSE186538,6
110690.2105958595,-0.045015837733356316,0.015294884444105684,-2.9431956742049423,0.0032484302685520552,0.17262533159756865,DPP10,Astro,GSE186538,6
110429.97172979532,-0.011950393894921705,0.022024262780688832,-0.5426013126487017,0.5874043350003662,0.999842309794823,MALAT1,Micro,GSE186538,6
