contrast,celltype,n_donor,test,ref,wh,dg,design,n_genes,padj_lt0_1,padj_lt0_2,exploratory,secr_padj0_1,secr_padj0_2
aging,DG_GC,16,HA:9,YA:7,5,11,~arm + grp,24833,45,83,False,4,7
aging,CA_ExN,17,HA:9,YA:8,6,11,~arm + grp,25895,31,97,False,3,5
aging,InN,17,HA:9,YA:8,6,11,~arm + grp,23179,1,2,False,0,0
aging,Astro,17,HA:9,YA:8,6,11,~arm + grp,23366,122,292,False,17,30
aging,Micro,16,HA:9,YA:7,6,10,~arm + grp,17628,58,169,False,11,19
aging,Oligo,17,HA:9,YA:8,6,11,~arm + grp,22844,42,152,False,7,17
aging,OPC,17,HA:9,YA:8,6,11,~arm + grp,20577,79,153,False,6,15
aging,Endo,16,HA:9,YA:7,6,10,~arm + grp,15128,21,37,False,6,10
aging,NSC,12,HA:4,YA:8,5,7,~arm + grp,10607,159,352,True,17,33
aging,Neuroblast,13,HA:6,YA:7,4,9,~arm + grp,13728,0,0,True,0,0
aging,Immature,12,HA:7,YA:5,6,6,~arm + grp,16346,4,7,True,0,0
ADvHA,DG_GC,19,AD:10,HA:9,10,9,~arm + grp,23976,5981,8215,False,270,360
ADvHA,CA_ExN,19,AD:10,HA:9,10,9,~arm + grp,25329,3427,5454,False,175,275
ADvHA,InN,18,AD:9,HA:9,10,8,~arm + grp,21042,2488,3852,False,137,210
ADvHA,Astro,19,AD:10,HA:9,10,9,~arm + grp,23906,3064,4810,False,160,259
ADvHA,Micro,19,AD:10,HA:9,10,9,~arm + grp,19125,657,1303,False,48,84
ADvHA,Oligo,19,AD:10,HA:9,10,9,~arm + grp,24071,3158,5088,False,193,293
ADvHA,OPC,19,AD:10,HA:9,10,9,~arm + grp,20476,632,1502,False,46,96
ADvHA,Endo,18,AD:9,HA:9,10,8,~arm + grp,14960,6,9,False,3,4
MCIvHA,DG_GC,15,MCI:6,HA:9,6,9,~arm + grp,25784,9,14,False,2,4
MCIvHA,CA_ExN,15,MCI:6,HA:9,6,9,~arm + grp,26575,3,10,False,0,1
MCIvHA,InN,15,MCI:6,HA:9,6,9,~arm + grp,23041,2,3,False,1,1
MCIvHA,Astro,15,MCI:6,HA:9,6,9,~arm + grp,23973,1,2,False,0,0
MCIvHA,Micro,15,MCI:6,HA:9,6,9,~arm + grp,18798,2,2,False,1,1
MCIvHA,Oligo,15,MCI:6,HA:9,6,9,~arm + grp,23000,3,3,False,0,0
MCIvHA,OPC,15,MCI:6,HA:9,6,9,~arm + grp,20208,0,0,False,0,0
MCIvHA,Endo,15,MCI:6,HA:9,6,9,~arm + grp,14644,11,27,False,1,2
