gene,celltype,baseMean,log2FoldChange,lfcSE,pvalue,padj,padj_global,scope_status
ANTXR2,Astro,121.60874416933454,0.6689456640714607,0.2002683449933663,0.0008370402020808,0.0727965209169135,0.1563270729379571,lost_under_global_bh
APOD,Astro,129.85202003087235,1.830846059254615,0.5342425805580934,0.0006103028024853,0.0635662658835835,0.1326462492807788,lost_under_global_bh
COL26A1,Astro,15.004315357484018,-1.2754589228940654,0.3701976585617113,0.0005703294098544,0.0634166970695345,0.12896179214647904,lost_under_global_bh
COL8A1,Astro,9.815682154880264,1.533749038398641,0.4381459378510094,0.0004643099622601,0.0580315466784519,0.11738398196418509,lost_under_global_bh
FN1,Astro,157.51056392837108,-1.5109220921873712,0.4502291320004276,0.0007910834363144,0.0712549622552988,0.15114704334833134,lost_under_global_bh
KITLG,Astro,115.68721428214232,0.8336449859273987,0.2451130757161032,0.0006712438298011,0.0676404016742768,0.13978722969397636,lost_under_global_bh
OTOS,Astro,9.069433172338156,2.2729447054413168,0.6646050777769821,0.0006262274999432,0.0639029492505429,0.1337740932704703,lost_under_global_bh
PAPPA2,Astro,73.95987381949635,0.6674576145263538,0.2030593774130225,0.001012582820513,0.0817221227349393,0.17313132780620133,lost_under_global_bh
TAFA1,Astro,459.38355518901415,-1.0304044401947663,0.3135085138106515,0.0010137334582266,0.0817221227349393,0.17313132780620133,lost_under_global_bh
APOE,Micro,188.6468375741175,1.1214252856237936,0.3239095301990589,0.000535866687644,0.0982944372529678,0.1255113260113749,lost_under_global_bh
ADAMTSL3,OPC,11.851574164745696,-1.307142434361901,0.3655687140120466,0.0003493709872558,0.0816445552189949,0.10350531415295047,lost_under_global_bh
AZGP1,Oligo,45.813132526338606,2.6124023046554936,0.7013469902177197,0.0001954424745724,0.1157756242343049,0.0768977299953952,new_under_global_bh
LTBP3,Oligo,54.63354038643431,0.5059849477438731,0.1381515544259988,0.0002497313056031,0.1296956832804094,0.08878304673198209,new_under_global_bh
NRG1,Oligo,42.93246316024837,-1.691742438107549,0.465078984329654,0.0002752566847238,0.136736750057055,0.0931710751346669,new_under_global_bh
NXPE3,Oligo,679.9155718538584,-0.2369287390310675,0.0637483272712881,0.0002019003664301,0.1157756242343049,0.07819289532068417,new_under_global_bh
ADAMTS19,Astro,29.80513847397292,-2.9795229313260485,0.8071051043037321,0.0002228328401283,0.0382205732062726,0.08307742411135391,retained_from_frozen60
ANXA1,Astro,23.66943704077098,2.574043369775902,0.6161970212640381,2.949823711890697e-05,0.0131726309425971,0.027212047331192493,retained_from_frozen60
CCN2,Astro,8.354283310589647,2.306475521439229,0.5528820128789066,3.0229321148427345e-05,0.0131726309425971,0.027606858205495886,retained_from_frozen60
CHST9,Astro,241.8152600651213,0.988510866891416,0.2645074060258474,0.000186098279451,0.0344880753975819,0.07499986692174229,retained_from_frozen60
