celltype,YA_mean,HA_mean,log2FC_HA_YA,p,padj
NSC,0.006776264319340459,0.0019836558200260496,-1.72250801043723,8.227067050596462e-05,0.0009872480460715754
Micro,0.03276894107547974,0.08443399929614484,1.3628067268254624,0.00032908268202385847,0.001974496092143151
OPC,0.11504693996456614,0.0747575740422031,-0.6212558721933005,0.059234882764294526,0.2369395310571781
CA_ExN,0.09307217009662512,0.08891237786903795,-0.0658931277886642,0.4807075277663513,1.0
DG_GC,0.11859713866118902,0.15806960092303748,0.41418719320308817,0.4807075277663513,1.0
Immature,0.005744307777197645,0.0055709880226671145,-0.04343204711915251,0.7429864253393665,1.0
InN,0.0817240440199435,0.05224197649556521,-0.6445564385349194,0.7429864253393665,1.0
Astro,0.16355829110366155,0.17638640792835855,0.10887038614944233,0.8883587001234061,1.0
Oligo,0.3379214963767473,0.3170582343230184,-0.09191219809525152,0.8883587001234061,1.0
Endo,0.013386377332281917,0.013531518542010982,0.015443418174734607,0.9625668449197862,1.0
Ependymal,0.00785543746398614,0.009453281522115782,0.26405511394577313,0.9625668449197862,1.0
Neuroblast,0.023548591808981424,0.01760038521581457,-0.4179735204610201,1.0,1.0
