capture_area,signature,n_spots,spearman_rho_vs_PROX1
GSM8226199_V12F14-051_A1,Astro_up,3762,-0.04420807645038503
GSM8226199_V12F14-051_A1,Micro_up,3762,0.028623324502079026
GSM8226199_V12F14-051_A1,Oligo_up,3762,-0.051739603366971976
GSM8226199_V12F14-051_B1,Astro_up,3135,-0.013277563259569285
GSM8226199_V12F14-051_B1,Micro_up,3135,0.04010275046690055
GSM8226199_V12F14-051_B1,Oligo_up,3135,-0.10346330030842761
GSM8226199_V12F14-051_C1,Astro_up,4117,0.018561066239377665
GSM8226199_V12F14-051_C1,Micro_up,4117,0.03702973298768998
GSM8226199_V12F14-051_C1,Oligo_up,4117,-0.07205244362371581
GSM8226199_V12F14-051_D1,Astro_up,4627,-0.06868898776268213
GSM8226199_V12F14-051_D1,Micro_up,4627,0.01589792836675658
GSM8226199_V12F14-051_D1,Oligo_up,4627,-0.13304958698420916
GSM8226200_V10B01-086_C1,Astro_up,2618,-0.010846802024595863
GSM8226200_V10B01-086_C1,Micro_up,2618,-0.025802326708798055
GSM8226200_V10B01-086_C1,Oligo_up,2618,-0.0392763551763788
GSM8226200_V10B01-086_D1,Astro_up,3461,-0.0019284961177619777
GSM8226200_V10B01-086_D1,Micro_up,3461,-0.007528357038231225
GSM8226200_V10B01-086_D1,Oligo_up,3461,-0.042654280296886754
GSM8226201_V11L05-333_A1,Astro_up,4992,0.06812767888292859
GSM8226201_V11L05-333_A1,Micro_up,4992,0.02014621043197964
GSM8226201_V11L05-333_A1,Oligo_up,4992,0.041050838488752614
GSM8226201_V11L05-333_B1,Astro_up,4992,-0.007102902436180709
GSM8226201_V11L05-333_B1,Micro_up,4992,0.08150792085623626
GSM8226201_V11L05-333_B1,Oligo_up,4992,-0.09881570315141332
GSM8226201_V11L05-333_C1,Astro_up,4815,-0.012031010932935534
GSM8226201_V11L05-333_C1,Micro_up,4815,0.00865112304492964
GSM8226201_V11L05-333_C1,Oligo_up,4815,-0.014901735160891253
GSM8226201_V11L05-333_D1,Astro_up,4969,0.032951404039584145
GSM8226201_V11L05-333_D1,Micro_up,4969,0.062322959799648386
GSM8226201_V11L05-333_D1,Oligo_up,4969,-0.09406310844291926
GSM8226202_V10B01-085_A1,Astro_up,3675,0.01502028136226114
GSM8226202_V10B01-085_A1,Micro_up,3675,-0.029285344018570386
GSM8226202_V10B01-085_A1,Oligo_up,3675,-0.011139486295655561
GSM8226202_V10B01-085_B1,Astro_up,3294,0.03459560744739438
GSM8226202_V10B01-085_B1,Micro_up,3294,0.018416958269789004
GSM8226202_V10B01-085_B1,Oligo_up,3294,0.00960682391863188
GSM8226202_V10B01-085_C1,Astro_up,3792,0.04886682721146751
GSM8226202_V10B01-085_C1,Micro_up,3792,0.020144334591249737
GSM8226202_V10B01-085_C1,Oligo_up,3792,0.03862333572246562
GSM8226202_V10B01-085_D1,Astro_up,3357,0.07658808762651294
GSM8226202_V10B01-085_D1,Micro_up,3357,0.04567419646106234
GSM8226202_V10B01-085_D1,Oligo_up,3357,0.07806395781203232
GSM8226203_V10B01-086_A1,Astro_up,4697,0.0174445003797726
GSM8226203_V10B01-086_A1,Micro_up,4697,0.002176608170180333
GSM8226203_V10B01-086_A1,Oligo_up,4697,-0.00560626479407147
GSM8226203_V10B01-086_B1,Astro_up,3977,0.06968997397760138
GSM8226203_V10B01-086_B1,Micro_up,3977,0.020712927298565408
GSM8226203_V10B01-086_B1,Oligo_up,3977,0.04220672404134929
GSM8226204_V11L05-335_A1,Astro_up,4669,-0.0608116660512968
GSM8226204_V11L05-335_A1,Micro_up,4669,0.0017992764227031325
GSM8226204_V11L05-335_A1,Oligo_up,4669,-0.07748199791438695
GSM8226204_V11L05-335_B1,Astro_up,4766,-0.02408582607721581
GSM8226204_V11L05-335_B1,Micro_up,4766,-0.011781547277167624
GSM8226204_V11L05-335_B1,Oligo_up,4766,-0.03434814710410572
GSM8226204_V11L05-335_C1,Astro_up,4965,-0.012489283694339756
GSM8226204_V11L05-335_C1,Micro_up,4965,0.00858461945234076
GSM8226204_V11L05-335_C1,Oligo_up,4965,-0.05775072366440279
GSM8226205_V11U08-084_A1,Astro_up,4873,-0.017152344355774514
GSM8226205_V11U08-084_A1,Micro_up,4873,0.021347439602168172
GSM8226205_V11U08-084_A1,Oligo_up,4873,-0.04135825797970307
GSM8226205_V11U08-084_B1,Astro_up,4600,0.01008550508719604
GSM8226205_V11U08-084_B1,Micro_up,4600,0.01942637585961348
GSM8226205_V11U08-084_B1,Oligo_up,4600,-0.0008869815986903832
GSM8226205_V11U08-084_C1,Astro_up,4990,0.04405381595456543
GSM8226205_V11U08-084_C1,Micro_up,4990,0.0589584377588022
GSM8226205_V11U08-084_C1,Oligo_up,4990,0.006471035085535576
GSM8226205_V11U08-084_D1,Astro_up,4296,0.001294685199902162
GSM8226205_V11U08-084_D1,Micro_up,4296,0.018141133568881782
GSM8226205_V11U08-084_D1,Oligo_up,4296,-0.0015567822315374084
GSM8226206_V11A20-297_A1,Astro_up,4469,0.01818747354805557
GSM8226206_V11A20-297_A1,Micro_up,4469,0.019184598988902502
GSM8226206_V11A20-297_A1,Oligo_up,4469,-0.10665791716776085
GSM8226206_V11A20-297_B1,Astro_up,4666,0.02078428454842502
GSM8226206_V11A20-297_B1,Micro_up,4666,0.03901897900829939
GSM8226206_V11A20-297_B1,Oligo_up,4666,0.009193656374700767
GSM8226206_V11A20-297_C1,Astro_up,3669,0.004411946985162623
GSM8226206_V11A20-297_C1,Micro_up,3669,0.0077449622166569435
GSM8226206_V11A20-297_C1,Oligo_up,3669,0.021909229393131925
GSM8226206_V11A20-297_D1,Astro_up,3528,0.05885530535602274
GSM8226206_V11A20-297_D1,Micro_up,3528,0.04908031607952921
GSM8226206_V11A20-297_D1,Oligo_up,3528,0.03365646039658306
GSM8226206_V11L05-335_D1,Astro_up,4518,0.026024804370871586
GSM8226206_V11L05-335_D1,Micro_up,4518,0.045748387003490314
GSM8226206_V11L05-335_D1,Oligo_up,4518,-0.0032774928911030866
GSM8226207_V11U08-081_A1,Astro_up,4625,-0.03204481343128158
GSM8226207_V11U08-081_A1,Micro_up,4625,-0.015759360251191904
GSM8226207_V11U08-081_A1,Oligo_up,4625,-0.10522717153620025
GSM8226207_V11U08-081_B1,Astro_up,3765,-0.12414104230166233
GSM8226207_V11U08-081_B1,Micro_up,3765,-0.015846798532641367
GSM8226207_V11U08-081_B1,Oligo_up,3765,-0.15625076348038225
GSM8226208_V11L05-336_A1,Astro_up,4681,-0.02030550853940162
GSM8226208_V11L05-336_A1,Micro_up,4681,0.03308842266058077
GSM8226208_V11L05-336_A1,Oligo_up,4681,-0.0691521469626906
GSM8226208_V11L05-336_B1,Astro_up,4477,0.02382125146621001
GSM8226208_V11L05-336_B1,Micro_up,4477,0.03769168299856589
GSM8226208_V11L05-336_B1,Oligo_up,4477,0.008620156559957855
GSM8226208_V11L05-336_C1,Astro_up,4463,-0.004961640542380514
GSM8226208_V11L05-336_C1,Micro_up,4463,0.06765472761480797
GSM8226208_V11L05-336_C1,Oligo_up,4463,-0.015177953563805935
GSM8226208_V11L05-336_D1,Astro_up,4686,-0.02849509507322929
GSM8226208_V11L05-336_D1,Micro_up,4686,0.030561149720893667
GSM8226208_V11L05-336_D1,Oligo_up,4686,-0.02666259551322415
