donor,gsm,src_celltype,target_class,size_bytes,name,url
M5276,GSM9034339,Astro1,Astro,594843881,GSM9034339_M5276_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034339/suppl/GSM9034339_M5276_Astro1.allc.tsv.gz
M5276,GSM9034339,Astro2,Astro,2976499697,GSM9034339_M5276_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034339/suppl/GSM9034339_M5276_Astro2.allc.tsv.gz
PB13414,GSM9034327,Astro1,Astro,2291593243,GSM9034327_PB13414_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034327/suppl/GSM9034327_PB13414_Astro1.allc.tsv.gz
PB13414,GSM9034327,Astro2,Astro,2884841863,GSM9034327_PB13414_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034327/suppl/GSM9034327_PB13414_Astro2.allc.tsv.gz
hc11,GSM9034317,Astro1,Astro,760234231,GSM9034317_hc11_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034317/suppl/GSM9034317_hc11_Astro1.allc.tsv.gz
hc11,GSM9034317,Astro2,Astro,1070955077,GSM9034317_hc11_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034317/suppl/GSM9034317_hc11_Astro2.allc.tsv.gz
hc1153,GSM9034319,Astro1,Astro,229925605,GSM9034319_hc1153_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034319/suppl/GSM9034319_hc1153_Astro1.allc.tsv.gz
hc1153,GSM9034319,Astro2,Astro,902288113,GSM9034319_hc1153_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034319/suppl/GSM9034319_hc1153_Astro2.allc.tsv.gz
hc12,GSM9034320,Astro1,Astro,1388908000,GSM9034320_hc12_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034320/suppl/GSM9034320_hc12_Astro1.allc.tsv.gz
hc12,GSM9034320,Astro2,Astro,820157118,GSM9034320_hc12_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034320/suppl/GSM9034320_hc12_Astro2.allc.tsv.gz
hc1271,GSM9034324,Astro1,Astro,507619154,GSM9034324_hc1271_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034324/suppl/GSM9034324_hc1271_Astro1.allc.tsv.gz
hc1271,GSM9034324,Astro2,Astro,2546536686,GSM9034324_hc1271_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034324/suppl/GSM9034324_hc1271_Astro2.allc.tsv.gz
hc19,GSM9034329,Astro1,Astro,19092652,GSM9034329_hc19_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034329/suppl/GSM9034329_hc19_Astro1.allc.tsv.gz
hc19,GSM9034329,Astro2,Astro,124957884,GSM9034329_hc19_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034329/suppl/GSM9034329_hc19_Astro2.allc.tsv.gz
hc26,GSM9034331,Astro1,Astro,91729698,GSM9034331_hc26_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034331/suppl/GSM9034331_hc26_Astro1.allc.tsv.gz
hc26,GSM9034331,Astro2,Astro,664752203,GSM9034331_hc26_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034331/suppl/GSM9034331_hc26_Astro2.allc.tsv.gz
hc29,GSM9034332,Astro1,Astro,2113820379,GSM9034332_hc29_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034332/suppl/GSM9034332_hc29_Astro1.allc.tsv.gz
hc29,GSM9034332,Astro2,Astro,142793665,GSM9034332_hc29_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034332/suppl/GSM9034332_hc29_Astro2.allc.tsv.gz
hc35,GSM9034333,Astro1,Astro,1690259521,GSM9034333_hc35_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034333/suppl/GSM9034333_hc35_Astro1.allc.tsv.gz
hc35,GSM9034333,Astro2,Astro,356493945,GSM9034333_hc35_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034333/suppl/GSM9034333_hc35_Astro2.allc.tsv.gz
hc40,GSM9034334,Astro1,Astro,269248309,GSM9034334_hc40_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034334/suppl/GSM9034334_hc40_Astro1.allc.tsv.gz
hc40,GSM9034334,Astro2,Astro,229719402,GSM9034334_hc40_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034334/suppl/GSM9034334_hc40_Astro2.allc.tsv.gz
hc73,GSM9034347,Astro1,Astro,1564482801,GSM9034347_hc73_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034347/suppl/GSM9034347_hc73_Astro1.allc.tsv.gz
hc73,GSM9034347,Astro2,Astro,56920345,GSM9034347_hc73_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034347/suppl/GSM9034347_hc73_Astro2.allc.tsv.gz
hc76,GSM9034349,Astro1,Astro,3963736434,GSM9034349_hc76_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034349/suppl/GSM9034349_hc76_Astro1.allc.tsv.gz
hc76,GSM9034349,Astro2,Astro,2100195744,GSM9034349_hc76_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034349/suppl/GSM9034349_hc76_Astro2.allc.tsv.gz
hc78,GSM9034350,Astro1,Astro,1679443336,GSM9034350_hc78_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034350/suppl/GSM9034350_hc78_Astro1.allc.tsv.gz
hc8,GSM9034351,Astro1,Astro,1920840934,GSM9034351_hc8_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034351/suppl/GSM9034351_hc8_Astro1.allc.tsv.gz
hc8,GSM9034351,Astro2,Astro,331297426,GSM9034351_hc8_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034351/suppl/GSM9034351_hc8_Astro2.allc.tsv.gz
hc81,GSM9034352,Astro1,Astro,1273167909,GSM9034352_hc81_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034352/suppl/GSM9034352_hc81_Astro1.allc.tsv.gz
hc81,GSM9034352,Astro2,Astro,1940164110,GSM9034352_hc81_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034352/suppl/GSM9034352_hc81_Astro2.allc.tsv.gz
hc9,GSM9034353,Astro1,Astro,638542268,GSM9034353_hc9_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034353/suppl/GSM9034353_hc9_Astro1.allc.tsv.gz
hc9,GSM9034353,Astro2,Astro,903458467,GSM9034353_hc9_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034353/suppl/GSM9034353_hc9_Astro2.allc.tsv.gz
hc98,GSM9034356,Astro1,Astro,580862456,GSM9034356_hc98_Astro1.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034356/suppl/GSM9034356_hc98_Astro1.allc.tsv.gz
hc98,GSM9034356,Astro2,Astro,161001330,GSM9034356_hc98_Astro2.allc.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9034nnn/GSM9034356/suppl/GSM9034356_hc98_Astro2.allc.tsv.gz
