celltype,region_class,set,n,obs_oriented,p_matched,p_signperm,p_agedyn,mag_ratio,frac_concordant
Astro,promoter,frozen_hit_linked,20,0.0128,0.0045,0.0095,0.3593,1.051,0.7
Astro,promoter,all_secretome_linked,1025,0.00039,0.2679,0.2019,0.2684,1.017,0.506
Astro,gene_body,frozen_hit_linked,26,0.00498,0.031,0.0355,0.6467,0.93,0.731
Astro,gene_body,all_secretome_linked,1196,-0.00064,0.7171,0.6567,0.0025,1.069,0.494
Astro,proximal_peak,frozen_hit_linked,72,0.01122,0.002,0.0015,0.8506,0.889,0.639
Astro,proximal_peak,all_secretome_linked,3247,0.00044,0.1714,0.3168,0.0405,1.028,0.496
Astro,regulatory,frozen_hit_linked,92,0.01156,0.001,0.0005,0.8306,0.912,0.652
Astro,regulatory,all_secretome_linked,4272,0.00043,0.1504,0.3053,0.0285,1.026,0.498
Micro,promoter,frozen_hit_linked,12,-0.00244,0.1959,0.3818,0.996,0.443,0.583
Micro,promoter,all_secretome_linked,770,0.00477,0.0105,0.0225,0.6632,0.984,0.543
Micro,gene_body,frozen_hit_linked,12,-0.00441,0.038,0.2254,0.9715,0.662,0.25
Micro,gene_body,all_secretome_linked,865,0.00671,0.0005,0.0005,0.2379,1.016,0.576
Micro,proximal_peak,frozen_hit_linked,42,0.00114,0.1329,0.2649,0.9335,0.795,0.405
Micro,proximal_peak,all_secretome_linked,3087,0.01088,0.009,0.002,0.1589,1.017,0.579
Micro,regulatory,frozen_hit_linked,54,0.00034,0.1064,0.2354,0.984,0.74,0.444
Micro,regulatory,all_secretome_linked,3857,0.00966,0.0025,0.0005,0.2259,1.012,0.572
OPC,promoter,frozen_hit_linked,4,,,,,,
OPC,promoter,all_secretome_linked,742,0.00132,0.0465,0.0925,0.0235,1.068,0.507
OPC,gene_body,frozen_hit_linked,6,0.00049,0.7186,0.7906,0.987,0.355,0.667
OPC,gene_body,all_secretome_linked,1013,-0.00088,0.3883,0.4233,0.6962,0.987,0.507
OPC,proximal_peak,frozen_hit_linked,9,-0.01359,0.9595,0.9435,0.1174,1.395,0.444
OPC,proximal_peak,all_secretome_linked,1410,0.0013,0.0785,0.077,0.0255,1.054,0.519
OPC,regulatory,frozen_hit_linked,13,-0.00285,0.7801,0.8591,0.1359,1.312,0.538
OPC,regulatory,all_secretome_linked,2152,0.00131,0.022,0.0235,0.003,1.058,0.515
Oligo,promoter,frozen_hit_linked,5,-0.00847,0.7736,0.8046,0.6402,0.812,0.4
Oligo,promoter,all_secretome_linked,1141,-0.00036,0.096,0.0935,0.8336,0.974,0.521
Oligo,gene_body,frozen_hit_linked,5,-0.00261,0.7106,0.7046,0.1154,1.317,0.4
Oligo,gene_body,all_secretome_linked,1159,-0.00044,0.0105,0.0845,0.2229,1.019,0.5
Oligo,proximal_peak,frozen_hit_linked,69,0.00552,0.2639,0.3913,0.8261,0.905,0.551
Oligo,proximal_peak,all_secretome_linked,12398,0.00246,0.0005,0.0005,0.0005,1.028,0.527
Oligo,regulatory,frozen_hit_linked,74,0.00458,0.2954,0.4408,0.8376,0.903,0.541
Oligo,regulatory,all_secretome_linked,13539,0.00223,0.0005,0.0005,0.0015,1.025,0.526
