receptor,compartment,in_table,detectable,baseMean,log2FoldChange,padj
ACKR1,Astro,True,False,2.601005710259809,0.9886608169838812,
APP,Astro,True,True,396.0452887258299,0.2893160625076592,0.6891109516394104
CCR2,Astro,False,False,0.0,,
CD44,Astro,True,True,711.639268273434,0.5044252915094543,0.8883825011018283
CD47,Astro,True,True,380.8827712024512,-0.3222613713877023,0.5294164652885684
CD93,Astro,True,False,1.5339112962003003,-0.3127305763474832,
CNTN1,Astro,True,True,2699.190918267251,0.3235750078196467,0.5068017189488992
CXCR1,Astro,False,False,0.0,,
CXCR2,Astro,False,False,0.0,,
DDR1,Astro,True,True,98.7420069761167,0.4792641424496374,0.531423404336117
DDR2,Astro,True,True,251.81568313729093,0.0603653676036202,0.9523716249719244
DPP4,Astro,False,False,0.0,,
DYSF,Astro,True,True,6.10605120211659,0.5033261724254329,0.7982865554227552
EGFR,Astro,True,True,498.3476231509353,-0.2057521376380091,0.8000824940843302
EPOR,Astro,True,True,19.49388500327351,0.3177640380572518,0.8031038274197851
ERBB4,Astro,True,True,9982.957329545528,0.0780124888881046,0.9451088372278632
F12,Astro,True,False,1.9988118493036269,0.7759565715546228,
FGFR2,Astro,True,True,577.0333162966756,-0.3842822623331359,0.5328954030302312
FPR1,Astro,True,True,4.101042664555274,-0.3600937789093382,0.9122199065345664
FPR2,Astro,False,False,0.0,,
FPR3,Astro,True,False,2.782753001533096,1.287464834372802,
HAVCR2,Astro,True,True,44.2991682063764,0.2137330791958268,0.7784972488378947
IGF2R,Astro,True,True,155.7859547135942,0.0454367329020457,0.9503626156535914
IL15RA,Astro,True,True,4.444078450971968,0.4960143671849968,0.8173787270925514
IL2RA,Astro,False,False,0.0,,
IL2RB,Astro,False,False,0.0,,
IL2RG,Astro,False,False,0.0,,
ITGA1,Astro,True,True,12.19244273335066,0.6113249059328343,0.7007454548481753
ITGA10,Astro,True,True,5.174295507103583,0.314167000516002,0.9070282840463616
ITGA11,Astro,True,True,5.28176626371866,1.3603560589529224,0.1615162897669669
