compartment,family,n_in_table,n_detectable,n_universe,frac_detectable,median_baseMean_detectable,n_genes_in_table,global_detectable_frac
Astro,confirmatory,64,54,76,0.7105,61.126526678651125,23366,0.7084
Micro,confirmatory,63,60,76,0.7895,20.727655525973795,17628,0.8633
Oligo,confirmatory,62,55,76,0.7237,35.79493223207126,22844,0.8054
OPC,confirmatory,61,47,76,0.6184,28.315974831218245,20577,0.7664
Endo,confirmatory,58,52,76,0.6842,17.9802832356335,15128,0.7657
DG_GC,confirmatory,63,63,76,0.8289,29.828385748694288,24833,0.997
CA_ExN,confirmatory,67,45,76,0.5921,123.580484113273,25895,0.5702
InN,confirmatory,64,64,76,0.8421,25.67985753539377,23179,0.998
NSC,neurogenic,40,22,76,0.2895,9.336940461422689,10607,0.3406
Neuroblast,neurogenic,43,43,76,0.5658,4.5760093913082605,13728,0.9992
Immature,neurogenic,48,45,76,0.5921,12.080768835605516,16346,0.9957
