"receptor","n_ligands_connecting"
"ITGB1",5
"ITGA1",4
"ITGA10",4
"ITGA11",4
"ITGA2",4
"EGFR",3
"ITGAV",3
"LRP1",3
"APP",2
"DDR1",2
"DPP4",2
"ITGA5",2
"ITGB3",2
"ITGB5",2
"LRP2",2
"LRP5",2
"LRP6",2
"LRP8",2
"VLDLR",2
"ACKR1",1
"CCR2",1
"CD44",1
"CD47",1
"CD93",1
"CNTN1",1
"CXCR1",1
"CXCR2",1
"DDR2",1
"DYSF",1
"EPOR",1
"ERBB4",1
"F12",1
"FGFR2",1
"FPR1",1
"FPR2",1
"FPR3",1
"HAVCR2",1
"IGF2R",1
"IL15RA",1
"IL2RA",1
"IL2RB",1
"IL2RG",1
"ITGA7",1
"ITGA8",1
"ITGA9",1
"ITGAM",1
"ITGB2",1
"ITGB6",1
"KIT",1
"KREMEN1",1
"KREMEN2",1
"LDLR",1
"LEPR",1
"LRRN3",1
"MRC2",1
"NPR2",1
"NRP1",1
"NRP2",1
"NTRK1",1
"PLAT",1
"PLAU",1
"PLAUR",1
"PLXNA1",1
"PLXNA2",1
"PLXNA3",1
"PLXNA4",1
"PLXND1",1
"PTPRB",1
"PTPRC",1
"PTPRZ1",1
"SCARB1",1
"SDC1",1
"SLC1A5",1
"SORL1",1
"TREM2",1
"XCR1",1
