"ligand","receptor"
"ANXA1","DYSF"
"ANXA1","EGFR"
"ANXA1","FPR1"
"ANXA1","FPR2"
"ANXA1","FPR3"
"APOC1","VLDLR"
"APOD","LEPR"
"APOE","APP"
"APOE","LDLR"
"APOE","LRP1"
"APOE","LRP2"
"APOE","LRP5"
"APOE","LRP8"
"APOE","SCARB1"
"APOE","SORL1"
"APOE","TREM2"
"APOE","VLDLR"
"AZGP1","ITGAV"
"CCN2","ERBB4"
"CCN2","FGFR2"
"CCN2","IGF2R"
"CCN2","ITGA5"
"CCN2","ITGAM"
"CCN2","ITGB2"
"CCN2","LRP1"
"CCN2","LRP6"
"CCN2","NTRK1"
"COL12A1","ITGA1"
"COL12A1","ITGA10"
"COL12A1","ITGA11"
"COL12A1","ITGA2"
"COL12A1","ITGB1"
"COL21A1","ITGA1"
"COL21A1","ITGA10"
"COL21A1","ITGA11"
"COL21A1","ITGA2"
"COL21A1","ITGB1"
"COL4A2","CD93"
"COL4A2","DDR1"
"COL4A2","DDR2"
"COL4A2","ITGA1"
"COL4A2","ITGA10"
"COL4A2","ITGA11"
"COL4A2","ITGA2"
"COL4A2","ITGB1"
"COL4A2","ITGB3"
"COL4A2","ITGB5"
"COL8A1","DDR1"
"COL8A1","ITGA1"
"COL8A1","ITGA10"
"COL8A1","ITGA11"
"COL8A1","ITGA2"
"COL8A1","ITGB1"
"CXCL2","ACKR1"
"CXCL2","CXCR1"
"CXCL2","CXCR2"
"CXCL2","DPP4"
"CXCL2","XCR1"
"CYTL1","CCR2"
"DKK2","KREMEN1"
"DKK2","KREMEN2"
"DKK2","LRP5"
"DKK2","LRP6"
"EFEMP1","EGFR"
"FAP","DPP4"
"FAP","NPR2"
"IL15","IL15RA"
"IL15","IL2RA"
"IL15","IL2RB"
"IL15","IL2RG"
"KITLG","EPOR"
"KITLG","KIT"
"KITLG","LRRN3"
"LGALS9","CD44"
"LGALS9","CD47"
"LGALS9","HAVCR2"
"LGALS9","MRC2"
"LGALS9","PTPRC"
"LGALS9","SLC1A5"
"SEMA3D","NRP1"
"SEMA3D","NRP2"
"SEMA3D","PLXNA1"
"SEMA3D","PLXNA2"
"SEMA3D","PLXNA3"
"SEMA3D","PLXNA4"
"SEMA3D","PLXND1"
"SERPINE1","F12"
"SERPINE1","ITGAV"
"SERPINE1","ITGB5"
"SERPINE1","LRP1"
"SERPINE1","LRP2"
"SERPINE1","PLAT"
"SERPINE1","PLAU"
"SERPINE1","PLAUR"
"SPON1","APP"
"SPON1","LRP8"
"TNC","CNTN1"
"TNC","EGFR"
"TNC","ITGA5"
"TNC","ITGA7"
"TNC","ITGA8"
"TNC","ITGA9"
"TNC","ITGAV"
"TNC","ITGB1"
"TNC","ITGB3"
"TNC","ITGB6"
"TNC","PTPRB"
"TNC","PTPRZ1"
"TNC","SDC1"
