tf,group,rel,cpm,celltype
NFKB1,YA,139,93.134094422285,Astro
NFKB1,YA,176,86.4215516576744,Astro
TEAD1,YA,32,50.7794456446078,Astro
TEAD4,YA,32,50.1838963544219,Astro
CEBPB,YA,-59,12.0886026362742,Astro
TEAD1,YA,117,51.458431424825,Astro
TEAD4,YA,117,49.0015720185074,Astro
CEBPB,YA,26,14.7265455032673,Astro
TEAD1,YA,134,49.5732896617128,Astro
TEAD4,YA,134,48.6823667179069,Astro
CEBPB,YA,43,12.7389008052015,Astro
TEAD1,YA,174,46.8313688282206,Astro
TEAD4,YA,174,46.0040734548418,Astro
CEBPB,YA,83,11.6697260708381,Astro
CEBPB,YA,138,10.7398532187911,Astro
CEBPB,YA,180,12.5088841361025,Astro
CEBPB,YA,200,11.0957024011413,Astro
CEBPB,YA,-34,13.6966547907075,Astro
CEBPB,YA,113,13.7289996950009,Astro
CEBPB,YA,127,9.76939704969202,Astro
CEBPB,YA,132,12.3528934526685,Astro
IRF1,YA,-106,334.852442634808,Astro
IRF1,YA,-86,348.365961425382,Astro
IRF1,YA,-25,408.047606136972,Astro
IRF1,YA,12,191.035802591895,Astro
IRF1,YA,42,423.68831250106,Astro
IRF1,YA,83,368.753835479649,Astro
IRF1,YA,92,373.016730643186,Astro
IRF1,YA,-133,356.068258317972,Astro
IRF1,YA,-40,401.696151020662,Astro
IRF1,YA,67,370.074225438042,Astro
TEAD4,YA,-85,44.9646937124076,Astro
TEAD4,YA,-24,52.0989699275492,Astro
STAT3,YA,-43,107.482959981612,Astro
STAT3,YA,108,105.372086272125,Astro
STAT3,YA,116,107.692097839493,Astro
STAT3,YA,141,105.665883293377,Astro
NFKB1,YA,-193,83.1144418472576,Astro
NFKB1,YA,-171,80.5819351823006,Astro
NFKB1,YA,-158,83.1880419860219,Astro
NFKB1,YA,-149,87.4881145706745,Astro
NFKB1,YA,-125,85.5809885094791,Astro
NFKB1,YA,-114,81.795720396065,Astro
NFKB1,YA,-110,79.4737686797511,Astro
NFKB1,YA,-94,83.6958441963751,Astro
NFKB1,YA,-71,86.8833228301926,Astro
NFKB1,YA,-41,95.8878178369946,Astro
NFKB1,YA,-36,73.8324170081993,Astro
NFKB1,YA,-7,180.290604370272,Astro
NFKB1,YA,26,80.6872097867828,Astro
NFKB1,YA,28,76.6175388420844,Astro
NFKB1,YA,55,85.8770938095089,Astro
NFKB1,YA,68,80.6927083451137,Astro
NFKB1,YA,82,81.828916295949,Astro
NFKB1,YA,112,87.0827488359116,Astro
NFKB1,YA,125,90.3372209583355,Astro
NFKB1,YA,135,86.1753489647883,Astro
NFKB1,YA,144,93.0664476036694,Astro
NFKB1,YA,170,91.586180691823,Astro
NFKB1,YA,-61,87.3373227540895,Astro
NFKB1,YA,-55,85.9333162827294,Astro
NFKB1,YA,-33,80.8270965630329,Astro
NFKB1,YA,-12,121.080657331531,Astro
NFKB1,YA,22,77.9782911890558,Astro
NFKB1,YA,86,89.7889642803409,Astro
NFKB1,YA,113,86.6302242989249,Astro
NFKB1,YA,138,93.0406185811272,Astro
NFKB1,YA,160,87.3650148797121,Astro
NFKB1,YA,-195,85.8507370147362,Astro
NFKB1,YA,-166,83.4218431136539,Astro
