tf,donor,group,center_n,flank_n,win_n,dtot,n,fp_depth,access,celltype
CEBPB,2,YA,2483,17796,35223,6066396,8594,0.1357648709638,0.67561648347444,Astro
CEBPB,7,YA,2594,16573,33173,6920238,8594,-0.0280917338308584,0.557786974615644,Astro
CEBPB,11,HA,17372,118835,234999,52890810,8594,0.0699869702233054,0.516999885314901,Astro
CEBPB,14,HA,5136,35503,70460,14886814,8594,0.0847121569946128,0.550738614003342,Astro
CEBPB,15,HA,5396,33589,67473,13376620,8594,-0.065602940370762,0.586932665990251,Astro
CEBPB,16,HA,8437,58685,116317,23475144,8594,0.09384083043171,0.576553453938292,Astro
CEBPB,28,HA,5822,37766,75609,17105470,8594,-0.00647935050115426,0.514331511699219,Astro
CEBPB,29,YA,7344,48906,96948,20637002,8594,0.0312279408814237,0.546634324439678,Astro
CEBPB,30,YA,3526,23204,46063,7043912,8594,0.0141303523189485,0.760926919216037,Astro
CEBPB,32,HA,3762,24892,49356,11389024,8594,0.0219160065001141,0.504264155123861,Astro
CEBPB,35,HA,6784,47008,93130,20312306,8594,0.0882917484338642,0.533500736308386,Astro
CEBPB,37,HA,4765,32541,63962,12730220,8594,0.067267775162132,0.584643030213955,Astro
CEBPB,39,YA,483,3409,6690,1625356,8594,0.108542983389842,0.478941278988835,Astro
CEBPB,43,YA,5067,33737,66716,18331000,8594,0.030925606196855,0.423495200931512,Astro
CEBPB,44,HA,3960,25760,51759,10532398,8594,-0.00243582973314395,0.571825167356089,Astro
CEBPB,45,YA,5927,40176,79404,21467798,8594,0.0566542519139439,0.430387382872426,Astro
CEBPB,47,YA,4393,29270,58712,18296070,8594,0.0319065034917089,0.373399482870641,Astro
IRF1,2,YA,27976,534156,1003648,6066396,326008,1.54993208456123,0.507484064373103,Astro
IRF1,7,YA,28862,549353,1038819,6920238,326008,1.54545678855456,0.460458607606796,Astro
IRF1,11,HA,203074,3638408,6829953,52890810,326008,1.45907459240874,0.396104010446461,Astro
IRF1,14,HA,64694,1180282,2213273,14886814,326008,1.48489644503726,0.456042130976797,Astro
IRF1,15,HA,57018,1070993,2016310,13376620,326008,1.52686055111981,0.462362556803097,Astro
IRF1,16,HA,96788,1875150,3520835,23475144,326008,1.57171223622138,0.460054359417664,Astro
IRF1,28,HA,63396,1226220,2299639,17105470,326008,1.56919939281737,0.412378862392088,Astro
IRF1,29,YA,81038,1625969,3036510,20637002,326008,1.62216964209686,0.451335871507033,Astro
IRF1,30,YA,36204,696204,1310497,7043912,326008,1.56045766101786,0.570681576047247,Astro
IRF1,32,HA,41841,818321,1531664,11389024,326008,1.58495004914875,0.41252354319164,Astro
IRF1,35,HA,78733,1492244,2809597,20312306,326008,1.53998337012119,0.424283890580333,Astro
IRF1,37,HA,53485,1024530,1921529,12730220,326008,1.55511737863832,0.463001903762114,Astro
IRF1,39,YA,5532,109695,205011,1625356,326008,1.60012991553766,0.386901494929259,Astro
IRF1,43,YA,56369,1141617,2121389,18331000,326008,1.63547982904326,0.354981645067997,Astro
IRF1,44,HA,43905,869659,1630321,10532398,326008,1.60329427491822,0.474807535951284,Astro
IRF1,45,YA,66171,1342025,2492160,21467798,326008,1.63759489860279,0.356090316398963,Astro
IRF1,47,YA,49486,989657,1837232,18296070,326008,1.61721204717778,0.3080193006514,Astro
NFKB1,2,YA,20009,129662,255427,6066396,28431,-0.00796803374388256,1.48096198478389,Astro
