contrast,celltype,family,motif_gene,named_gene_expressed,dz,dz_sign,n_expressed_paralogs,n_paralogs_motif_direction,paralogs_in_direction
ADvHA,Endo,homeobox-other,BARHL2,False,0.152371132809267,1,24,12,LHX2(+0.55);LHX6(+0.11);MEIS2(+0.65);NKX6-1(+0.33);PBX3(+0.17);PKNOX1(+0.85);PKNOX2(+0.46);POU2F1(+0.03);POU3F2(+0.10);POU3F3(+0.04);POU6F1(+0.38);POU6F2(+0.49)
ADvHA,Micro,E2F-DP,E2F3,True,0.0161015236054437,1,5,3,E2F3(+0.46);E2F4(+0.04);E2F6(+0.68)
ADvHA,Endo,EGR-WT1,EGR3,False,0.130340108439765,1,1,0,
ADvHA,Astro,ETS,EHF,True,0.161156871870539,1,21,13,EHF(+0.63);ELF1(+0.26);ELF2(+0.33);ELF4(+1.02);ELK3(+0.38);ELK4(+0.33);ETV1(+0.13);ETV3(+0.43);ETV4(+0.74);ETV6(+0.44);FLI1(+0.02);GABPA(+0.11);SPDEF(+0.42)
ADvHA,Astro,ETS,ELF1,True,0.258575772507588,1,21,13,EHF(+0.63);ELF1(+0.26);ELF2(+0.33);ELF4(+1.02);ELK3(+0.38);ELK4(+0.33);ETV1(+0.13);ETV3(+0.43);ETV4(+0.74);ETV6(+0.44);FLI1(+0.02);GABPA(+0.11);SPDEF(+0.42)
ADvHA,Astro,ETS,ELF3,True,0.22803020568637,1,21,13,EHF(+0.63);ELF1(+0.26);ELF2(+0.33);ELF4(+1.02);ELK3(+0.38);ELK4(+0.33);ETV1(+0.13);ETV3(+0.43);ETV4(+0.74);ETV6(+0.44);FLI1(+0.02);GABPA(+0.11);SPDEF(+0.42)
ADvHA,Astro,ETS,ELF5,False,-0.088768320898328,-1,21,8,ELF3(-0.03);ELK1(-0.33);ERG(-0.63);ETS1(-0.15);ETS2(-0.96);ETV5(-0.19);SPI1(-0.32);SPIB(-0.38)
ADvHA,Oligo,ETS,ELK1,True,-0.287220233671244,-1,20,9,EHF(-0.44);ELK1(-0.42);ERG(-0.07);ETS1(-0.44);ETS2(-1.15);ETV1(-0.58);ETV2(-0.18);ETV4(-0.32);SPI1(-0.51)
ADvHA,Oligo,ETS,ELK3,True,-0.286405895797532,-1,20,9,EHF(-0.44);ELK1(-0.42);ERG(-0.07);ETS1(-0.44);ETS2(-1.15);ETV1(-0.58);ETV2(-0.18);ETV4(-0.32);SPI1(-0.51)
ADvHA,Astro,ETS,ETV1,True,0.260242711386343,1,21,13,EHF(+0.63);ELF1(+0.26);ELF2(+0.33);ELF4(+1.02);ELK3(+0.38);ELK4(+0.33);ETV1(+0.13);ETV3(+0.43);ETV4(+0.74);ETV6(+0.44);FLI1(+0.02);GABPA(+0.11);SPDEF(+0.42)
ADvHA,Astro,ETS,ETV2,False,-0.108609463954152,-1,21,8,ELF3(-0.03);ELK1(-0.33);ERG(-0.63);ETS1(-0.15);ETS2(-0.96);ETV5(-0.19);SPI1(-0.32);SPIB(-0.38)
ADvHA,Oligo,ETS,ETV3,True,-0.266362808724687,-1,20,9,EHF(-0.44);ELK1(-0.42);ERG(-0.07);ETS1(-0.44);ETS2(-1.15);ETV1(-0.58);ETV2(-0.18);ETV4(-0.32);SPI1(-0.51)
