gene,celltype_268609,family,lfc_268609,q_268609,status,celltype_278576,lfc_278576,se_278576,p_278576,q_278576,baseMean_278576,direction_agree
BARHL2,Endo,homeobox-other,,,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
E2F3,Micro,E2F-DP,-0.0341546720938827,0.9867038242810588,TESTABLE,Micro,0.3610387059289145,0.1955140707191957,0.0648033368140327,0.3530320329986021,116.3945348608748,False
EGR3,Endo,EGR-WT1,-0.2632811556088636,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
EHF,Astro,ETS,-0.8859735371197087,,TESTABLE,Astro,0.6894123511862636,0.5986575322567497,0.249486623403241,,0.6755492764973592,False
ELF1,Astro,ETS,0.311939004267259,0.3340654805686593,TESTABLE,Astro,0.2539171443372408,0.1333024916973628,0.0568035784250189,0.2705103816148525,108.09477180572964,True
ELF3,Astro,ETS,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
ELF5,Astro,ETS,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
ELK1,Oligo,ETS,-0.2349068097855754,0.9362656278786242,TESTABLE,Oligo,0.2073313523556041,0.166664718610895,0.2134985859815282,0.7490690534039781,50.10611497849606,False
ELK3,Oligo,ETS,0.3107076316850308,0.7878536332391539,TESTABLE,Oligo,0.4889208091277321,0.2372652783492078,0.0393363973707822,0.4096196532515529,136.65840212161683,True
ETV1,Astro,ETS,-0.4179866471557918,0.5636436435516762,TESTABLE,Astro,-0.5061103372292906,0.2984039978344431,0.0898749920824437,0.3388113530025844,75.50286337739495,True
ETV2,Astro,ETS,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
ETV3,Oligo,ETS,-0.3226166334653848,0.8506813841715811,TESTABLE,Oligo,0.1891765901733041,0.1944919723554893,0.3307171267259118,0.8360241944379186,67.7276941178156,False
ETV4,Astro,ETS,0.1280965079705243,0.9311155267525332,TESTABLE,Astro,-0.5362694788535366,0.2815672418790039,0.0568336990654899,0.2705103816148525,4.532153763335542,False
ETV6,Astro,ETS,-0.4513709720794029,0.6046598241863457,TESTABLE,Astro,0.0006397855440259,0.2787469441660969,0.9981686810553898,0.9991646567384308,176.18079620036815,False
FEV,Oligo,ETS,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
GABPA,Astro,ETS,-0.1333632880726491,0.7737933352653833,TESTABLE,Astro,0.3561773106399787,0.1464232882164987,0.0149942387389655,0.1446323139672657,39.160584115396176,False
HOXD9,Micro,HOX,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
MYF5,OPC,bHLH-neural,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
NR2C1,Endo,NR,0.2312630397137896,0.9965449463526324,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
RFX1,Astro,RFX,0.2863456826423443,0.7092875741606882,TESTABLE,Astro,-0.1392243559821097,0.2612212032051805,0.5940509254023693,0.807098010258851,15.585373353339248,False
SMAD5,Endo,SMAD,-0.1334616603852731,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
SOX8,Endo,SOX,0.5534637410525893,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
SOX9,Endo,SOX,0.3332943014489718,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
SPIB,Astro,ETS,0.3143629362217333,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
TCF7L1,Endo,TCF-LEF,0.0583374345915871,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
TCF7L2,Endo,TCF-LEF,0.0532416573375978,0.9982206668978284,NOT_TESTABLE_CELLTYPE_MISMATCH,,,,,,,
TP63,Micro,TP53fam,-0.2818105256657907,,TESTABLE,Micro,1.106357755028322,0.8041433386702944,0.1688768800279082,,1.1858208141104536,False
TP73,Micro,TP53fam,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
TWIST1,OPC,TWIST,,,NOT_TESTABLE_LOW_EXPRESSION,,,,,,,
ZBTB18,OPC,ZBTB,-0.0180392935583901,0.9973477392005758,TESTABLE,OPC,0.1222318925401687,0.1680768802195636,0.4670801775319857,0.8843901443980032,32.06527002115122,False
ZNF143,Astro,ZNF-KRAB,-0.3606322232149965,0.2651149919743504,TESTABLE,Astro,0.1674293051583676,0.226895755382438,0.4605673785944097,0.7225198464740858,26.68164642867442,False
