contrast,celltype,family,motif_gene,named_gene_expressed,dz,dz_sign,n_expressed_paralogs,n_paralogs_motif_direction,paralogs_in_direction
HAvYA,Endo,homeobox-other,BARHL2,False,-0.295016784201443,-1,24,11,EMX2(-0.10);LHX6(-0.17);MEIS3(-0.89);NKX6-2(-1.24);PKNOX1(-0.06);POU2F1(-0.11);POU3F1(-0.78);POU3F3(-1.01);POU6F1(-0.24);POU6F2(-0.11);SIX1(-0.26)
HAvYA,Micro,E2F-DP,E2F3,True,0.174460151974223,1,5,2,E2F1(+1.14);TFDP1(+0.21)
HAvYA,Endo,EGR-WT1,EGR3,True,-0.364930836939263,-1,2,2,EGR1(-0.77);EGR3(-0.26)
HAvYA,Astro,ETS,EHF,True,-0.262498130160386,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Astro,ETS,ELF1,True,-0.237992868693513,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Astro,ETS,ELF3,False,-0.218452587060502,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Astro,ETS,ELF5,False,-0.183788200876887,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Oligo,ETS,ELK1,True,-0.272270368820611,-1,18,7,ELF1(-0.02);ELK1(-0.23);ETV1(-0.78);ETV3(-0.32);ETV5(-0.25);ETV6(-0.33);FLI1(-0.02)
HAvYA,Oligo,ETS,ELK3,True,-0.239616826538138,-1,18,7,ELF1(-0.02);ELK1(-0.23);ETV1(-0.78);ETV3(-0.32);ETV5(-0.25);ETV6(-0.33);FLI1(-0.02)
HAvYA,Astro,ETS,ETV1,True,-0.250983554001179,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Astro,ETS,ETV2,False,-0.184900871980696,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Oligo,ETS,ETV3,True,-0.22358464919127,-1,18,7,ELF1(-0.02);ELK1(-0.23);ETV1(-0.78);ETV3(-0.32);ETV5(-0.25);ETV6(-0.33);FLI1(-0.02)
HAvYA,Astro,ETS,ETV4,True,-0.226777908850338,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Astro,ETS,ETV6,True,-0.222962158488001,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Oligo,ETS,FEV,False,-0.219061938546728,-1,18,7,ELF1(-0.02);ELK1(-0.23);ETV1(-0.78);ETV3(-0.32);ETV5(-0.25);ETV6(-0.33);FLI1(-0.02)
HAvYA,Astro,ETS,GABPA,True,-0.25979967510354,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Micro,HOX,HOXD9,False,0.249072251362974,1,1,1,HOXC4(+0.04)
HAvYA,OPC,bHLH-neural,MYF5,False,-0.447475769414756,-1,17,9,BHLHE22(-1.32);HES5(-0.22);HEY1(-0.15);HEY2(-0.03);MSC(-0.01);NEUROD1(-0.69);NEUROD2(-0.73);TCF12(-0.07);TCF4(-0.17)
HAvYA,Endo,NR,NR2C1,True,-0.196265384444158,-1,28,10,NR1D1(-0.63);NR1D2(-0.11);NR2C2(-0.16);NR3C1(-0.31);NR6A1(-0.08);PPARD(-0.58);RARA(-0.90);RARG(-0.25);RORB(-0.27);RXRB(-0.27)
HAvYA,Astro,RFX,RFX1,True,0.367045544583244,1,6,4,RFX1(+0.29);RFX2(+0.42);RFX3(+0.11);RFX4(+0.27)
HAvYA,Endo,SMAD,SMAD5,True,-0.203309841043317,-1,4,3,SMAD3(-0.76);SMAD4(-0.11);SMAD5(-0.13)
HAvYA,Endo,SOX,SOX8,True,-0.258957323186905,-1,9,3,SOX13(-0.47);SOX18(-0.75);SOX4(-0.99)
HAvYA,Endo,SOX,SOX9,True,-0.324515537837425,-1,9,3,SOX13(-0.47);SOX18(-0.75);SOX4(-0.99)
HAvYA,Astro,ETS,SPIB,True,-0.239061070951833,-1,20,13,EHF(-0.89);ELF2(-0.12);ELF4(-0.17);ELK1(-0.21);ELK3(-0.33);ELK4(-0.09);ETV1(-0.42);ETV3(-0.51);ETV5(-0.54);ETV6(-0.45);GABPA(-0.13);SPDEF(-1.21);SPI1(-0.24)
HAvYA,Endo,TCF-LEF,TCF7L1,True,-0.380803820040571,-1,4,1,LEF1(-0.59)
HAvYA,Endo,TCF-LEF,TCF7L2,True,-0.392759443732729,-1,4,1,LEF1(-0.59)
HAvYA,Micro,TP53fam,TP63,True,0.163141909359496,1,2,1,TP53(+0.37)
HAvYA,Micro,TP53fam,TP73,False,0.21489533346814,1,2,1,TP53(+0.37)
HAvYA,OPC,TWIST,TWIST1,False,-0.269388578055395,-1,0,0,
HAvYA,OPC,ZBTB,ZBTB18,True,-0.342480235754305,-1,9,5,ZBTB14(-0.21);ZBTB18(-0.02);ZBTB33(-0.05);ZBTB6(-0.38);ZBTB7C(-0.02)
HAvYA,Astro,ZNF-KRAB,ZNF143,True,-0.204147568974897,-1,27,19,ZKSCAN5(-0.13);ZNF136(-0.18);ZNF143(-0.36);ZNF148(-0.12);ZNF16(-0.11);ZNF24(-0.12);ZNF274(-0.19);ZNF317(-0.19);ZNF341(-0.06);ZNF354C(-0.13);ZNF382(-0.25);ZNF460(-0.38);ZNF528(-0.15);ZNF652(-0.03);ZNF682(-0.03);ZNF684(-0.10);ZNF740(-0.05);ZNF75D(-0.18);ZSCAN29(-0.14)
