gene,celltype,motif,family,is_foreground,dz,cv_p,cv_padj,rna_lfc,rna_se,rna_ci_lo,rna_ci_hi,rna_p,rna_q,rna_baseMean,testable,cv_sign,rna_sign,concordant,category
BARHL2,Endo,BARHL2,homeobox-other,True,-0.295016784201443,0.0272744841221466,0.985520413099923,,,,,,,,False,-1.0,,,D_not_testable
E2F3,Micro,E2F3,E2F-DP,True,0.174460151974223,0.03340940422759,0.989669368953255,-0.0341546720938827,0.3320975032977102,-0.6850657785573947,0.6167564343696293,0.9180857403349508,0.9867038242810588,90.59668813229334,True,1.0,-1.0,0.0,C_discordant
EGR3,Endo,EGR3,EGR-WT1,True,-0.364930836939263,0.0313540266412444,0.985520413099923,-0.2632811556088636,0.9311902165628904,-2.0884139800721284,1.5618516688544013,0.7773790871862498,0.9982206668978284,4.671272139057496,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
EHF,Astro,EHF,ETS,True,-0.262498130160386,0.0039473499119027,0.5172314842459,-0.8859735371197087,0.6457639835880924,-2.15167094495237,0.3797238707129523,0.1700704994861814,,1.713176615385053,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ELF1,Astro,ELF1,ETS,True,-0.237992868693513,0.0054760704395554,0.5172314842459,0.311939004267259,0.1352322388643361,0.046883816093160224,0.5769941924413577,0.0210720457568893,0.3340654805686593,213.74232281483435,True,-1.0,1.0,0.0,C_discordant
ELF3,Astro,ELF3,ETS,True,-0.218452587060502,0.0026901656671146,0.5172314842459,,,,,,,,False,-1.0,,,D_not_testable
ELF5,Astro,ELF5,ETS,True,-0.183788200876887,0.0421814938434398,0.979336604887158,,,,,,,,False,-1.0,,,D_not_testable
ELK1,Oligo,ELK1,ETS,True,-0.272270368820611,0.0149751631899015,0.998263694715803,-0.2349068097855754,0.4020332352432571,-1.0228919508623593,0.5530783312912085,0.5590205160055444,0.9362656278786242,20.80503505917208,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ELK3,Oligo,ELK3,ETS,True,-0.239616826538138,0.0275501810302818,0.998263694715803,0.3107076316850308,0.2054152303849434,-0.09190621986945824,0.7133214832395198,0.1303855578129657,0.7878536332391539,25.96914920432399,True,-1.0,1.0,0.0,C_discordant
ETV1,Astro,ETV1,ETS,True,-0.250983554001179,0.0013067251531785,0.5172314842459,-0.4179866471557918,0.2514765637757748,-0.9108807121563105,0.07490741784472682,0.0964867863426549,0.5636436435516762,222.41480080800565,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ETV2,Astro,ETV2,ETS,True,-0.184900871980696,0.0257701611256793,0.979336604887158,,,,,,,,False,-1.0,,,D_not_testable
ETV3,Oligo,ETV3,ETS,True,-0.22358464919127,0.0388339880030259,0.998263694715803,-0.3226166334653848,0.2621307725130054,-0.8363929475908753,0.19115968066010575,0.2184175441845866,0.8506813841715811,14.668007594573046,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
ETV4,Astro,ETV4,ETS,True,-0.226777908850338,0.0057197794466371,0.5172314842459,0.1280965079705243,0.3227640452596064,-0.5045210207383042,0.7607140366793528,0.6914607201208082,0.9311155267525332,7.166338563121226,True,-1.0,1.0,0.0,C_discordant
ETV6,Astro,ETV6,ETS,True,-0.222962158488001,0.0260701025377356,0.979336604887158,-0.4513709720794029,0.2929653358783561,-1.025583030400981,0.12284108624217505,0.1233904159914375,0.6046598241863457,494.0246992527518,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
FEV,Oligo,FEV,ETS,True,-0.219061938546728,0.0273941676315095,0.998263694715803,,,,,,,,False,-1.0,,,D_not_testable
GABPA,Astro,GABPA,ETS,True,-0.25979967510354,0.0036640095967511,0.5172314842459,-0.1333632880726491,0.1337890095189794,-0.3955897467298487,0.12886317058455052,0.3188528770164743,0.7737933352653833,96.72137027121214,True,-1.0,-1.0,1.0,B_concordant_q>=0.05
