gene,celltype,dz_HAvYA,rna_lfc_HAvYA,rna_q_HAvYA,concordant_HAvYA,testable_HAvYA,dz_ADvHA,rna_lfc_ADvHA,rna_q_ADvHA,concordant_ADvHA,testable_ADvHA,cross_category
BARHL2,Endo,-0.295016784201443,,,,False,0.152371132809267,,,,False,6_not_testable
E2F3,Micro,0.174460151974223,-0.0341546720938827,0.9867038242810588,0.0,True,0.0161015236054437,0.4588208918357295,0.1864744513287983,1.0,True,2_disease-only_concordant
EGR3,Endo,-0.364930836939263,-0.2632811556088636,0.9982206668978284,1.0,True,0.130340108439765,,,,False,6_not_testable
EHF,Astro,-0.262498130160386,-0.8859735371197087,,1.0,True,0.161156871870539,0.6257567887420303,,1.0,True,4_shared_opposite-direction
ELF1,Astro,-0.237992868693513,0.311939004267259,0.3340654805686593,0.0,True,0.258575772507588,0.2602137720444887,0.1196286901945818,1.0,True,2_disease-only_concordant
ELF3,Astro,-0.218452587060502,,,,False,0.22803020568637,-0.0320406754648025,,0.0,True,6_not_testable
ELF5,Astro,-0.183788200876887,,,,False,-0.088768320898328,,,,False,6_not_testable
ELK1,Oligo,-0.272270368820611,-0.2349068097855754,0.9362656278786242,1.0,True,-0.287220233671244,-0.4247532958286658,0.4624045551492751,1.0,True,3_shared_same-direction
ELK3,Oligo,-0.239616826538138,0.3107076316850308,0.7878536332391539,0.0,True,-0.286405895797532,0.3490947185862955,0.40065058158013,0.0,True,C_both_discordant
ETV1,Astro,-0.250983554001179,-0.4179866471557918,0.5636436435516762,1.0,True,0.260242711386343,0.1260895697369342,0.8612943284762595,1.0,True,4_shared_opposite-direction
ETV2,Astro,-0.184900871980696,,,,False,-0.108609463954152,,,,False,6_not_testable
ETV3,Oligo,-0.22358464919127,-0.3226166334653848,0.8506813841715811,1.0,True,-0.266362808724687,0.411937399946231,0.2469742440618494,0.0,True,5_age-concordant_disease-discordant
ETV4,Astro,-0.226777908850338,0.1280965079705243,0.9311155267525332,0.0,True,0.383074622574992,0.7403460486575003,0.2188534779228607,1.0,True,2_disease-only_concordant
ETV6,Astro,-0.222962158488001,-0.4513709720794029,0.6046598241863457,1.0,True,-0.120458651542885,0.4408576325037996,0.2585942730687764,0.0,True,5_age-concordant_disease-discordant
FEV,Oligo,-0.219061938546728,,,,False,-0.271254901551208,,,,False,6_not_testable
GABPA,Astro,-0.25979967510354,-0.1333632880726491,0.7737933352653833,1.0,True,0.224940780018858,0.1126239507355614,0.6489774150262992,1.0,True,4_shared_opposite-direction
HOXD9,Micro,0.249072251362974,,,,False,0.269242648943179,,,,False,6_not_testable
MYF5,OPC,-0.447475769414756,,,,False,0.447464405931868,,,,False,6_not_testable
NR2C1,Endo,-0.196265384444158,0.2312630397137896,0.9965449463526324,0.0,True,-0.213384234438864,-0.0822646674250574,0.9930509432149832,1.0,True,2_disease-only_concordant
RFX1,Astro,0.367045544583244,0.2863456826423443,0.7092875741606882,1.0,True,0.498749735835768,0.4383385157426582,0.1104695456159583,1.0,True,3_shared_same-direction
SMAD5,Endo,-0.203309841043317,-0.1334616603852731,0.9982206668978284,1.0,True,0.339552862134304,0.0304037591607519,0.9960211477852252,1.0,True,4_shared_opposite-direction
SOX8,Endo,-0.258957323186905,0.5534637410525893,0.9982206668978284,0.0,True,0.258263851337872,-1.5104161883291736,0.9292461379773714,0.0,True,C_both_discordant
SOX9,Endo,-0.324515537837425,0.3332943014489718,0.9982206668978284,0.0,True,0.213426426950431,-0.5890915454294775,0.9779134917552668,0.0,True,C_both_discordant
SPIB,Astro,-0.239061070951833,0.3143629362217333,,0.0,True,0.231740036985734,-0.3792490764837455,,0.0,True,C_both_discordant
TCF7L1,Endo,-0.380803820040571,0.0583374345915871,0.9982206668978284,0.0,True,0.194019238444833,0.2447600831578299,0.9674591162924586,1.0,True,2_disease-only_concordant
TCF7L2,Endo,-0.392759443732729,0.0532416573375978,0.9982206668978284,0.0,True,0.283653352508476,0.1485344474842863,0.9779134917552668,1.0,True,2_disease-only_concordant
TP63,Micro,0.163141909359496,-0.2818105256657907,,0.0,True,0.158880245151584,0.1441396035611992,0.9351136930003076,1.0,True,2_disease-only_concordant
TP73,Micro,0.21489533346814,,,,False,0.110333871639377,-0.3286024589113339,,0.0,True,6_not_testable
TWIST1,OPC,-0.269388578055395,,,,False,0.448278875161311,,,,False,6_not_testable
ZBTB18,OPC,-0.342480235754305,-0.0180392935583901,0.9973477392005758,1.0,True,0.434133108302978,-0.2481606199599424,0.7351485550851978,0.0,True,5_age-concordant_disease-discordant
ZNF143,Astro,-0.204147568974897,-0.3606322232149965,0.2651149919743504,1.0,True,0.196882075876751,0.1238713488882324,0.5803483629501925,1.0,True,4_shared_opposite-direction
