gene,celltype,motif,family,dz,cv_p,cv_padj,testable,rna_lfc,rna_q,rna_baseMean,category,test_268609_HAvYA,test_278576
BARHL2,Endo,BARHL2,homeobox-other,-0.295016784201443,0.0272744841221466,0.985520413099923,False,,,,D_not_testable,False,celltype_mismatch
E2F3,Micro,E2F3,E2F-DP,0.174460151974223,0.03340940422759,0.989669368953255,True,-0.0341546720938827,0.9867038242810588,90.59668813229334,C_discordant,True,YES
EGR3,Endo,EGR3,EGR-WT1,-0.364930836939263,0.0313540266412444,0.985520413099923,True,-0.2632811556088636,0.9982206668978284,4.671272139057496,B_concordant_q>=0.05,True,celltype_mismatch
EHF,Astro,EHF,ETS,-0.262498130160386,0.0039473499119027,0.5172314842459,True,-0.8859735371197087,,1.713176615385053,B_concordant_q>=0.05,True,YES
ELF1,Astro,ELF1,ETS,-0.237992868693513,0.0054760704395554,0.5172314842459,True,0.311939004267259,0.3340654805686593,213.74232281483435,C_discordant,True,YES
ELF3,Astro,ELF3,ETS,-0.218452587060502,0.0026901656671146,0.5172314842459,False,,,,D_not_testable,False,YES
ELF5,Astro,ELF5,ETS,-0.183788200876887,0.0421814938434398,0.979336604887158,False,,,,D_not_testable,False,low_expr
ELK1,Oligo,ELK1,ETS,-0.272270368820611,0.0149751631899015,0.998263694715803,True,-0.2349068097855754,0.9362656278786242,20.80503505917208,B_concordant_q>=0.05,True,YES
ELK3,Oligo,ELK3,ETS,-0.239616826538138,0.0275501810302818,0.998263694715803,True,0.3107076316850308,0.7878536332391539,25.96914920432399,C_discordant,True,YES
ETV1,Astro,ETV1,ETS,-0.250983554001179,0.0013067251531785,0.5172314842459,True,-0.4179866471557918,0.5636436435516762,222.41480080800565,B_concordant_q>=0.05,True,YES
ETV2,Astro,ETV2,ETS,-0.184900871980696,0.0257701611256793,0.979336604887158,False,,,,D_not_testable,False,low_expr
ETV3,Oligo,ETV3,ETS,-0.22358464919127,0.0388339880030259,0.998263694715803,True,-0.3226166334653848,0.8506813841715811,14.668007594573046,B_concordant_q>=0.05,True,YES
ETV4,Astro,ETV4,ETS,-0.226777908850338,0.0057197794466371,0.5172314842459,True,0.1280965079705243,0.9311155267525332,7.166338563121226,C_discordant,True,YES
ETV6,Astro,ETV6,ETS,-0.222962158488001,0.0260701025377356,0.979336604887158,True,-0.4513709720794029,0.6046598241863457,494.0246992527518,B_concordant_q>=0.05,True,YES
FEV,Oligo,FEV,ETS,-0.219061938546728,0.0273941676315095,0.998263694715803,False,,,,D_not_testable,False,low_expr
GABPA,Astro,GABPA,ETS,-0.25979967510354,0.0036640095967511,0.5172314842459,True,-0.1333632880726491,0.7737933352653833,96.72137027121214,B_concordant_q>=0.05,True,YES
HOXD9,Micro,HOXD9,HOX,0.249072251362974,0.0454600020995591,0.989669368953255,False,,,,D_not_testable,False,low_expr
MYF5,OPC,MYF5,bHLH-neural,-0.447475769414756,0.0295418886746378,0.999690290203973,False,,,,D_not_testable,False,low_expr
NR2C1,Endo,NR2C1,NR,-0.196265384444158,0.0472563355821545,0.985520413099923,True,0.2312630397137896,0.9965449463526324,16.823190300429477,C_discordant,True,celltype_mismatch
RFX1,Astro,RFX1,RFX,0.367045544583244,0.047010349960884,0.979336604887158,True,0.2863456826423443,0.7092875741606882,18.922715540782907,B_concordant_q>=0.05,True,YES
SMAD5,Endo,SMAD5,SMAD,-0.203309841043317,0.0142224192990412,0.985520413099923,True,-0.1334616603852731,0.9982206668978284,31.4712268761556,B_concordant_q>=0.05,True,celltype_mismatch
SOX8,Endo,SOX8,SOX,-0.258957323186905,0.0282698647994311,0.985520413099923,True,0.5534637410525893,0.9982206668978284,2.986906917745731,C_discordant,True,celltype_mismatch
SOX9,Endo,SOX9,SOX,-0.324515537837425,0.0134833660910064,0.985520413099923,True,0.3332943014489718,0.9982206668978284,7.858134136607726,C_discordant,True,celltype_mismatch
SPIB,Astro,SPIB,ETS,-0.239061070951833,0.0046944023142192,0.5172314842459,True,0.3143629362217333,,0.7838143796367145,C_discordant,True,low_expr
TCF7L1,Endo,TCF7L1,TCF-LEF,-0.380803820040571,0.0221772438447811,0.985520413099923,True,0.0583374345915871,0.9982206668978284,24.535233337460745,C_discordant,True,celltype_mismatch
TCF7L2,Endo,TCF7L2,TCF-LEF,-0.392759443732729,0.0243472681452836,0.985520413099923,True,0.0532416573375978,0.9982206668978284,60.15501960376351,C_discordant,True,celltype_mismatch
TP63,Micro,TP63,TP53fam,0.163141909359496,0.0343757016412489,0.989669368953255,True,-0.2818105256657907,,1.5568299824931642,C_discordant,True,YES
TP73,Micro,TP73,TP53fam,0.21489533346814,0.0416746088026931,0.989669368953255,False,,,,D_not_testable,False,low_expr
TWIST1,OPC,TWIST1,TWIST,-0.269388578055395,0.0244740238619604,0.999690290203973,False,,,,D_not_testable,False,low_expr
ZBTB18,OPC,ZBTB18,ZBTB,-0.342480235754305,0.0115878867722671,0.999690290203973,True,-0.0180392935583901,0.9973477392005758,53.43114776021446,B_concordant_q>=0.05,True,YES
ZNF143,Astro,ZNF143,ZNF-KRAB,-0.204147568974897,0.0338936054981376,0.979336604887158,True,-0.3606322232149965,0.2651149919743504,51.946526947806106,B_concordant_q>=0.05,True,YES
