"ligand","receiver","receptor","expressed","lfc","padj","age_regulated"
"FAP","DG_GC","DPP4",TRUE,0.339699232279196,0.970504101938082,FALSE
"FAP","DG_GC","NPR2",TRUE,0.186868984756657,0.970840701495738,FALSE
"FAP","CA_ExN","DPP4",TRUE,-0.792437938484722,0.876367558843426,FALSE
"FAP","CA_ExN","NPR2",TRUE,-0.120092464810478,0.954400766166147,FALSE
"FAP","InN","DPP4",TRUE,-0.631093782248763,0.999999168950171,FALSE
"FAP","InN","NPR2",TRUE,-0.0123908736977865,0.999999168950171,FALSE
"COL21A1","DG_GC","ITGA1",TRUE,-0.378373662167379,0.925825982946855,FALSE
"COL21A1","DG_GC","ITGA10",TRUE,-0.00858276332533285,0.999644387865718,FALSE
"COL21A1","DG_GC","ITGA11",TRUE,0.604626434615737,0.932695646042556,FALSE
"COL21A1","DG_GC","ITGA2",TRUE,-0.598915291445191,0.941928873496197,FALSE
"COL21A1","DG_GC","ITGB1",TRUE,0.114396356685991,0.977918203184218,FALSE
"COL21A1","CA_ExN","ITGA1",TRUE,0.344646352487748,0.904447427619191,FALSE
"COL21A1","CA_ExN","ITGA10",TRUE,0.404159577096191,NA,FALSE
"COL21A1","CA_ExN","ITGA11",TRUE,-1.75416056072771,NA,FALSE
"COL21A1","CA_ExN","ITGA2",TRUE,-1.07028471519217,0.476494513669547,FALSE
"COL21A1","CA_ExN","ITGB1",TRUE,0.384350998952564,0.561388060435242,FALSE
"COL21A1","InN","ITGA1",TRUE,0.186759973838063,0.999999168950171,FALSE
"COL21A1","InN","ITGA10",TRUE,0.312862919383745,0.999999168950171,FALSE
"COL21A1","InN","ITGA11",TRUE,-1.20719848169505,0.999999168950171,FALSE
"COL21A1","InN","ITGA2",TRUE,-0.0336488454175189,0.999999168950171,FALSE
"COL21A1","InN","ITGB1",TRUE,-0.0275778685504261,0.999999168950171,FALSE
"TNC","DG_GC","CNTN1",TRUE,0.0239837375001427,0.993496743199946,FALSE
"TNC","DG_GC","EGFR",TRUE,-0.635052789424344,0.944398067642902,FALSE
"TNC","DG_GC","ITGA5",TRUE,-0.346858604749109,0.985078011594441,FALSE
"TNC","DG_GC","ITGA7",TRUE,0.163215207981656,0.957320443714379,FALSE
"TNC","DG_GC","ITGA8",TRUE,0.0835780027675746,0.994163581673284,FALSE
"TNC","DG_GC","ITGA9",TRUE,-0.595953211079639,0.88223716606248,FALSE
"TNC","DG_GC","ITGAV",TRUE,0.244522600303994,0.909847671046189,FALSE
"TNC","DG_GC","ITGB1",TRUE,0.114396356685991,0.977918203184218,FALSE
"TNC","DG_GC","ITGB3",TRUE,-0.593320021742561,0.907827479582556,FALSE
"TNC","DG_GC","ITGB6",FALSE,NA,NA,FALSE
"TNC","DG_GC","PTPRB",TRUE,-0.0380238943824351,0.994163581673284,FALSE
