"celltype","arm","n_genes","n_fg_peaks","motif","tf","OR","p","padj","dz","dz_sign_ok","n_targets","verdict","pred_match"
"Astro","DOWN",8,88,"MA0144.2","STAT3",2.15212605723555,0.00279175519401854,0.164713556447094,-0.173483903562857,TRUE,6,"SUGGESTIVE",FALSE
"Micro","UP",10,28,"MA0050.2","IRF1",2.20774647887324,0.0424739680813295,0.626491029199611,0.407580775938349,TRUE,8,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0105.4","NFKB1",2.62702702702703,0.0349011166034454,0.626491029199611,0.184654473115514,TRUE,6,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0764.2","ETV4",2.41261261261261,0.0247831339152152,0.626491029199611,0.398923238731208,TRUE,9,"SUGGESTIVE",FALSE
"Micro","UP",10,28,"MA0517.1","STAT1::STAT2",2.17894736842105,0.0625887655780931,0.663939589185496,0.356856610151504,TRUE,8,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0137.3","STAT1",2.45454545454545,0.0715263549899345,0.663939589185496,0.0542780362629834,TRUE,4,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA1117.1","RELB",2.27272727272727,0.0906947802284956,0.663939589185496,0.0476803834652977,TRUE,4,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA1418.1","IRF3",2.11363636363636,0.112532133760253,0.663939589185496,0.312959946685253,TRUE,5,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0079.4","SP1",1.99453551912568,0.0798501748644538,0.663939589185496,0.0430471153093279,TRUE,8,"SUGGESTIVE",FALSE
"Micro","UP",10,28,"MA0039.4","KLF4",1.77777777777778,0.105653106961421,0.663939589185496,0.0218645568354437,TRUE,9,"SUGGESTIVE",FALSE
"Astro","UP",18,72,"MA0517.1","STAT1::STAT2",1.71099407504937,0.0339470481607706,0.667625280495156,0.19268095593656,TRUE,10,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0050.2","IRF1",1.66096866096866,0.0287633172297294,0.667625280495156,0.171076912776361,TRUE,13,"SUGGESTIVE",TRUE
"Astro","UP",18,72,"MA0102.4","CEBPA",2.05,0.0333908107381213,0.667625280495156,0.153326701114209,TRUE,7,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0652.1","IRF8",2.68,0.145713810814495,0.781555894368654,0.120518678777639,TRUE,3,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0051.1","IRF2",1.77777777777778,0.241122957986179,0.917223875981037,0.219869168047423,TRUE,4,"SUGGESTIVE",TRUE
"Micro","UP",10,28,"MA0598.3","EHF",1.50317124735729,0.274129210114037,0.917223875981037,0.573362536508382,TRUE,6,"SUGGESTIVE",FALSE
