"celltype","arm","n_genes","n_fg_peaks","motif","tf","OR","p","padj","dz","dz_sign_ok","n_targets","verdict","pred_match"
"Astro","DOWN",8,88,"MA0144.2","STAT3",2.15212605723555,0.00279175519401854,0.164713556447094,-0.173483903562857,TRUE,6,"SUGGESTIVE",FALSE
"Astro","DOWN",8,88,"MA0051.1","IRF2",1.15316642120766,0.390720053188178,0.998062915028396,0.152039085386697,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0101.1","REL",0.577825159914712,0.904956266425489,0.998062915028396,0.159873942497655,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0107.1","RELA",0.568627450980392,0.910827335600143,0.998062915028396,0.109286662279595,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0476.1","FOS",0.797959183673469,0.772917931824879,0.998062915028396,0.696812449315302,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0478.1","FOSL2",1.19909502262443,0.358980012688599,0.998062915028396,0.737318559027149,FALSE,4,"ns",FALSE
"Astro","DOWN",8,88,"MA0488.1","JUN",0.59422876691953,0.91090500374107,0.998062915028396,0.101256194462714,FALSE,4,"ns",FALSE
"Astro","DOWN",8,88,"MA0513.1","SMAD2::SMAD3::SMAD4",1,0.549535375551101,0.998062915028396,-0.126056894130809,TRUE,3,"SUGGESTIVE",FALSE
"Astro","DOWN",8,88,"MA0517.1","STAT1::STAT2",1.03203494721514,0.497064218384999,0.998062915028396,0.19268095593656,FALSE,6,"ns",FALSE
"Astro","DOWN",8,88,"MA0523.1","TCF7L2",0.730188679245283,0.83998602280665,0.998062915028396,-0.0280570651973618,TRUE,3,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0076.2","ELK4",0.306826706676669,0.985766563793838,0.998062915028396,-0.144094895315012,TRUE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0050.2","IRF1",1.09230769230769,0.392194389011163,0.998062915028396,0.171076912776361,FALSE,5,"ns",FALSE
"Astro","DOWN",8,88,"MA0137.3","STAT1",1.83625730994152,0.034146572684518,0.998062915028396,-0.193512883632054,TRUE,5,"SUGGESTIVE",FALSE
"Astro","DOWN",8,88,"MA0599.1","KLF5",1.10492845786963,0.398780952275069,0.998062915028396,-0.0207009872341662,TRUE,7,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0645.1","ETV6",0.534391534391534,0.931255647507012,0.998062915028396,-0.190509428952298,TRUE,1,"ns",TRUE
"Astro","DOWN",8,88,"MA0475.2","FLI1",0.363133248190719,0.933365244418614,0.998062915028396,-0.0959748581409706,TRUE,1,"ns",TRUE
"Astro","DOWN",8,88,"MA0157.2","FOXO3",1.29904232313871,0.370546829086123,0.998062915028396,0.0107023317334393,FALSE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0652.1","IRF8",0.821138211382114,0.733962366569432,0.998062915028396,0.0999346524892656,FALSE,3,"ns",FALSE
"Astro","DOWN",8,88,"MA0759.1","ELK3",0.682437850842021,0.791207922350654,0.998062915028396,-0.117590119303624,TRUE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0474.2","ERG",0.349753694581281,0.939603391749638,0.998062915028396,-0.126736598485534,TRUE,1,"ns",TRUE
"Astro","DOWN",8,88,"MA0098.3","ETS1",0.295019157088123,0.963114768994929,0.998062915028396,-0.151983950865121,TRUE,1,"ns",TRUE
"Astro","DOWN",8,88,"MA0762.1","ETV2",0.362878455462922,0.969073835755336,0.998062915028396,-0.163984055473528,TRUE,1,"ns",TRUE
"Astro","DOWN",8,88,"MA0156.2","FEV",0.829457364341085,0.701933821383131,0.998062915028396,-0.0971787600373371,TRUE,2,"ns",TRUE
"Astro","DOWN",8,88,"MA0768.1","LEF1",0.754368932038835,0.816843588205326,0.998062915028396,-0.0378673118669927,TRUE,3,"SUGGESTIVE",TRUE
"Astro","DOWN",8,88,"MA0105.4","NFKB1",0.45,0.955245303341201,0.998062915028396,0.0369931416410176,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0778.1","NFKB2",0.519327731092437,0.919862283468185,0.998062915028396,0.0385163041523488,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0795.1","SMAD3",0.583502366463827,0.822997590696097,0.998062915028396,-0.0182735797024825,TRUE,1,"ns",FALSE
"Astro","DOWN",8,88,"MA0511.2","RUNX2",0.878200692041523,0.670978357452555,0.998062915028396,0.0204783496950799,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0808.1","TEAD3",0.417989417989418,0.980533677650805,0.998062915028396,0.206430650834219,FALSE,2,"ns",FALSE
"Astro","DOWN",8,88,"MA0466.2","CEBPB",0.866531850353893,0.680728908750077,0.998062915028396,0.187904473563097,FALSE,1,"ns",FALSE
