donor	group	Run	maturation_stage	receiver_score
S1R6	RES	Run6	immature	-0.10786608248187825
S1R6	RES	Run6	mature	-0.20265933225607696
S3R2	RES	Run2	immature	-0.13768621818724483
S3R2	RES	Run2	mature	0.09130220280668616
S3R4	RES	Run4	immature	0.14020850803447182
S3R4	RES	Run4	mature	-0.07296841084165909
S3R5	RES	Run5	immature	-0.03938516598561213
S3R5	RES	Run5	mature	-0.1137520119670378
S5R6	RES	Run6	immature	0.4036835975727428
S5R6	RES	Run6	mature	0.0019827213531591614
S7R5	RES	Run5	immature	0.6174645440373053
S7R5	RES	Run5	mature	0.2127621855482827
S1R1	SAD	Run1	immature	0.16845095905897473
S1R1	SAD	Run1	mature	-0.2871723752852623
S1R2	SAD	Run2	immature	0.4060215640807466
S1R2	SAD	Run2	mature	0.11724334448194088
S1R3	SAD	Run3	immature	0.3504811642441493
S1R3	SAD	Run3	mature	0.032094600706823594
S1R4	SAD	Run4	immature	0.10095235528791302
S1R4	SAD	Run4	mature	-0.1275963017023306
S1R5	SAD	Run5	immature	-0.3413375508282539
S1R5	SAD	Run5	mature	-0.2058544543234822
S2R5stored	SAD	Run5	immature	0.0876300609281788
S2R5stored	SAD	Run5	mature	-0.10904612840868327
S5R5	SAD	Run5	immature	-0.1609702941321665
S5R5	SAD	Run5	mature	-0.08015976092702116
