ligand	n_targets_detectable	median_diff_SADminusRES	p	padj_BH
UNION	114	0.07197316035665136	0.47834292888968577	
KITLG	7	0.9795929909546545	0.030444483160346515	0.6228799402262631
TNC	7	-1.1984057334727831	0.056625449111478474	0.6228799402262631
LGALS9	9	0.3069366098899559	0.2664573278280893	0.9968637347220451
CCN2	9	-0.9541673350020621	0.30144891881255287	0.9968637347220451
SPON1	8	0.49991415768663294	0.37594023673763033	0.9968637347220451
APOE	12	0.6372783373349543	0.3887035590479151	0.9968637347220451
AZGP1	10	0.5356821833329423	0.40309883797697854	0.9968637347220451
IL15	7	0.1978898088141519	0.467636878957151	0.9968637347220451
APOC1	11	0.7560167416194602	0.5572935055902486	0.9968637347220451
COL21A1	10	-0.46694460066797294	0.5711221178095977	0.9968637347220451
SERPINE1	10	-0.46694460066797294	0.6048177975334574	0.9968637347220451
CXCL2	12	0.08306128765227128	0.6054403108230793	0.9968637347220451
SEMA3D	13	0.02022621963030491	0.6802014331388448	0.9968637347220451
FAP	11	0.05928317481292111	0.6823735185775113	0.9968637347220451
COL8A1	11	0.02022621963030491	0.6860124894626285	0.9968637347220451
COL4A2	7	-0.1846266964977572	0.7249918070705783	0.9968637347220451
APOD	15	0.10398269226398121	0.8443502070800118	0.9975185607390639
EFEMP1	5	0.2846039481742304	0.8867475481323348	0.9975185607390639
DKK2	9	0.2537064148740798	0.9026859147939087	0.9975185607390639
COL12A1	13	0.1959782459560001	0.926096928504599	0.9975185607390639
CYTL1	11	0.02022621963030491	0.9790666771022846	0.9975185607390639
ANXA1	9	0.02022621963030491	0.9975185607390639	0.9975185607390639
