celltype	module	group	n_donors	mean_score	ci95	primary_inference
Astro	UP	YA	8	-0.8456064155046794	0.22375612396595204	True
Astro	UP	HA	9	0.42452497267567324	0.40835549987034475	True
Astro	UP	MCI	6	0.14628257512998247	0.23462699876454624	False
Astro	UP	AD	10	0.20664311191764811	0.3266742716400294	True
Astro	DOWN	YA	8	0.9641978793651589	0.2535244785121213	True
Astro	DOWN	HA	9	-0.3660302013011314	0.1807061676328506	True
Astro	DOWN	MCI	6	-0.18671691746655236	0.27723512577072	False
Astro	DOWN	AD	10	-0.32990097184117756	0.21709256546959688	True
Micro	UP	YA	7	-1.1946866461242232	0.35403931280436396	True
Micro	UP	HA	9	0.2709260500325472	0.2632831621737027	True
Micro	UP	MCI	6	0.1050901236316741	0.4087649219343345	False
Micro	UP	AD	10	0.5293931330786591	0.33174631592608783	True
Micro	DOWN	YA	7	0.9020926563522967	0.645822843740568	True
Micro	DOWN	HA	9	-0.2587934726585266	0.37287444394183694	True
Micro	DOWN	MCI	6	-0.11721782136634938	0.3256777466560312	False
Micro	DOWN	AD	10	-0.3282200412341239	0.4065413408091307	True
Endo	UP	YA	7	-0.7745662111697583	0.24620192484072892	True
Endo	UP	HA	9	0.34526246941904287	0.4435893584444945	True
Endo	UP	MCI	6	-0.1555651530247927	0.4313825854219856	False
Endo	UP	AD	9	0.36088801906285306	0.3479474781460459	True
Endo	DOWN	YA	7	0.9199373986550418	0.25082471767680625	True
Endo	DOWN	HA	9	-0.24795316313373666	0.21803100393934413	True
Endo	DOWN	MCI	6	-0.4030851634620287	0.40254659851496255	False
Endo	DOWN	AD	9	-0.19883026017883468	0.24535578105039635	True
OPC	UP	YA	8	-1.1865704518325688	0.20717479008089523	True
OPC	UP	HA	9	0.20959043610410136	0.4953394335736276	True
OPC	UP	MCI	6	0.6488819901381381	0.48519022506667187	False
OPC	UP	AD	10	0.37129577488948123	0.23233632774664092	True
OPC	DOWN	YA	8	0.8324348886302215	0.26959385308518297	True
OPC	DOWN	HA	9	-0.3514715845393873	0.2638771278101589	True
OPC	DOWN	MCI	6	-0.11848116575047885	0.7647570369202722	False
OPC	DOWN	AD	10	-0.2785347853684412	0.28917986885659147	True
Oligo	UP	YA	8	-0.9449921491766718	0.3033265630106737	True
Oligo	UP	HA	9	0.701936964427313	0.3409340774110246	True
Oligo	UP	MCI	6	0.09146293508047317	0.1653783749153991	False
Oligo	UP	AD	10	0.069372690308471	0.253494136962078	True
Oligo	DOWN	YA	8	0.9798964077233385	0.4150725804803272	True
Oligo	DOWN	HA	9	-0.4733897357425136	0.30181212156164844	True
Oligo	DOWN	MCI	6	-0.34635763270948167	0.8237865078597715	False
Oligo	DOWN	AD	10	-0.15005178438471875	0.4652564478442788	True
