celltype	gene	primary_cat	noarm_rawcat	agree
Astro	FAP	maintained	maintained	TRUE
Astro	HMCN2	maintained	maintained	TRUE
Astro	WNT5B	maintained	maintained	TRUE
Astro	COL21A1	maintained	maintained	TRUE
Astro	TNC	maintained	maintained	TRUE
Astro	ECM2	maintained	maintained	TRUE
Astro	CCN2	maintained	AD_attenuated	FALSE
Astro	SEMA3D	maintained	maintained	TRUE
Astro	ANXA1	maintained	maintained	TRUE
Astro	COL12A1	maintained	maintained	TRUE
Astro	USH2A	maintained	maintained	TRUE
Astro	IGFBP5	maintained	maintained	TRUE
Astro	CXCL2	AD_attenuated	AD_attenuated	TRUE
Astro	LYPD6	weak_indeterminate_aging_projection	AD_attenuated	FALSE
Astro	CHST9	maintained	AD_attenuated	FALSE
Astro	ADAMTS19	maintained	maintained	TRUE
Astro	CRB2	maintained	maintained	TRUE
Astro	COL8A1	maintained	maintained	TRUE
Astro	COL26A1	maintained	maintained	TRUE
Astro	APOD	maintained	maintained	TRUE
Astro	OTOS	maintained	maintained	TRUE
Astro	KITLG	amplified	amplified	TRUE
Astro	FN1	maintained	maintained	TRUE
Astro	ANTXR2	maintained	amplified	FALSE
Astro	PAPPA2	weak_indeterminate_aging_projection	AD_divergent	FALSE
Astro	TAFA1	maintained	maintained	TRUE
Micro	IL15	maintained	maintained	TRUE
Micro	GLT1D1	maintained	maintained	TRUE
Micro	NPC2	maintained	maintained	TRUE
Micro	APOC1	maintained	maintained	TRUE
Micro	LGALS9	maintained	maintained	TRUE
Micro	SERPINE1	maintained	maintained	TRUE
Micro	LIPG	maintained	maintained	TRUE
Micro	SPON1	maintained	maintained	TRUE
Micro	ASAH1	maintained	maintained	TRUE
Micro	CYTL1	maintained	maintained	TRUE
Micro	LUZP2	maintained	maintained	TRUE
Micro	APOE	maintained	maintained	TRUE
Endo	PRSS3	maintained	maintained	TRUE
Endo	APOD	maintained	maintained	TRUE
Endo	PLAT	maintained	maintained	TRUE
Endo	KDR	maintained	maintained	TRUE
Endo	LAMA4	maintained	maintained	TRUE
Endo	KITLG	maintained	maintained	TRUE
Endo	EFEMP1	maintained	maintained	TRUE
Endo	DKK2	maintained	maintained	TRUE
Endo	MMP28	maintained	AD_attenuated	FALSE
Endo	APP	maintained	maintained	TRUE
Endo	EDN3	weak_indeterminate_aging_projection	maintained	FALSE
OPC	AZGP1	maintained	maintained	TRUE
OPC	FGF13	maintained	maintained	TRUE
OPC	COL4A2	maintained	maintained	TRUE
OPC	FSTL5	maintained	maintained	TRUE
OPC	NID2	weak_indeterminate_aging_projection	maintained	FALSE
OPC	ADAMTSL3	maintained	maintained	TRUE
Oligo	CD74	maintained	AD_attenuated	FALSE
Oligo	EPHA3	maintained	maintained	TRUE
Oligo	PTPRR	maintained	AD_attenuated	FALSE
Oligo	VSTM4	maintained	maintained	TRUE
Oligo	ECM2	maintained	maintained	TRUE
