celltype	gene	primary_cat	n_loo	n_same	frac_stable
Astro	FAP	maintained	27	27	1
Astro	HMCN2	maintained	27	27	1
Astro	WNT5B	maintained	27	27	1
Astro	COL21A1	maintained	27	27	1
Astro	TNC	maintained	27	26	0.962962962962963
Astro	ECM2	maintained	27	27	1
Astro	CCN2	maintained	27	1	0.037037037037037
Astro	SEMA3D	maintained	27	25	0.925925925925926
Astro	ANXA1	maintained	27	26	0.962962962962963
Astro	COL12A1	maintained	27	27	1
Astro	USH2A	maintained	27	27	1
Astro	IGFBP5	maintained	27	24	0.888888888888889
Astro	CXCL2	AD_attenuated	27	26	0.962962962962963
Astro	LYPD6	weak_indeterminate_aging_projection	27	0	0
Astro	CHST9	maintained	27	2	0.0740740740740741
Astro	ADAMTS19	maintained	27	26	0.962962962962963
Astro	CRB2	maintained	27	27	1
Astro	COL8A1	maintained	27	25	0.925925925925926
Astro	COL26A1	maintained	27	27	1
Astro	APOD	maintained	27	27	1
Astro	OTOS	maintained	27	27	1
Astro	KITLG	amplified	27	27	1
Astro	FN1	maintained	27	26	0.962962962962963
Astro	ANTXR2	maintained	27	7	0.259259259259259
Astro	PAPPA2	weak_indeterminate_aging_projection	27	0	0
Astro	TAFA1	maintained	27	27	1
Micro	IL15	maintained	26	26	1
Micro	GLT1D1	maintained	26	26	1
Micro	NPC2	maintained	26	26	1
Micro	APOC1	maintained	26	26	1
Micro	LGALS9	maintained	26	26	1
Micro	SERPINE1	maintained	26	25	0.961538461538462
Micro	LIPG	maintained	26	26	1
Micro	SPON1	maintained	26	25	0.961538461538462
Micro	ASAH1	maintained	26	26	1
Micro	CYTL1	maintained	26	26	1
Micro	LUZP2	maintained	26	26	1
Micro	APOE	maintained	26	26	1
Endo	PRSS3	maintained	25	23	0.92
Endo	APOD	maintained	25	24	0.96
Endo	PLAT	maintained	25	25	1
Endo	KDR	maintained	25	24	0.96
Endo	LAMA4	maintained	25	25	1
Endo	KITLG	maintained	25	25	1
Endo	EFEMP1	maintained	25	21	0.84
Endo	DKK2	maintained	25	25	1
Endo	MMP28	maintained	25	9	0.36
Endo	APP	maintained	25	25	1
Endo	EDN3	weak_indeterminate_aging_projection	25	0	0
OPC	AZGP1	maintained	27	27	1
OPC	FGF13	maintained	27	27	1
OPC	COL4A2	maintained	27	27	1
OPC	FSTL5	maintained	27	26	0.962962962962963
OPC	NID2	weak_indeterminate_aging_projection	27	0	0
OPC	ADAMTSL3	maintained	27	26	0.962962962962963
Oligo	CD74	maintained	27	0	0
Oligo	EPHA3	maintained	27	27	1
Oligo	PTPRR	maintained	27	1	0.037037037037037
Oligo	VSTM4	maintained	27	27	1
Oligo	ECM2	maintained	27	27	1
