global_row,peak,start,end,fragment_recount,matrix_rowsum
0,chr1-10070-10320,10070,10320,2599,873.0
1,chr1-180709-181571,180709,181571,7289,2227.0
2,chr1-190721-191635,190721,191635,22948,9306.0
3,chr1-629812-630394,629812,630394,202518,12181.0
4,chr1-631266-631466,631266,631466,4399,462.0
5,chr1-633865-634122,633865,634122,696824,42366.0
6,chr1-777540-779962,777540,779962,40640,15900.0
7,chr1-816801-817419,816801,817419,3980,1389.0
8,chr1-817785-818232,817785,818232,2338,863.0
9,chr1-818621-819192,818621,819192,3990,1322.0
10,chr1-826608-827675,826608,827675,18691,7326.0
11,chr1-841208-841471,841208,841471,1363,338.0
12,chr1-849589-850654,849589,850654,3983,1359.0
13,chr1-858699-858992,858699,858992,1648,564.0
14,chr1-869541-870265,869541,870265,11005,3916.0
15,chr1-874992-875736,874992,875736,2898,724.0
16,chr1-876350-877763,876350,877763,6010,1594.0
17,chr1-890633-890868,890633,890868,1582,384.0
18,chr1-897216-897485,897216,897485,1384,387.0
19,chr1-903631-905658,903631,905658,22670,8005.0
20,chr1-906630-906992,906630,906992,3300,1021.0
21,chr1-909944-911352,909944,911352,11054,3644.0
22,chr1-920562-921408,920562,921408,11271,4011.0
23,chr1-923517-925233,923517,925233,24945,9104.0
24,chr1-925554-925764,925554,925764,3551,1168.0
25,chr1-939777-941212,939777,941212,20809,7636.0
26,chr1-941444-942130,941444,942130,8703,2918.0
27,chr1-944413-945043,944413,945043,5875,1954.0
28,chr1-958788-961320,958788,961320,61834,23353.0
29,chr1-966324-967158,966324,967158,8270,2610.0
30,chr1-975899-976482,975899,976482,6509,2056.0
31,chr1-979331-979650,979331,979650,2691,766.0
32,chr1-980554-981001,980554,981001,3679,998.0
33,chr1-983796-984480,983796,984480,9055,3164.0
34,chr1-999045-999357,999045,999357,5265,2071.0
35,chr1-999606-1000996,999606,1000996,30406,12343.0
36,chr1-1001187-1002089,1001187,1002089,16384,6122.0
37,chr1-1005121-1005698,1005121,1005698,4794,1624.0
38,chr1-1012820-1014470,1012820,1014470,24737,8755.0
39,chr1-1019017-1020962,1019017,1020962,83150,33105.0
40,chr1-1024686-1025465,1024686,1025465,16382,6141.0
41,chr1-1026944-1027351,1026944,1027351,4470,1508.0
42,chr1-1031244-1034102,1031244,1034102,54438,20525.0
43,chr1-1038744-1039024,1038744,1039024,3424,1073.0
44,chr1-1040136-1041407,1040136,1041407,29807,11471.0
45,chr1-1050712-1051039,1050712,1051039,2943,927.0
46,chr1-1058791-1060004,1058791,1060004,21869,8054.0
47,chr1-1063655-1064137,1063655,1064137,7350,2454.0
48,chr1-1068684-1069673,1068684,1069673,16032,5804.0
49,chr1-1072032-1072455,1072032,1072455,4469,1386.0
50,chr1-1073780-1074228,1073780,1074228,3903,1123.0
51,chr1-1074582-1075372,1074582,1075372,6058,1688.0
52,chr1-1079399-1080570,1079399,1080570,13778,4675.0
53,chr1-1081007-1081468,1081007,1081468,3967,1116.0
